[LXX | EL | OT | 2 Chronicles | Chapter 16 | Verse 1] Καὶ ἐν τῷ ὀγδόῳ καὶ τριακοστῷ ἔτει τῆς βασιλείας Ἀσὰ, ἀνέβη βασιλεὺς Ἰσραὴλ ἐπὶ Ἰούδαν, καὶ ᾠκοδόμησε τὴν Ῥαμὰ τοῦ μὴ δοῦναι ἔξοδον καὶ εἴσοδον τῷ Ἀσὰ βασιλεῖ Ἰούδα.
[LXX | EL | OT | 2 Chronicles | Chapter 16 | Verse 2] Καὶ ἔλαβεν Ἀσὰ ἀργύριον καὶ χρυσίον ἐκ θησαυρῶν οἴκου Κυρίου καὶ οἴκου τοῦ βασιλέως, καὶ ἀπέστειλε πρὸς τὸν υἱὸν τοῦ Ἄδερ βασιλέως Συρίας τὸν κατοικοῦντα ἐν Δαμασκῷ, λέγων,
[LXX | EL | OT | 2 Chronicles | Chapter 16 | Verse 3] διάθου διαθήκην ἀναμέσον ἐμοῦ καὶ σοῦ, καὶ ἀναμέσον τοῦ πατρός μου καὶ ἀναμέσον τοῦ πατρός σου· ἰδοὺ ἀπέσταλκά σοι χρυσίον καὶ ἀργύριον· δεῦρο καὶ διασκέδασον ἀπʼ ἐμοῦ τὸν Βαασὰ βασιλέα Ἰσραὴλ, καὶ ἀπελθέτω ἀπʼ ἐμοῦ.
[LXX | EL | OT | 2 Chronicles | Chapter 16 | Verse 4] Καὶ ἤκουσεν υἱὸς Ἄδερ τοῦ βασιλέως Ἀσὰ, καὶ ἀπέστειλε τοὺς ἄρχοντας τῆς δυνάμεως αὐτοῦ ἐπὶ τὰς πόλεις Ἰσραὴλ, καὶ ἐπάταξε τὴν Ἀϊὼν, καὶ τὴν Δὰν, καὶ τὴν Ἀβελμαῒν, καὶ πάσας τὰς περιχώρους Νεφθαλί.
[LXX | EL | OT | 2 Chronicles | Chapter 16 | Verse 5] Καὶ ἐγένετο ἐν τῷ ἀκοῦσαι Βαασὰ, ἀπέλιπε τοῦ μηκέτι οἰκοδομεῖν τὴν Ῥαμὰ, καὶ κατέπαυσε τὸ ἔργον αὐτοῦ.
[LXX | EL | OT | 2 Chronicles | Chapter 16 | Verse 6] Καὶ Ἀσὰ βασιλεὺς ἔλαβε πάντα τὸν Ἰούδαν, καὶ ἔλαβε τοὺς λίθους τῆς Ῥαμὰ καὶ τὰ ξύλα αὐτῆς, ἃ ᾠκοδόμησε Βαασὰ, καὶ ᾠκοδόμησεν ἐν αὐτοῖς τὴν Γαβαὲ καὶ τὴν Μασφά.
[LXX | EL | OT | 2 Chronicles | Chapter 16 | Verse 7] Καὶ ἐν τῷ καιρῷ ἐκείνῳ ἦλθεν Ἀνανὶ ὁ προφήτης πρὸς Ἀσὰ βασιλέα Ἰούδα, καὶ εἶπεν αὐτῷ, ἐν τῷ πεποιθέναι σε ἐπὶ βασιλέα Συρίας, καὶ μὴ πεποιθέναι σε ἐπὶ Κύριον Θεόν σου, διὰ τοῦτο ἐσώθη ἡ δύναμις Συρίας ἀπὸ τῆς χειρός σου.
[LXX | EL | OT | 2 Chronicles | Chapter 16 | Verse 8] Οὐχ οἱ Αἰθίοπες καὶ Λίβυες ἦσαν εἰς δύναμιν πολλὴν, εἰς θάρσος, εἰς ἱππεῖς, εἰς πλῆθος σφόδρα; καὶ ἐν τῷ πεποιθέναι σε ἐπὶ Κύριον παρέδωκεν εἰς τὰς χεῖράς σου;
[LXX | EL | OT | 2 Chronicles | Chapter 16 | Verse 9] Ὅτι οἱ ὀφθαλμοὶ Κυρίου ἐπιβλέπουσιν ἐν πάσῃ τῇ γῇ, κατισχύσαι ἐν πάσῃ καρδίᾳ πλήρει πρὸς αὐτόν· ἠγνόηκας ἐπὶ τούτῳ, ἀπὸ τοῦ νῦν ἔσται μετὰ σοῦ πόλεμος.
[LXX | EL | OT | 2 Chronicles | Chapter 16 | Verse 10] Καὶ ἐθυμώθη Ἀσὰ τῷ προφήτῃ, καὶ παρέθετο αὐτὸν εἰς φυλακὴν, ὅτι ὠργίσθη ἐπὶ τούτῳ, καὶ ἐλυμῄνατο Ἀσὰ ἐν τῷ λαῷ ἐν τῷ καιρῷ ἐκείνῳ.
[LXX | EL | OT | 2 Chronicles | Chapter 16 | Verse 11] Καὶ ἰδοὺ οἱ λόγοι Ἀσὰ, οἱ πρῶτοι καὶ οἱ ἔσχατοι, γεγραμμένοι ἐν βιβλίῳ βασιλέων Ἰούδα καὶ Ἰσραήλ.
