[LXX | EL | OT | 2 Chronicles | Chapter 33 | Verse 1] Ὢν δεκαδύο ἐτῶν Μανασσῆς ἐν τῷ βασιλεῦσαι αὐτὸν, καὶ πεντηκονταπέντε ἔτη ἐβασίλευσεν ἐν Ἱερουσαλήμ.
[LXX | EL | OT | 2 Chronicles | Chapter 33 | Verse 2] Καὶ ἐποίησε τὸ πονηρὸν ἐναντίον Κυρίου ἀπὸ πάντων τῶν βδελυγμάτων τῶν ἐθνῶν, οὓς ἐξωλόθρευσε Κύριος ἀπὸ προσώπου τῶν υἱῶν Ἰσραήλ.
[LXX | EL | OT | 2 Chronicles | Chapter 33 | Verse 3] Καὶ ἐπέστρεψε καὶ ᾠκοδόμησε τὰ ὑψηλὰ, ἃ κατέσπασεν Ἐζεκίας ὁ πατὴρ αὐτοῦ, καὶ ἔστησε στήλας τοῖς Βααλὶμ, καὶ ἐποίησεν ἄλση, καὶ προσεκύνησεν πάσῃ τῇ στρατιᾷ τοῦ οὐρανοῦ, καὶ ἐδούλευσεν αὐτοῖς.
[LXX | EL | OT | 2 Chronicles | Chapter 33 | Verse 4] Καὶ ᾠκοδόμησε θυσιαστήρια ἐν οἴκῳ Κυρίου, οὗ εἶπε Κύριος, ἐν Ἱερουσαλὴμ ἔσται τὸ ὄνομά μου εἰς τὸν αἰῶνα.
[LXX | EL | OT | 2 Chronicles | Chapter 33 | Verse 5] Καὶ ᾠκοδόμησε θυσιαστήρια πάσῃ τῇ στρατιᾷ τοῦ οὐρανοῦ ἐν ταῖς δυσὶν αὐλαῖς οἴκου Κυρίου.
[LXX | EL | OT | 2 Chronicles | Chapter 33 | Verse 6] Καὶ αὐτὸς διήγαγε τὰ τέκνα αὐτοῦ ἐν πυρὶ ἐν γὲ Βενεννόμ· καὶ ἐκληδονίζετο, καὶ οἰωνίζετο, καὶ ἐφαρμακεύετο, καὶ ἐποίησεν ἐγγαστριμύθους καὶ ἐπᾳοιδοὺς, καὶ ἐπλήθυνε τοῦ ποιῆσαι τὸ πονηρὸν ἐναντίον Κυρίου τοῦ παροργίσαι αὐτόν.
[LXX | EL | OT | 2 Chronicles | Chapter 33 | Verse 7] Καὶ ἔθηκε τὸ γλυπτὸν, τὸ χωνευτὸν, εἰκόνα ἣν ἐποίησεν ἐν οἴκῳ Θεοῦ, οὗ εἶπε Θεὸς πρὸς Δαυὶδ καὶ πρὸς Σαλωμὼν υἱὸν αὐτοῦ, ἐν τῷ οἴκῳ τούτῳ καὶ Ἱερουσαλὴμ ἣν ἐξελεξάμην ἐκ πασῶν φυλῶν Ἰσραὴλ, θήσω τὸ ὄνομά μου εἰς τὸν αἰῶνα.
[LXX | EL | OT | 2 Chronicles | Chapter 33 | Verse 8] Καὶ οὐ προσθήσω σαλεῦσαι τὸν πόδα Ἰσραὴλ ἀπὸ τῆς γῆς ἧς ἔδωκα τοῖς πατράσιν αὐτῶν, πλὴν ἐὰν φυλάσσωνται τοῦ ποιῆσαι πάντα ἃ ἐνετειλάμην αὐτοῖς κατὰ πάντα τὸν νόμον καὶ τὰ προστάγματα καὶ τὰ κρίματα ἐν χειρὶ Μωυσῆ.
[LXX | EL | OT | 2 Chronicles | Chapter 33 | Verse 9] Καὶ ἐπλάνησε Μανασσῆς τὸν Ἰούδαν καὶ τοὺς κατοικοῦντας ἐν Ἱερουσαλὴμ, τοῦ ποιῆσαι τὸ πονηρὸν ὑπὲρ πάντα τὰ ἔθνη ἃ ἐξῇρε Κύριος ἀπὸ προσώπου υἱῶι Ἰσραήλ.
[LXX | EL | OT | 2 Chronicles | Chapter 33 | Verse 10] Καὶ ἐλάλησε Κύριος ἐπὶ Μανασσῆ καὶ ἐπὶ τὸν λαὸν αὐτοῦ, καὶ οὐκ ἐπήκουσαν.
[LXX | EL | OT | 2 Chronicles | Chapter 33 | Verse 11] Καὶ ἤγαγε Κύριος ἐπʼ αὐτοὺς τοὺς ἄρχοντας τῆς δυνάμεως τοῦ βασιλέως Ἀσσοὺρ, καὶ κατέλαβον τὸν Μανασσῆ ἐν δεσμοῖς, καὶ ἔδησαν αὐτὸν ἐν πέδαις, καὶ ἤγαγον εἰς Βαβυλῶνα.
