[LXX | EL | OT | 2 Chronicles | Chapter 10 | Verse 1] Καὶ ἦλθε Ῥοβοὰμ εἰς Συχὲμ, ὅτι εἰς Συχὲμ ἤρχετο πᾶς Ἰσραὴλ βασιλεῦσαι αὐτόν.
[LXX | EL | OT | 2 Chronicles | Chapter 10 | Verse 2] Καὶ ἐγένετο ὡς ἤκουσεν Ἱεροβοὰμ υἱὸς Ναβὰτ, καὶ αὐτὸς ἐν Αἰγύπτῳ, ὡς ἔφυγεν ἀπὸ προσώπου Σαλωμὼν τοῦ βασιλέως, καὶ κατῴκησεν Ἱεροβοὰμ ἐν Αἰγύπτῳ, καὶ ἀπέστρεψεν Ἱεροβοὰμ ἐξ Αἰγύπτου.
[LXX | EL | OT | 2 Chronicles | Chapter 10 | Verse 3] Καὶ ἀπέστειλαν καὶ ἐκάλεσαν αὐτόν· καὶ ἦλθεν Ἱεροβοὰμ καὶ πᾶσα ἡ ἐκκλησία πρὸς Ῥοβοὰμ, λέγοντες,
[LXX | EL | OT | 2 Chronicles | Chapter 10 | Verse 4] ὁ πατήρ σου ἐσκλήρυνε τὸν ζυγὸν ἡμῶν, καὶ νῦν ἄφες ἀπὸ τῆς δουλείας τοῦ πατρός σου τῆς σκληρᾶς, καὶ ἀπὸ τοῦ ζυγοῦ αὐτοῦ τοῦ βαρέος, οὗ ἔδωκεν ἐφʼ ἡμᾶς, καὶ δουλεύσομέν σοι.
[LXX | EL | OT | 2 Chronicles | Chapter 10 | Verse 5] Καὶ εἶπεν αὐτοῖς, πορεύεσθε ἕως τριῶν ἡμερῶν, καὶ ἔρχεσθε πρὸς μέ· καὶ ἀπῆλθεν ὁ λαός.
[LXX | EL | OT | 2 Chronicles | Chapter 10 | Verse 6] Καὶ συνήγαγεν ὁ βασιλεὺς Ῥοβοὰμ τοὺς πρεσβυτέρους τοὺς ἑστηκότας ἐναντίον τοῦ Σαλωμὼν τοῦ πατρὸς αὐτοῦ ἐν τῷ ζῇν αὐτὸν, λέγων, πῶς ὑμεῖς βουλεύεσθε τοῦ ἀποκριθῆναι τῷ λαῷ τούτῳ λόγον;
[LXX | EL | OT | 2 Chronicles | Chapter 10 | Verse 7] Καὶ ἐλάλησαν αὐτῷ, λέγοντες, ἐὰν ἐν τῇ σήμερον γένῃ εἰς ἀγαθὸν τῷ λαῷ τούτῳ, καὶ εὐδοκήσῃς, καὶ λαλήσῃς αὐτοῖς λόγους ἀγαθοὺς, καὶ ἔσονταί σοι παῖδες πάσας τὰς ἡμέρας.
[LXX | EL | OT | 2 Chronicles | Chapter 10 | Verse 8] Καὶ κατέλιπε τὴν βουλὴν τῶν πρεσβυτέρων, οἳ συνεβουλεύσαντο αὐτῷ· καὶ συνεβουλεύσατο μετὰ τῶν παιδαρίων τῶν συνεκτραφέντων μετʼ αὐτοῦ τῶν ἑστηκότων ἐναντίον αὐτοῦ.
[LXX | EL | OT | 2 Chronicles | Chapter 10 | Verse 9] Καὶ εἶπεν αὐτοῖς, τί ὑμεῖς βουλεύεσθε, καὶ ἀποκριθήσομαι λόγον τῷ λαῷ τούτῳ, οἳ ἐλάλησαν πρὸς μὲ, λέγοντες, ἄνες ἀπὸ τοῦ ζυγοῦ οὗ ἔδωκεν ὁ πατήρ σου ἐφʼ ἡμᾶς;
[LXX | EL | OT | 2 Chronicles | Chapter 10 | Verse 10] Καὶ ἐλάλησαν αὐτῷ τὰ παιδάρια τὰ ἐκτραφέντα μετʼ αὐτοῦ, λέγοντες, οὕτως λαλήσεις τῷ λαῷ τῷ λαλήσαντι πρὸς σὲ, λέγων, ὁ πατήρ σου ἐβάρυνε τὸν ζυγὸν ἡμῶν, καὶ σὺ ἄφες ἀφʼ ἡμῶν· οὕτως ἐρεῖς, ὁ μικρὸς δάκτυλός μου παχύτερος τῆς ὀσφύος τοῦ πατρός μου.
[LXX | EL | OT | 2 Chronicles | Chapter 10 | Verse 11] Καὶ νῦν ὁ πατήρ μου ἐπαίδευσεν ὑμᾶς ζυγῷ βαρεῖ, κᾀγὼ προσθήσω ἐπὶ τὸν ζυγὸν ὑμῶν· ὁ πατήρ μου ἐπαίδευσεν ὑμᾶς ἐν μάστιξι, κᾀγὼ παιδεύσω ὑμᾶς ἐν σκορπίοις.
