[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 1] Τότε εἰπε Σαλωμὼν, Κύριος εἶπε τοῦ κατασκηνῶσαι ἐν γνόφῳ,
[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 2] καὶ ἐγὼ ᾠκοδόμηκα οἶκον τῷ ὀνόματί σου ἅγιόν σοι καὶ ἕτοιμον τοῦ κατασκηνῶσαι εἰς τοὺς αἰῶνας.
[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 3] Καὶ ἐπέστρεψεν ὁ βασιλεὺς τὸ πρόσωπον αὐτοῦ, καὶ εὐλόγησε τὴν πᾶσαν ἐκκλησίαν Ἰσραὴλ, καὶ πᾶσα ἡ ἐκκλησία Ἰσραὴλ παρειστήκει,
[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 4] καὶ εἶπεν, εὐλογητὸς Κύριος ὁ Θεὸς Ἰσραὴλ, ὡς ἐλάλησεν ἐν στόματι αὐτοῦ πρὸς Δαυὶδ τὸν πατέρα μου, καὶ ἐν χερσὶν αὐτοῦ ἐπλήρωσε, λέγων,
[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 5] ἀπὸ τῆς ἡμέρας ἧς ἀνήγαγον τὸν λαόν μου ἐκ γῆς Αἰγύπτου, οὐκ ἐξελεξάμην ἐν πόλει ἀπὸ πασῶν φυλῶν Ἰσραὴλ, τοῦ οἰκοδομῆσαι οἶκον τοῦ εἶναι τὸ ὄνομά μου ἐκεῖ, καὶ οὐκ ἐξελεξάμην ἐν ἀνδρὶ τοῦ εἶναι εἰς ἡγούμενον ἐπὶ τὸν λαόν μου Ἰσραήλ·
[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 6] Καὶ ἐξελεξάμην τὴν Ἱερουσαλὴμ γενέσθαι τὸ ὄνομά μου ἐκεῖ, καὶ ἐξελεξάμην ἐν Δαυὶδ τοῦ εἶναι ἐπὶ τὸν λαόν μου Ἰσραήλ.
[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 7] Καὶ ἐγένετο ἐπὶ καρδίαν Δαυὶδ τοῦ πατρός μου, τοῦ οἰκοδομῆσαι οἶκον τῷ ὀνόματι Κυρίου Θεοῦ Ἰσραήλ.
[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 8] Καὶ εἶπε Κύριος πρὸς Δαυὶδ πατέρα μου, διότι ἐγένετο ἐπὶ καρδίαν σου τοῦ οἰκοδομῆσαι οἶκον τῷ ὀνόματί μου, καλῶς ἐποίησας, ὅτι ἐγένετο ἐπὶ τὴν καρδίαν σου.
[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 9] Πλὴν σὺ οὐκ οἰκοδομήσεις τὸν οἶκον, ὅτι ὁ υἱός σου ὃς ἐξελεύσεται ἐκ τῆς ὀσφύος σου, οὗτος οἰκοδομήσει τὸν οἶκον τῷ ὀνόματί μου.
[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 10] Καὶ ἀνέστησε Κύριος τὸν λόγον τοῦτον, ὃν ἐλάλησε, καὶ ἐγενήθην ἀντὶ Δαυὶδ πατρός μου, καὶ ἐκάθισα ἐπὶ τὸν θρόνον Ἰσραὴλ, καθὼς ἐλάλησε Κύριος· καὶ ᾠκοδόμησα τὸν οἶκον τῷ ὀνόματι Κυρίου Θεοῦ Ἰσραὴλ,
[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 11] καὶ ἔθηκα ἐκεῖ τὴν κιβωτὸν ἐν ᾗ ἐκεῖ διαθήκη Κυρίου, ἣν διέθετο τῷ Ἰσραήλ.
[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 12] Καὶ ἔστη κατέναντι τοῦ θυσιαστηρίου Κυρίου ἔναντι πάσης ἐκκλησίας Ἰσραὴλ, καὶ διεπέτασε τὰς χεῖρας αὐτοῦ·
[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 13] Ὅτι ἐποίησε Σαλωμὼν βάσιν χαλκῆν, καὶ ἔθηκεν αὐτὴν ἐν μέσῳ τῆς αὐλῆς τοῦ ἱεροῦ, πέντε πήχεων τὸ μῆκος αὐτῆς, καὶ πέντε πήχεων τὸ εὖρος αὐτῆς, καὶ τριῶν πήχεων τὸ ὕψος αὐτῆς· καὶ ἔστη ἐπʼ αὐτῆς, καὶ ἔπεσεν ἐπὶ τὰ γόνατα ἔναντι πάσης ἐκκλησίας Ἰσραὴλ, καὶ διεπέτασε τὰς χεῖρας αὐτοῦ εἰς τὸν οὐρανὸν,
[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 14] καὶ εἶπε, Κύριε ὁ Θεὸς Ἰσραὴλ, οὐκ ἔστιν ὅμοιός σοι Θεὸς ἐν οὐρανῷ καὶ ἐπὶ τῆς γῆς, φυλάσσων τὴν διαθήκην καὶ τὸ ἔλεος τοῖς παισὶ σου τοῖς πορευομένοις ἐναντίον σου ἐν ὅλῃ καρδίᾳ·
[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 15] Ἃ ἐφύλαξας τῷ παιδί σου Δαυὶδ τῷ πατρί μου, ἃ ἐλάλησας αὐτῷ, λέγων· καὶ ἐλάλησας ἐν στόματί σου, καὶ ἐν χερσί σου ἐπλήρωσας, ὡς ἡ ἡμέρα αὕτη.
[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 16] Καὶ νῦν, Κύριε ὁ Θεὸς Ἰσραὴλ, φύλαξον τῷ παιδί σου τῷ Δαυὶδ τῷ πατρί μου ἃ ἐλάλησας αὐτῷ, λέγων, οὐκ ἐκλείψει σοι ἀνὴρ ἀπὸ προσώπου μου καθήμενος ἐπὶ θρόνου Ἰσραὴλ, πλὴν ἐὰν φυλάξωσιν οἱ υἱοί σου τὴν ὁδὸν αὐτῶν τοῦ πορεύεσθαι ἐν τῷ νόμῳ μου, ὡς ἐπορεύθης ἐναντίον μου.
[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 17] Καὶ νῦν, Κύριε ὁ Θεὸς Ἰσραὴλ, πιστωθήτω δὴ τὸ ῥῆμά σου ὃ ἐλάλησας τῷ παιδί σου τῷ Δαυίδ.
[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 18] Ὅτι εἰ ἀληθῶς κατοικήσει Θεὸς μετὰ ἀνθρώπων ἐπὶ τῆς γῆς; εἰ ὁ οὐρανὸς καὶ ὁ οὐρανὸς τοῦ οὐρανοῦ οὐκ ἀρκέσουσί σοι, καὶ τίς ὁ οἶκος οὗτος ὃν ᾠκοδόμησα;
[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 19] Καὶ ἐπιβλέψῃ ἐπὶ τὴν προσευχὴν παιδός σου καὶ ἐπὶ τὴν δέησίν μου, Κύριε ὁ Θεὸς, τοῦ ἐπακοῦσαι τῆς δεήσεως καὶ τῆς προσευχῆς ἧς ὁ παῖς σου προσεύχεται ἐναντίον σου σήμερον,
[LXX | EL | OT | 2 Chronicles | Chapter 6 | Verse 20] τοῦ εἶναι ὀφθαλμούς σου ἀνεῳγμένους ἐπὶ τὸν οἶκον τοῦτον ἡμέρας καὶ νυκτὸς εἰς τὸν τόπον τοῦτον, ὃν εἶπας ἐπικληθῆναι τὸ ὄνομά σου ἐκεῖ, τοῦ ἀκοῦσαι τῆς προσευχῆς ἧς προσεύχεται ὁ παῖς σου εἰς τὸν τόπον τοῦτον·
