[LXX | EL | OT | 2 Chronicles | Chapter 24 | Verse 1] Ὢν ἐτῶν ἑπτὰ Ἰωὰς ἐν τῷ βασιλεύειν αὐτὸν, καὶ τεσσαράκοντα ἔτη ἐβασίλευσεν ἐν Ἱερουσαλὴμ. καὶ ὄνομα τῇ μητρὶ αὐτοῦ Σαβιὰ ἐκ Βηρσαβεέ.
[LXX | EL | OT | 2 Chronicles | Chapter 24 | Verse 2] Καὶ ἐποίησεν Ἰωὰς τὸ εὐθὲς ἐνώπιον Κυρίου πάσας τὰς ἡμέρας Ἰωδαὲ τοῦ ἱερέως.
[LXX | EL | OT | 2 Chronicles | Chapter 24 | Verse 3] Καὶ ἔλαβεν Ἰωδαὲ δύο γυναῖκας ἑαυτῷ, καὶ ἐγέννησαν υἱοὺς καὶ θυγατέρας.
[LXX | EL | OT | 2 Chronicles | Chapter 24 | Verse 4] Καὶ ἐγένετο μετὰ ταῦτα, καὶ ἐγένετο ἐπὶ καρδίαν Ἰωὰς ἐπισκευάσαι τὸν οἶκον Κυρίου.
[LXX | EL | OT | 2 Chronicles | Chapter 24 | Verse 5] Καὶ συνήγαγε τοὺς ἱερεῖς καὶ τοὺς Λευίτας, καὶ εἶπεν αὐτοῖς, ἐξέλθατε εἰς τὰς πόλεις Ἰούδα, καὶ συναγάγετε ἀπὸ παντὸς Ἰσραὴλ ἀργύριον κατισχῦσαι τὸν οἶκον Κυρίου ἐνιαυτὸν κατʼ ἐνιαυτὸν, καὶ σπεύσατε λαλῆσαι· καὶ οὐκ ἔσπευσαν οἱ Λευῖται.
[LXX | EL | OT | 2 Chronicles | Chapter 24 | Verse 6] Καὶ ἐκάλεσεν ὁ βασιλεὺς Ἰωὰς τὸν Ἰωδαὲ τὸν ἄρχοντα, καὶ εἶπεν αὐτῷ, διατί οὐκ ἐπεσκέψω περὶ τῶν Λευιτῶν τοῦ εἰσενέγκαι ἀπὸ Ἰούδα καὶ Ἱερουσαλὴμ τὸ κεκριμένον ὑπὸ Μωυσῆ ἀνθρώπου τοῦ Θεοῦ, ὅτι ἐξεκκλησίασε τὸν Ἰσραὴλ εἰς τὴν σκηνὴν τοῦ μαρτυρίου;
[LXX | EL | OT | 2 Chronicles | Chapter 24 | Verse 7] Ὅτι Γοθολία ἦν ἡ ἄνομος, καὶ οἱ υἱοὶ αὐτῆς κατέσπασαν τὸν οἶκον τοῦ Θεοῦ· καὶ γὰρ τὰ ἅγια οἴκου Κυρίου ἐποίησαν ταῖς Βααλίμ.
[LXX | EL | OT | 2 Chronicles | Chapter 24 | Verse 8] Καὶ εἶπεν ὁ βασιλεὺς, γενηθήτω γλωσσόκομον, καὶ τεθήτω ἐν πύλῃ οἴκου Κυρίου ἔξω.
[LXX | EL | OT | 2 Chronicles | Chapter 24 | Verse 9] Καὶ κηρυξάτωσαν ἐν Ἰούδα καὶ ἐν Ἱερουσαλὴμ, εἰσενέγκαι Κυρίῳ καθὼς εἶπε Μωυσῆς παῖς τοῦ Θεοῦ ἐπὶ τὸν Ἰσραὴλ ἐν τῇ ἐρήμῳ.
[LXX | EL | OT | 2 Chronicles | Chapter 24 | Verse 10] Καὶ ἔδωκαν πάντες ἄρχοντες καὶ πᾶς ὁ λαὸς, καὶ εἰσέφερον καὶ ἐνέβαλον εἰς τὸ γλωσσόκομον ἕως οὗ ἐπληρώθη.
[LXX | EL | OT | 2 Chronicles | Chapter 24 | Verse 11] Καὶ ἐγένετο ὡς εἰσέφερον τὸ γλωσσόκομον πρὸς τοὺς προστάτας τοῦ βασιλέως διὰ χειρὸς τῶν Λευιτῶν, καὶ ὡς εἶδον ὅτι ἐπλεόνασε τὸ ἀργύριον, καὶ ἦλθεν ὁ γραμματεὺς τοῦ βασιλέως καὶ ὁ προστάτης τοῦ ἱερέως τοῦ μεγάλου, καὶ ἐξεκένωσεν τὸ γλωσσόκομον, καὶ κατέστησαν εἰς τὸν τόπον αὐτοῦ· οὕτως ἐποίουν ἡμέραν ἐξ ἡμέρας, καὶ συνήγαγον ἀργύριον πολύ.
[LXX | EL | OT | 2 Chronicles | Chapter 24 | Verse 12] Καὶ ἔδωκεν αὐτὸ ὁ βασιλεὺς καὶ Ἰωδαὲ ὁ ἱερεὺς τοῖς ποιοῦσι τὰ ἔργα εἰς ἐργασίαν οἴκου Κυρίου· καὶ ἐμισθοῦντο λατόμους καὶ τέκτονας ἐπισκευάσαι τὸν οἶκον Κυρίου, καὶ χαλκεῖς σιδήρου καὶ χαλκοῦ ἐπισκευάσαι τὸν οἶκον Κυρίου.
[LXX | EL | OT | 2 Chronicles | Chapter 24 | Verse 13] Καὶ ἐποίουν οἱ ποιοῦντες τὰ ἔργα, καὶ ἀνέβη μῆκος τῶν ἔργων ἐν χερσὶν αὐτῶν, καὶ ἀνέστησαν τὸν οἶκον Κυρίου ἐπὶ τὴν στάσιν αὐτοῦ, καὶ ἐνίσχυσαν.
[LXX | EL | OT | 2 Chronicles | Chapter 24 | Verse 14] Καὶ ὡς συνετέλεσαν, ἤνεγκαν πρὸς τὸν βασιλέα καὶ πρὸς Ἰωδαὲ τὸ κατάλοιπον τοῦ ἀργυρίου, καὶ ἐποίησαν σκεύη εἰς οἶκον Κυρίου, σκεύη λειτουργικὰ ὁλοκαυτωμάτων, καὶ θυΐσκας χρυσᾶς καὶ ἀργυρᾶς, καὶ ἀνήνεγκαν ὁλοκαυτώσεις ἐν οἴκῳ Κυρίου διαπαντὸς πάσας τὰς ἡμέρας Ἰωδαέ.
[LXX | EL | OT | 2 Chronicles | Chapter 24 | Verse 15] Καὶ ἐγήρασεν Ἰωδαὲ πλήρης ἡμερῶν, καὶ ἐτελεύτησεν ὢν ἑκατὸν καὶ τριάκοντα ἐτῶν ἐν τῷ τελευτᾷν αὐτόν.
[LXX | EL | OT | 2 Chronicles | Chapter 24 | Verse 16] Καὶ ἔθαψαν αὐτὸν ἐν πόλει Δαυὶδ μετὰ τῶν βασιλέων, ὅτι ἐποίησεν ἀγαθωσύνην μετὰ Ἰσραὴλ καὶ μετὰ τοῦ Θεοῦ καὶ τοῦ οἴκου αὐτοῦ.
[LXX | EL | OT | 2 Chronicles | Chapter 24 | Verse 17] Καὶ ἐγένετο μετὰ τὴν τελευτὴν Ἰωδαὲ εἰσῆλθον οἱ ἄρχοντες Ἰούδα, καὶ προσεκύνησαν τὸν βασιλέα· τότε ἐπήκουσεν αὐτοῖς ὁ βασιλεύς.
[LXX | EL | OT | 2 Chronicles | Chapter 24 | Verse 18] Καὶ ἐγκατέλιπον τὸν οἶκον Κυρίον Θεοῦ τῶν πατέρων αὐτῶν, καὶ ἐδούλευον ταῖς Ἀστάρταις καὶ τοῖς εἰδώλοις, καὶ ἐγένετο ὀργὴ ἐπὶ Ἰούδαν καὶ ἑπὶ Ἱερουσαλὴμ ἐν τῇ ἡμέρᾳ ταύτῃ.
