[LXX | EL | OT | 2 Chronicles | Chapter 25 | Verse 1] Ὢν εἴκοσι καὶ πέντε ἐτῶν ἐβασίλευσεν Ἀμασίας, καὶ εἰκοσιεννέα ἔτη ἐβασίλευσεν ἐν Ἱερουσαλὴμ, καὶ ὄνομα τῇ μητρὶ αὐτοῦ Ἰωαδαὲν ἀπὸ Ἱερουσαλήμ.
[LXX | EL | OT | 2 Chronicles | Chapter 25 | Verse 2] Καὶ ἐποίησε τὸ εὐθὲς ἐνώπιον Κυρίου, ἀλλʼ οὐκ ἐν καρδίᾳ πλήρει.
[LXX | EL | OT | 2 Chronicles | Chapter 25 | Verse 3] Καὶ ἐγένετο ὡς κατέστη ἡ βασιλεία ἐν χειρὶ αὐτοῦ, καὶ ἐθανάτωσε τοὺς παῖδας αὐτοῦ τοὺς φονεύσαντας τὸυ βασιλέα πατέρα αὐτοῦ·
[LXX | EL | OT | 2 Chronicles | Chapter 25 | Verse 4] Καὶ τοὺς υἱοὺς αὐτῶν οὐκ ἀπέκτεινε, κατὰ τὴν διαθήκην τοῦ νόμου Κύριου, καθὼς γέγραπται, ὡς ἐνετείλατο Κύριος, λέγων, οὐκ ἀποθανοῦνται πατέρες ὑπὲρ τέκνων, καὶ υἱοὶ οὐκ ἀποθανοῦνται ὑπὲρ πατέρων, ἀλλʼ ἢ ἕκαστος τῇ ἑαυτοῦ ἁμαρτίᾳ ἀποθανοῦνται.
[LXX | EL | OT | 2 Chronicles | Chapter 25 | Verse 5] Καὶ συνήγαγεν Ἀμασίας τὸν οἶκον Ἰούδα, καὶ ἀνέστησεν αὐτοὺς κατʼ οἴκους πατριῶν αὐτῶν εἰς χιλιάρχους καὶ ἑκατοντάρχους ἐν παντὶ Ἰούδᾳ καὶ Ἱερουσαλήμ· καὶ ἠρίθμησεν αὐτοὺς ἀπὸ εἰκοσαετοῦς καὶ ἐπάνω, καὶ εὗρεν αὐτοὺς τριακοσίας χιλιάδας ἐξελθεῖν εἰς πόλεμον δυνατοὺς, κρατοῦντας δόρυ καὶ θυρεόν.
[LXX | EL | OT | 2 Chronicles | Chapter 25 | Verse 6] Καὶ ἐμισθώσατο ἀπὸ Ἰσραὴλ ἑκατὸν χιλιάδας δυνατοὺς ἰσχύϊ ἑκατὸν ταλάντων ἀργυρίου.
[LXX | EL | OT | 2 Chronicles | Chapter 25 | Verse 7] Καὶ ἄνθρωπος τοῦ Θεοῦ ἦλθε πρὸς αὐτὸν, λέγων, βασιλεῦ, οὐ πορεύσεται μετὰ σοῦ δύναμις Ἰσραὴλ, ὅτι οὐκ ἔστι Κύριος μετὰ Ἰσραὴλ πάντων τῶν υἱῶν Ἐφραίμ.
[LXX | EL | OT | 2 Chronicles | Chapter 25 | Verse 8] Ὅτι ἐὰν ὑπολάβῃς κατισχῦσαι ἐν τούτοις, καὶ τροπώσεταί σε Κύριος ἐναντίον τῶν ἐχθρῶν, ὅτι ἐστὶ παρὰ Κυρίου καὶ ἰσχῦσαι καὶ τροπώσασθαι.
[LXX | EL | OT | 2 Chronicles | Chapter 25 | Verse 9] Καὶ εἶπεν Ἀμασίας τῷ ἀνθρώπῳ τοῦ Θεοῦ, καὶ τί ποιήσω τὰ ἑκατὸν τάλαντα ἃ ἔδωκα τῇ δυνάμει Ἰσραήλ; καὶ εἶπεν ὁ ἄνθρωπος τοῦ Θεοῦ, ἔστι τῷ Κυρίῳ δοῦναί σοι πλεῖστα τούτων.
[LXX | EL | OT | 2 Chronicles | Chapter 25 | Verse 10] Καὶ διεχώρισεν Ἀμασίας τῇ δυνάμει τῇ ἐλθούσῃ πρὸς αὐτὸν ἀπὸ Ἐφραὶμ, ἀπέλθεῖν εἰς τὸν τόπον αὐτῶν· καὶ ἐθυμώθησαν σφόδρα ἐπὶ Ἰούδαν, καὶ ἐπέστρεψαν εἰς τὸν τόπον αὐτῶν ἐν ὀργῇ θυμοῦ.
[LXX | EL | OT | 2 Chronicles | Chapter 25 | Verse 11] Καὶ Ἀμασίας κατίσχυσε καὶ παρέλαβε τὸν λαὸν αὐτοῦ, καὶ ἐπορεύθη εἰς τὴν κοιλάδα τῶν ἁλῶν, καὶ ἐπάταξεν ἐκεῖ τοὺς υἱοὺς Σηεὶρ, δέκα χιλιάδας.
