[LXX | EL | OT | 2 Chronicles | Chapter 4 | Verse 1] Καὶ ἐποίησε θυσιαστήριον χαλκοῦν, εἴκοσι πήχεων τὸ μῆκος, καὶ εἴκοσι πήχεων τὸ εὖρος, καὶ δέκα πήχεων τὸ ὕψος.
[LXX | EL | OT | 2 Chronicles | Chapter 4 | Verse 2] Καὶ ἐποίησε τὴν θάλασσαν χυτὴν, δέκα πήχεων τὴν διαμέτρησιν, στρογγύλην κυκλόθεν, καὶ πέντε πήχεων τὸ ὕψος, καὶ τὸ κύκλωμα τριάκοντα πήχεων.
[LXX | EL | OT | 2 Chronicles | Chapter 4 | Verse 3] Καὶ ὁμοίωμα μόσχων ὑποκάτω αὐτῆς, κύκλῳ κυκλοῦσιν αὐτήν· δέκα πήχεις περιέχουσι τὸν λουτῆρα κυκλόθεν· δύο γένη ἐχώνευσαν τοὺς μόσχους ἐν τῇ χωνεύσει αὐτῶν
[LXX | EL | OT | 2 Chronicles | Chapter 4 | Verse 4] ᾗ ἐποίησαν αὐτοὺς δώδεκα μόσχους, οἱ τρεῖς βλέποντες Βοῤῥᾶν, καὶ οἱ τρεῖς δυσμὰς, καὶ οἱ τρεῖς Νότον, καὶ οἱ τρεῖς κατʼ ἀνατολὰς, καὶ ἡ θάλασσα ἐπʼ αὐτῶν ἄνω, ἦσαν τὰ ὀπίσθια αὐτῶν ἔσω.
[LXX | EL | OT | 2 Chronicles | Chapter 4 | Verse 5] Καὶ τὸ πάχος αὐτῆς παλαιστὴς, καὶ τὸ χεῖλος αὐτῆς ὡς χεῖλος ποτηρίου, διαγεγλυμμένα βλαστοὺς κρίνου, χωροῦσαν μετρητὰς τρισχιλίους· καὶ ἐξετέλεσε.
[LXX | EL | OT | 2 Chronicles | Chapter 4 | Verse 6] Καὶ ἐποίησε λουτῆρας δέκα, καὶ ἔθηκε τοὺς πέντε ἐκ δεξιῶν καὶ τοὺς πέντε ἐξ ἀριστερῶν, τοῦ πλύνειν ἐν αὐτοῖς τὰ ἔργα τῶν ὁλοκαυτωμάτων, καὶ ἀποκλύζειν ἐν αὐτοῖς, καὶ ἡ θάλασσα εἰς τὸ νίπτεσθαι τοὺς ἱερεῖς ἐν αὐτῇ.
[LXX | EL | OT | 2 Chronicles | Chapter 4 | Verse 7] Καὶ ἐποίησε τὰς λυχνίας τὰς χρυσᾶς δέκα κατὰ τὸ κρίμα αὐτῶν, καὶ ἔθηκεν ἐν τῷ ναῷ, πέντε ἐκ δεξιῶν καὶ πέντε ἐξ ἀριστερῶν.
[LXX | EL | OT | 2 Chronicles | Chapter 4 | Verse 8] Καὶ ἐποίησε τραπέζας δέκα, καὶ ἔθηκεν ἐν τῷ ναῷ, πέντε ἐκ δεξιῶν καὶ πέντε ἐξ εὐωνύμων, καὶ ἐποίησε φιάλας χρυσᾶς ἑκατὸν,
[LXX | EL | OT | 2 Chronicles | Chapter 4 | Verse 9] καὶ ἐποίησε τὴν αὐλὴν τῶν ἱερέων, καὶ τὴν αὐλὴν τὴν μεγάλην, καὶ θύρας τῇ αὐλῇ, καὶ θυρώματα αὐτῶν κατακεχαλκωμένα χαλκῷ.
[LXX | EL | OT | 2 Chronicles | Chapter 4 | Verse 10] Καὶ τὴν θάλασσαν ἔθηκεν ἀπὸ γωνίας τοῦ οἴκου ἐκ δεξιῶν ὡς πρὸς ἀνατολὰς κατέναντι.
[LXX | EL | OT | 2 Chronicles | Chapter 4 | Verse 11] Καὶ ἐποίησε Χιρὰμ τὰς κρεάγρας, καὶ τὰ πυρεῖα, καὶ τὴν ἐσχάραν τοῦ θυσιαστηρίου, καὶ πάντα τὰ σκεύη αὐτοῦ· καὶ συνετέλεσε Χιρὰμ ποιῆσαι πᾶσαν τὴν ἐργασίαν ἣν ἐποίησε Σαλωμὼν τῷ βασιλεῖ ἐν οἴκῳ τοῦ Θεοῦ,
