[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 1] Καὶ ἐγενήθη τῷ Ἰωσαφὰτ ἔτι πλοῦτος καὶ δόξα πολλὴ, καὶ ἐπεγαμβρεύσατο ἐν οἴκῳ Ἀχαάβ.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 2] Καὶ κατέβη διὰ τέλους ἐτῶν πρὸς Ἀχαὰβ εἰς Σαμάρειαν· καὶ ἔθυσεν αὐτῷ Ἀχαὰβ πρόβατα καὶ μόσχους πολλοὺς, καὶ τῷ λαῷ τῷ μετʼ αὐτοῦ, καὶ ἠγάπα αὐτὸν τοῦ συναναβῆναι μετʼ αὐτοῦ εἰς Ῥαμὼθ τῆς Γαλααδίτιδος.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 3] Καὶ εἶπεν Ἀχαὰβ βασιλεὺς Ἰσραὴλ πρὸς Ἰωσαφὰτ βασιλέα Ἰούδα, εἰ πορεύσῃ μετʼ ἐμοῦ εἰς Ῥαμὼθ τῆς Γαλααδίτιδος; καὶ εἶπεν αὐτῷ, ὡς ἐγὼ, οὕτω καὶ σύ· ὡς ὁ λαός σου, καὶ ὁ λαός μου μετὰ σοῦ εἰς πόλεμον.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 4] Καὶ εἶπεν Ἰωσαφὰτ πρὸς βασιλέα Ἰσραὴλ, ζήτησον δὴ σήμερον τὸν Κύριον.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 5] Καὶ συνήγαγεν ὁ βασιλεὺς Ἰσραὴλ τοὺς προφήτας τετρακοσίους ἄνδρας, καὶ εἶπεν αὐτοῖς, εἰ πορευθῶ εἰς Ῥαμὼθ Γαλαὰδ εἰς πόλεμον, ἢ ἐπίοχω; καὶ εἶπαν, ἀνάβαινε, καὶ δώσει ὁ Θεὸς εἰς τὰς χεῖρας τοῦ βασιλέως.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 6] Καὶ εἶπεν Ἰωσαφὰτ, οὐκ ἔστιν ὧδε προφήτης τοῦ κυρίου ἔτι, καὶ ἐπιζητήσομεν παρʼ αὐτοῦ;
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 7] Καὶ εἶπε βασιλεὺς Ἰσραὴλ πρὸς Ἰωσαφὰτ, ἔτι ἀνὴρ εἷς τοῦ ζητῆσαι τὸν Κύριον διʼ αὐτοῦ, καὶ ἐγὼ ἐμίσησα αὐτὸν, ὅτι οὐκ ἔστι προφητεύων περὶ ἐμοῦ εἰς ἀγαθὰ, ὅτι πᾶσαι αἱ ἡμέραι αὐτοῦ εἰς κακὰ, οὗτος Μιχαίας υἱὸς Ἰεμβλά· καὶ εἶπεν Ἰωσαφὰτ, μὴ λαλείτω ὁ βασιλεὺς οὕτως.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 8] Καὶ ἐκάλεσεν ὁ βασιλεὺς εὐνοῦχον ἕνα, καὶ εἶπε, τάχος Μιχαίαν υἱὸν Ἰεμβλά.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 9] Καὶ βασιλεὺς Ἰσραὴλ καὶ Ἰωσαφὰτ βασιλεὺς Ἰούδα καθήμενοι ἕκαστος ἐπὶ θρόνου αὐτοῦ, καὶ ἐνδεδυμένοι στολὰς, καθήμενοι ἐν τῷ εὐρυχώρῳ θύρας πύλης Σαμαρείας, καὶ πάντες οἱ προφῆται προεφήτευον ἐναντίον αὐτῶν.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 10] Καὶ ἐποίησεν ἑαυτῷ Σεδεκίας υἱὸς Χαναὰν κέρατα σιδηρᾶ, καὶ εἶπε, τάδε λέγει Κύριος, ἐν τούτοις κερατιεῖς τὴν Συρίαν ἕως ἂν συντελεσθῇ.
[LXX | EL | OT | 2 Chronicles | Chapter 18 | Verse 11] Καὶ πάντες οἱ προφῆται προεφήτευον οὕτω, λέγοντες, ἀνάβαινε εἰς Ῥαμὼθ Γαλαὰδ, καὶ εὐοδωθήσῃ, καὶ δώσει Κύριος εἰς χεῖρας τοῦ βασιλέως.
