[LXX | EL | OT | 2 Chronicles | Chapter 8 | Verse 1] Καὶ ἐγένετο μετὰ εἴκοσι ἔτη ἐν οἷς ᾠκοδόμησε Σαλωμὼν τὸν οἶκον Κυρίου, καὶ τὸν οἶκον αὑτοῦ,
[LXX | EL | OT | 2 Chronicles | Chapter 8 | Verse 2] καὶ τὰς πόλεις ἃς ἔδωκε Χιρὰμ τῷ Σαλωμὼν, ᾠκοδόμησεν αὐτὰς Σαλωμὼν, καὶ κατῴκισεν ἐκεῖ τοὺς υἱοὺς Ἰσραήλ.
[LXX | EL | OT | 2 Chronicles | Chapter 8 | Verse 3] Καὶ ἦλθε Σαλωμὼν εἰς Βαισωβὰ, καὶ κατίσχυσεν αὐτήν.
[LXX | EL | OT | 2 Chronicles | Chapter 8 | Verse 4] Καὶ ᾠκοδόμησε τὴν Θοεδμὸρ ἐν τῇ ἐρήμῳ, καὶ πάσας τὰς πόλεις τὰς ὀχυρὰς ἃς ᾠκοδόμησεν ἐν Ἠμάθ.
[LXX | EL | OT | 2 Chronicles | Chapter 8 | Verse 5] Καὶ ᾠκοδόμησε τὴν Βαιθωρὼν τὴν ἄνω καὶ τὴν Βαιθωρὼν τὴν κάτω, πόλεις ὀχυράς· τείχη, πύλαι, καὶ μοχλοί·
[LXX | EL | OT | 2 Chronicles | Chapter 8 | Verse 6] Καὶ τὴν Βαλαὰθ, καὶ πάσας τὰς πόλεις τὰς ὀχυρὰς αἳ ἦσαν τῷ Σαλωμὼν, καὶ πάσας τὰς πόλεις τῶν ἁρμάτων, καὶ τὰς πόλεις τῶν ἱππέων· καὶ ὅσα ἐπεθύμησε Σαλωμὼν κατὰ τὴν ἐπιθυμίαν τοῦ οἰκοδομῆσαι ἐν Ἱερουσαλὴμ, καὶ ἐν τῷ Λιβάνῳ, καὶ ἐν πάσῃ τῇ βασιλείᾳ αὐτοῦ.
[LXX | EL | OT | 2 Chronicles | Chapter 8 | Verse 7] Πᾶς ὁ λαὸς ὁ καταλειφθεὶς ἀπὸ τοῦ Χετταίου, καὶ τοῦ Ἀμοῥῥαίου, καὶ τοῦ Φερεζαίου, καὶ τοῦ Εὐαίου, καὶ τοῦ Ἰεβουσαίου, οἳ οὐκ εἰσὶν ἐκ τοῦ Ἰσραὴλ,
[LXX | EL | OT | 2 Chronicles | Chapter 8 | Verse 8] ἀλλʼ ἦσαν ἐκ τῶν υἱῶν αὐτῶν τῶν καταλειφθέντων μετʼ αὐτοὺς ἐν τῇ γῇ, οὓς οὐκ ἐξωλόθρευσαν οἱ υἱοὶ Ἰσραὴλ, καὶ ἀνήγαγεν αὐτοὺς Σαλωμὼν εἰς φόρον ἕως τῆς ἡμέρας ταύτης.
[LXX | EL | OT | 2 Chronicles | Chapter 8 | Verse 9] Καὶ ἐκ τῶν υἱῶν Ἰσραὴλ οὐκ ἔδωκε Σαλωμὼν εἰς παῖδας τῇ βασιλείᾳ αὐτοῦ· ὅτι ἰδοὺ ἄνδρες πολεμισταὶ καὶ ἄρχοντες, καὶ οἱ δυνατοὶ καὶ ἄρχοντες ἁρμάτων καὶ ἱππέων.
[LXX | EL | OT | 2 Chronicles | Chapter 8 | Verse 10] Καὶ οὗτοι ἄρχοντες τῶν προστατῶν βασιλέως Σαλωμὼν, πεντήκοντα καὶ διακόσιοι ἐργοδιωκτοῦντες ἐν τῷ λαῷ.
[LXX | EL | OT | 2 Chronicles | Chapter 8 | Verse 11] Καὶ τὴν θυγατέρα Φαραὼ ἀνήγαγε Σαλωμὼν ἐκ πόλεως Δαυὶδ εἰς τὸν οἶκον ὃν ᾠκοδόμησεν αὐτῇ, ὅτι εἶπεν, οὐ κατοικήσει ἡ γυνή μου ἐν πόλει Δαυὶδ τοῦ βασιλέως Ἰσραὴλ, ὅτι ἅγιός ἐστιν οὗ εἰσῆλθεν ἐκεῖ κιβωτὸς Κυρίου.
