[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 1] Against Moab thus saith the Lord of hosts, the God of Israel; Woe unto Nebo! for it is spoiled: Kiriathaim is confounded and taken: Misgab is confounded and dismayed.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 2] There shall be no more praise of Moab: In Heshbon they have devised evil against it; Come, and let us cut it off from being a nation. Also thou shalt be cut down, O Madmen; The sword shall pursue thee.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 3] A voice of crying shall be from Horonaim, Spoiling and great destruction.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 4] Moab is destroyed; Her little ones have caused a cry to be heard.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 5] For in the going up of Luhith Continual weeping shall go up; For in the going down of Horonaim The enemies have heard a cry of destruction.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 6] Flee, save your lives, And be like the heath in the wilderness.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 7] For because thou hast trusted in thy works and in thy treasures, Thou shalt also be taken: And Chemosh shall go forth into captivity With his priests and his princes together.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 8] And the spoiler shall come upon every city, And no city shall escape: The valley also shall perish, And the plain shall be destroyed, As the Lord hath spoken.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 9] Give wings unto Moab, That it may flee and get away: For the cities thereof shall be desolate, Without any to dwell therein.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 10] Cursed be he that doeth the work of the Lord deceitfully, And cursed be he that keepeth back his sword from blood.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 11] Moab hath been at ease from his youth, And he hath settled on his lees, And hath not been emptied from vessel to vessel, Neither hath he gone into captivity: Therefore his taste remained in him, And his sent is not changed.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 12] Therefore behold, the days come, saith the Lord, That I will send unto him wanderers, that shall cause him to wander, And shall empty his vessels, and break their bottles.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 13] And Moab shall be ashamed of Chemosh, As the house of Israel was ashamed of Beth-el their confidence.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 14] How say ye, We are mighty and strong men for the war?
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 15] Moab is spoiled, and gone up out of her cities, And his chosen young men are gone down to the slaughter, Saith the King, whose name is the Lord of hosts.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 16] The calamity of Moab is near to come, And his affliction hasteth fast.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 17] All ye that are about him, bemoan him; And all ye that know his name, Say, How is the strong staff broken, And the beautiful rod!
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 18] Thou daughter that dost inhabit Dibon, Come down from thy glory, and sit in thirst; For the spoiler of Moab shall come upon thee, And he shall destroy thy strong holds.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 19] O inhabitant of Aroer, Stand by the way and espy; Ask him that fleeth, and her that escapeth, And say, What is done?
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 20] Moab is confounded; for it is broken down: Howl and cry; Tell ye it in Arnon, that Moab is spoiled,
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 21] And judgment is come upon the plain country; Upon Holon, and upon Jahazah, and upon Mephaath,
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 22] And upon Dibon, and upon Nebo, and upon Beth-diblathaim,
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 23] And upon Kiriathaim, and upon Beth-gamul, and upon Beth-meon,
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 24] And upon Kerioth, and upon Bozrah, And upon all the cities of the land of Moab, far or near.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 25] The horn of Moab is cut off, And his arm is broken, saith the Lord.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 26] Make ye him drunken: for he magnified himself against the Lord: Moab also shall wallow in his vomit, And he also shall be in derision.
[KJV | EN | OT | Jeremiah | Chapter 48 | Verse 27] For was not Israel a derision unto thee? Was he found among thieves? For since thou spakest of him, thou skippedst for joy.
