[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 1] If thou wilt return, O Israel, saith the Lord, return unto me: and if thou wilt put away thine abominations out of my sight, then shalt thou not remove.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 2] And thou shalt swear, The Lord liveth, in truth, in judgment, and in righteousness; and the nations shall bless themselves in him, and in him shall they glory.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 3] For thus saith the Lord to the men of Judah and Jerusalem, Break up your fallow ground, and sow not among thorns.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 4] Circumcise yourselves to the Lord, and take away the foreskins of your heart, ye men of Judah and inhabitants of Jerusalem: lest my fury come forth like fire, and burn that none can quench it, because of the evil of your doings.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 5] Declare ye in Judah, and publish in Jerusalem; and say, Blow ye the trumpet in the land: cry, gather together, and say, Assemble yourselves, and let us go into the defenced cities.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 6] Set up the standard toward Zion: retire, stay not: for I will bring evil from the north, and a great destruction.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 7] The lion is come up from his thicket, and the destroyer of the Gentiles is on his way; he is gone forth from his place to make thy land desolate; and thy cities shall be laid waste, without an inhabitant.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 8] For this gird you with sackcloth, lament and howl: for the fierce anger of the Lord is not turned back from us.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 9] And it shall come to pass at that day, saith the Lord, that the heart of the king shall perish, and the heart of the princes; and the priests shall be astonished, and the prophets shall wonder.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 10] (Then said I, Ah, Lord God! surely thou hast greatly deceived this people and Jerusalem, saying, Ye shall have peace; whereas the sword reacheth unto the soul).
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 11] At that time shall it be said to this people and to Jerusalem, A dry wind of the high places in the wilderness toward the daughter of my people, Not to fan, nor to cleanse,
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 12] Even a full wind from those places shall come unto me: Now also will I give sentence against them.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 13] Behold, he shall come up as clouds, And his chariots shall be as a whirlwind: His horses are swifter than eagles. Woe unto us! for we are spoiled.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 14] O Jerusalem, wash thine heart from wickedness, that thou mayest be saved. How long shall thy vain thoughts lodge within thee?
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 15] For a voice declareth from Dan, And publisheth affliction from mount Ephraim.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 16] Make ye mention to the nations; behold, publish against Jerusalem, That watchers come from a far country, And give out their voice against the cities of Judah.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 17] As keepers of a field, are they against her round about; Because she hath been rebellious against me, saith the Lord.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 18] Thy way and thy doings have procured these things unto thee; This is thy wickedness, because it is bitter, Because it reacheth unto thine heart.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 19] My bowels, my bowels! I am pained at my very heart; My heart maketh a noise in me; I cannot hold my peace, Because thou hast heard, O my soul, the sound of the trumpet, the alarm of war.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 20] Destruction upon destruction is cried; for the whole land is spoiled: Suddenly are my tents spoiled, and my curtains in a moment.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 21] How long shall I see the standard, and hear the sound of the trumpet?
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 22] For my people is foolish, they have not known me; They are sottish children, and they have none understanding: They are wise to do evil, but to do good they have no knowledge.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 23] I beheld the earth, and lo, it was without form, and void; And the heavens, and they had no light.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 24] I beheld the mountains, and lo, they trembled, And all the hills moved lightly.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 25] I beheld, and lo, there was no man, And all the birds of the heavens were fled.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 26] I beheld, and lo, the fruitful place was a wilderness, And all the cities thereof were broken down At the presence of the Lord, and by his fierce anger.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 27] For thus hath the Lord said, The whole land shall be desolate; Yet will I not make a full end.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 28] For this shall the earth mourn, and the heavens above be black: Because I have spoken it, I have purposed it, And will not repent, neither will I turn back from it.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 29] The whole city shall flee for the noise of the horsemen and bowmen; They shall go into thickets, and climb up upon the rocks: Every city shall be forsaken, and not a man dwell therein.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 30] And when thou art spoiled, what wilt thou do? Though thou clothest thyself with crimson, though thou deckest thee with ornaments of gold, Though thou rentest thy face with painting, in vain shalt thou make thyself fair; Thy lovers will despise thee, they will seek thy life.
[KJV | EN | OT | Jeremiah | Chapter 4 | Verse 31] For I have heard a voice as of a woman in travail, and the anguish as of her that bringeth forth her first child, The voice of the daughter of Zion, that bewaileth herself, that spreadeth her hands, Saying, Woe is me now! for my soul is wearied because of murderers.
