[KJV | EN | OT | Jeremiah | Chapter 20 | Verse 1] Now Pashur the son of Immer the priest, who was also chief governor in the house of the Lord, heard that Jeremiah prophesied these things.
[KJV | EN | OT | Jeremiah | Chapter 20 | Verse 2] Then Pashur smote Jeremiah the prophet, and put him in the stocks that were in the high gate of Benjamin, which was by the house of the Lord.
[KJV | EN | OT | Jeremiah | Chapter 20 | Verse 3] And it came to pass on the morrow, that Pashur brought forth Jeremiah out of the stocks. Then said Jeremiah unto him, The Lord hath not called thy name Pashur, but Magor-missabib.
[KJV | EN | OT | Jeremiah | Chapter 20 | Verse 4] For thus saith the Lord, Behold, I will make thee a terror to thyself, and to all thy friends: and they shall fall by the sword of their enemies, and thine eyes shall behold it; and I will give all Judah into the hand of the king of Babylon, and he shall carry them captive into Babylon, and shall slay them with the sword.
[KJV | EN | OT | Jeremiah | Chapter 20 | Verse 5] Moreover I will deliver all the strength of this city, and all the labours thereof, and all the precious things thereof, and all the treasures of the kings of Judah will I give into the hand of their enemies, which shall spoil them, and take them, and carry them to Babylon.
[KJV | EN | OT | Jeremiah | Chapter 20 | Verse 6] And thou, Pashur, and all that dwell in thine house shall go into captivity: and thou shalt come to Babylon, and there thou shalt die, and shalt be buried there, thou, and all thy friends, to whom thou hast prophesied lies.
[KJV | EN | OT | Jeremiah | Chapter 20 | Verse 7] O Lord, thou hast deceived me, and I was deceived: Thou art stronger than I, and hast prevailed: I am in derision daily, Every one mocketh me.
[KJV | EN | OT | Jeremiah | Chapter 20 | Verse 8] For since I spake, I cried out, I cried violence and spoil; Because the word of the Lord was made a reproach unto me, And a derision, daily.
[KJV | EN | OT | Jeremiah | Chapter 20 | Verse 9] Then I said, I will not make mention of him, Nor speak any more in his name. But his word was in mine heart as a burning fire shut up in my bones, And I was weary with forbearing, and I could not stay.
[KJV | EN | OT | Jeremiah | Chapter 20 | Verse 10] For I heard the defaming of many, fear on every side. Report, say they, and we will report it. All my familiars watched for my halting, saying, Peradventure he will be enticed, and we shall prevail against him, And we shall take our revenge on him.
[KJV | EN | OT | Jeremiah | Chapter 20 | Verse 11] But the Lord is with me as a mighty terrible one: Therefore my persecutors shall stumble, and they shall not prevail: They shall be greatly ashamed: for they shall not prosper: Their everlasting confusion shall never be forgotten.
[KJV | EN | OT | Jeremiah | Chapter 20 | Verse 12] But, O Lord of hosts, that triest the righteous, And seest the reins and the heart, Let me see thy vengeance on them: For unto thee have I opened my cause.
[KJV | EN | OT | Jeremiah | Chapter 20 | Verse 13] Sing unto the Lord, praise ye the Lord: For he hath delivered the soul of the poor from the hand of evildoers.
[KJV | EN | OT | Jeremiah | Chapter 20 | Verse 14] Cursed be the day wherein I was born: Let not the day wherein my mother bare me be blessed.
[KJV | EN | OT | Jeremiah | Chapter 20 | Verse 15] Cursed be the man who brought tidings to my father, saying, A man child is born unto thee; Making him very glad.
[KJV | EN | OT | Jeremiah | Chapter 20 | Verse 16] And let that man be as the cities which the Lord overthrew, and repented not: And let him hear the cry in the morning, and the shouting at noontide;
[KJV | EN | OT | Jeremiah | Chapter 20 | Verse 17] Because he slew me not from the womb; Or that my mother might have been my grave, And her womb to be always great with me.
[KJV | EN | OT | Jeremiah | Chapter 20 | Verse 18] Wherefore came I forth out of the womb To see labour and sorrow, That my days should be consumed with shame?
