[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 1] O that my head were waters, and mine eyes a fountain of tears, That I might weep day and night for the slain of the daughter of my people!
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 2] O that I had in the wilderness a lodging place of wayfaring men; That I might leave my people, and go from them! For they be all adulterers, an assembly of treacherous men.
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 3] And they bend their tongues like their bow for lies: But they are not valiant for the truth upon the earth; For they proceed from evil to evil, And they know not me, saith the Lord.
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 4] Take ye heed every one of his neighbour, And trust ye not in any brother: For every brother will utterly supplant, And every neighbour will walk with slanders.
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 5] And they will deceive every one his neighbour, And will not speak the truth: They have taught their tongue to speak lies, And weary themselves to commit iniquity.
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 6] Thine habitation is in the midst of deceit; Through deceit they refuse to know me, saith the Lord.
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 7] Therefore thus saith the Lord of hosts, Behold, I will melt them, and try them; For how shall I do for the daughter of my people?
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 8] Their tongue is as an arrow shot out; it speaketh deceit: One speaketh peaceably to his neighbour with his mouth, But in heart he layeth his wait.
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 9] Shall I not visit them for these things? saith the Lord: Shall not my soul be avenged on such a nation as this?
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 10] For the mountains will I take up a weeping and wailing, And for the habitations of the wilderness a lamentation, Because they are burnt up, so that none can pass through them; Neither can men hear the voice of the cattle; Both the fowl of the heavens and the beast Are fled; they are gone.
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 11] And I will make Jerusalem heaps, and a den of dragons; And I will make the cities of Judah desolate, without an inhabitant.
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 12] Who is the wise man, that may understand this? And who is he to whom the mouth of the Lord hath spoken, that he may declare it, For what the land perisheth And is burnt up like a wilderness, that none passeth through?
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 13] And the Lord saith, Because they have forsaken my law which I set before them, And have not obeyed my voice, neither walked therein;
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 14] But have walked after the imagination of their own heart, And after Baalim, which their fathers taught them:
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 15] Therefore thus saith the Lord of hosts, the God of Israel; Behold, I will feed them, even this people, with wormwood, And give them water of gall to drink.
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 16] I will scatter them also among the heathen, whom neither they nor their fathers have known: And I will send a sword after them, till I have consumed them.
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 17] Thus saith the Lord of hosts, Consider ye, and call for the mourning women, that they may come; And send for cunning women, that they may come:
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 18] And let them make haste, and take up a wailing for us, That our eyes may run down with tears, And our eyelids gush out with waters.
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 19] For a voice of wailing is heard out of Zion, How are we spoiled! We are greatly confounded, because we have forsaken the land, Because our dwellings have cast us out.
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 20] Yet hear the word of the Lord, O ye women, And let your ear receive the word of his mouth, And teach your daughters wailing, And every one her neighbour lamentation.
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 21] For death is come up into our windows, and is entered into our palaces, To cut off the children from without, and the young men from the streets.
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 22] Speak, Thus saith the Lord, Even the carcases of men shall fall as dung upon the open field, And as the handful after the harvestman, and none shall gather them.
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 23] Thus saith the Lord, Let not the wise man glory in his wisdom, Neither let the mighty man glory in his might, Let not the rich man glory in his riches:
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 24] But let him that glorieth glory in this, That he understandeth and knoweth me, That I am the Lord which exercise lovingkindness, judgment, and righteousness, in the earth: For in these things I delight, saith the Lord.
[KJV | EN | OT | Jeremiah | Chapter 9 | Verse 25] Behold, the days come, saith the Lord, That I will punish all them which are circumcised with the uncircumcised;
