[KJV | EN | OT | Jeremiah | Chapter 51 | Verse 1] Thus saith the Lord; Behold, I will raise up against Babylon, And against them that dwell in the midst of them that rise up against me, A destroying wind;
[KJV | EN | OT | Jeremiah | Chapter 51 | Verse 2] And will send unto Babylon fanners, that shall fan her, And shall empty her land: For in the day of trouble they shall be against her round about.
[KJV | EN | OT | Jeremiah | Chapter 51 | Verse 3] Against him that bendeth let the archer bend his bow, And against him that lifteth himself up in his brigandine: And spare ye not her young men; Destroy ye utterly all her host.
[KJV | EN | OT | Jeremiah | Chapter 51 | Verse 4] Thus the slain shall fall in the land of the Chaldeans, And they that are thrust through in her streets.
[KJV | EN | OT | Jeremiah | Chapter 51 | Verse 5] For Israel hath not been forsaken, Nor Judah of his God, of the Lord of hosts; Though their land was filled with sin Against the Holy One of Israel.
[KJV | EN | OT | Jeremiah | Chapter 51 | Verse 6] Flee out of the midst of Babylon, And deliver every man his soul: Be not cut off in her iniquity; For this is the time of the Lord’s vengeance; He will render unto her a recompence.
[KJV | EN | OT | Jeremiah | Chapter 51 | Verse 7] Babylon hath been a golden cup in the Lord’s hand, That made all the earth drunken: The nations have drunken of her wine; Therefore the nations are mad.
[KJV | EN | OT | Jeremiah | Chapter 51 | Verse 8] Babylon is suddenly fallen and destroyed: Howl for her; Take balm for her pain, If so be she may be healed.
[KJV | EN | OT | Jeremiah | Chapter 51 | Verse 9] We would have healed Babylon, but she is not healed: Forsake her, and let us go every into his own country: For her judgment reacheth unto heaven, And is lifted up even to the skies.
[KJV | EN | OT | Jeremiah | Chapter 51 | Verse 10] The Lord hath brought forth our righteousness: Come, and let us declare in Zion The work of the Lord our God.
[KJV | EN | OT | Jeremiah | Chapter 51 | Verse 11] Make bright the arrows: gather the shields: The Lord hath raised up the spirit of the kings of the Medes: For his device is against Babylon, to destroy it; Because it is the vengeance of the Lord, The vengeance of his temple.
[KJV | EN | OT | Jeremiah | Chapter 51 | Verse 12] Set up the standard upon the walls of Babylon, Make the watch strong, set up the watchmen, Prepare the ambushes: For the Lord hath both devised and done That which he spake against the inhabitants of Babylon.
[KJV | EN | OT | Jeremiah | Chapter 51 | Verse 13] O thou that dwellest upon many waters, abundant in treasures, Thine end is come, and the measure of thy covetousness.
[KJV | EN | OT | Jeremiah | Chapter 51 | Verse 14] The Lord of hosts hath sworn by himself, saying, Surely I will fill thee with men, as with caterpillars; And they shall lift up a shout against thee.
[KJV | EN | OT | Jeremiah | Chapter 51 | Verse 15] He hath made the earth by his power, He hath established the world by his wisdom, And hath stretched out the heaven by his understanding.
[KJV | EN | OT | Jeremiah | Chapter 51 | Verse 16] When he uttereth his voice, there is a multitude of waters in the heavens; And he causeth the vapours to ascend from the ends of the earth: He maketh lightnings with rain, And bringeth forth the wind out of his treasures.
[KJV | EN | OT | Jeremiah | Chapter 51 | Verse 17] Every man is brutish by his knowledge; Every founder is confounded by the graven image: For his molten image is falsehood, and there is no breath in them.
