[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 1] The word that came to Jeremiah from the Lord, saying,
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 2] Thus speaketh the Lord God of Israel, saying, Write thee all the words that I have spoken unto thee in a book.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 3] For lo, the days come, saith the Lord, that I will bring again the captivity of my people Israel and Judah, saith the Lord: and I will cause them to return to the land that I gave to their fathers, and they shall possess it.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 4] And these are the words that the Lord spake concerning Israel and concerning Judah.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 5] For thus saith the Lord; We have heard a voice of trembling, Of fear, and not of peace.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 6] Ask ye now, and see whether a man doth travail with child? Wherefore do I see every man with his hands on his loins, as a woman in travail, And all faces are turned into paleness?
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 7] Alas! for that day is great, so that none is like it: It is even the time of Jacob’s trouble; But he shall be saved out of it.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 8] For it shall come to pass in that day, saith the Lord of hosts, That I will break his yoke from off thy neck, And will burst thy bonds, And strangers shall no more serve themselves of him:
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 9] But they shall serve the Lord their God, And David their king, whom I will raise up unto them.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 10] Therefore fear thou not, O my servant Jacob, saith the Lord; Neither be dismayed, O Israel: For lo, I will save thee from afar, And thy seed from the land of their captivity; And Jacob shall return, And shall be in rest, and be quiet, And none shall make him afraid.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 11] For I am with thee, saith the Lord, to save thee: Though I make a full end of all nations whither I have scattered thee, Yet will I not make a full end of thee: But I will correct thee in measure, And will not leave thee altogether unpunished.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 12] For thus saith the Lord, Thy bruise is incurable, And thy wound is grievous.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 13] There is none to plead thy cause, that thou mayest be bound up: Thou hast no healing medicines.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 14] All thy lovers have forgotten thee; They seek thee not; For I have wounded thee with the wound of an enemy, with the chastisement of a cruel one, For the multitude of thine iniquity; Because thy sins were increased.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 15] Why criest thou for thine affliction? Thy sorrow is incurable for the multitude of thine iniquity: Because thy sins were increased, I have done these things unto thee.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 16] Therefore all they that devour thee shall be devoured; And all thine adversaries, every one of them, shall go into captivity; And they that spoil thee shall be a spoil, And all that prey upon thee will I give for a prey.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 17] For I will restore health unto thee, And I will heal thee of thy wounds, saith the Lord; Because they called thee an Outcast, saying, This is Zion, whom no man seeketh after.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 18] Thus saith the Lord: Behold, I will bring again the captivity of Jacob’s tents, And have mercy on his dwelling places; And the city shall be builded upon her own heap, And the palace shall remain after the manner thereof.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 19] And out of them shall proceed thanksgiving and the voice of them that make merry: And I will multiply them, and they shall not be few; I will also glorify them, and they shall not be small.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 20] Their children also shall be as aforetime, And their congregation shall be established before me, And I will punish all that oppress them.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 21] And their nobles shall be of themselves, And their governor shall proceed from the midst of them; And I will cause him to draw near, and he shall approach unto me: For who is this that engaged his heart to approach unto me? saith the Lord.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 22] And ye shall be my people, and I will be your God.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 23] Behold, the whirlwind of the Lord goeth forth with fury, A continuing whirlwind: It shall fall with pain upon the head of the wicked.
[KJV | EN | OT | Jeremiah | Chapter 30 | Verse 24] The fierce anger of the Lord shall not return, until he have done it, And until he have performed the intents of his heart: In the latter days ye shall consider it.
