[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 1] Thus saith the Lord; Go down to the house of the king of Judah, and speak there this word,
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 2] and say, Hear the word of the Lord, O king of Judah, that sittest upon the throne of David, thou, and thy servants, and thy people that enter in by these gates:
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 3] Thus saith the Lord; Execute ye judgment and righteousness, and deliver the spoiled out of the hand of the oppressor; and do no wrong, do no violence, to the stranger, the fatherless, nor the widow, neither shed innocent blood in this place.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 4] For if ye do this thing indeed, then shall there enter in by the gates of this house kings sitting upon the throne of David, riding in chariots and on horses, he, and his servants, and his people.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 5] But if ye will not hear these words, I swear by myself, saith the Lord, that this house shall become a desolation.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 6] For thus saith the Lord unto the king’s house of Judah; Thou art Gilead unto me, and the head of Lebanon: yet surely I will make thee a wilderness and cities which are not inhabited.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 7] And I will prepare destroyers against thee, every one with his weapons: and they shall cut down thy choice cedars, and cast them into the fire.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 8] And many nations shall pass by this city, and they shall say every man to his neighbour, Wherefore hath the Lord done thus unto this great city?
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 9] Then they shall answer, Because they have forsaken the covenant of the Lord their God, and worshipped other gods, and served them.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 10] Weep ye not for the dead, neither bemoan him: But weep sore for him that goeth away: For he shall return no more, Nor see his native country.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 11] For thus saith the Lord touching Shallum the son of Josiah king of Judah, which reigned instead of Josiah his father, which went forth out of this place; He shall not return thither any more:
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 12] but he shall die in the place whither they have led him captive, and shall see this land no more.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 13] Woe unto him that buildeth his house by unrighteousness, And his chambers by wrong; That useth his neighbour’s service without wages, And giveth him not for his work;
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 14] That saith, I will build me a wide house and large chambers, And cutteth him out windows; And it is cieled with cedar, and painted with vermilion.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 15] Shalt thou reign, because thou closest thyself in cedar? Did not thy father eat and drink, And do judgment and justice, And then it was well with him?
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 16] He judged the cause of the poor and needy; then it was well with him: Was not this to know me? saith the Lord.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 17] But thine eyes and thine heart are not but for thy covetousness, And for to shed innocent blood, And for oppression, and for violence, to do it.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 18] Therefore thus saith the Lord concerning Jehoiakim the son of Josiah king of Judah; They shall not lament for him, saying, Ah my brother! or, Ah sister! They shall not lament for him, saying, Ah lord! or, Ah his glory.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 19] He shall be buried with the burial of an ass, Drawn and cast forth beyond the gates of Jerusalem.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 20] Go up to Lebanon, and cry; and lift up thy voice in Bashan, And cry from the passages: For all thy lovers are destroyed.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 21] I spake unto thee in thy prosperity; But thou saidst, I will not hear. This hath been thy manner from thy youth, That thou obeyedst not my voice.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 22] The wind shall eat up all thy pastors, And thy lovers shall go into captivity: Surely then shalt thou be ashamed and confounded for all thy wickedness.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 23] O inhabitant of Lebanon, that makest thy nest in the cedars, How gracious shalt thou be when pangs come upon thee, The pain as of a woman in travail.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 24] As I live, saith the Lord, though Coniah the son of Jehoiakim king of Judah were the signet upon my right hand, yet would I pluck thee thence;
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 25] and I will give thee into the hand of them that seek thy life, and into the hand of them whose face thou fearest, even into the hand of Nebuchadrezzar king of Babylon, and into the hand of the Chaldeans.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 26] And I will cast thee out, and thy mother that bare thee, into another country, where ye were not born; and there shall ye die.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 27] But to the land whereunto they desire to return, thither shall they not return.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 28] Is this man Coniah a despised broken idol? is he a vessel wherein is no pleasure? wherefore are they cast out, he and his seed, and are cast into a land which they know not?
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 29] O earth, earth, earth, hear the word of the Lord.
[KJV | EN | OT | Jeremiah | Chapter 22 | Verse 30] Thus saith the Lord, Write ye this man childless, a man that shall not prosper in his days: for no man of his seed shall prosper, sitting upon the throne of David, and ruling any more in Judah.
