[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 1] For everything there is a fixed time, and a time for every business under the sun.
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 2] A time for birth and a time for death; a time for planting and a time for uprooting;
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 3] A time to put to death and a time to make well; a time for pulling down and a time for building up;
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 4] A time for weeping and a time for laughing; a time for sorrow and a time for dancing;
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 5] A time to take stones away and a time to get stones together; a time for kissing and a time to keep from kissing;
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 6] A time for search and a time for loss; a time to keep and a time to give away;
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 7] A time for undoing and a time for stitching; a time for keeping quiet and a time for talk;
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 8] A time for love and a time for hate; a time for war and a time for peace.
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 9] What profit has the worker in the work which he does?
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 10] I saw the work which God has put on the sons of man.
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 11] He has made everything right in its time; but he has made their hearts without knowledge, so that man is unable to see the works of God, from the first to the last.
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 12] I am certain that there is nothing better for a man than to be glad, and to do good while life is in him.
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 13] And for every man to take food and drink, and have joy in all his work, is a reward from God.
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 14] I am certain that whatever God does will be for ever. No addition may be made to it, nothing may be taken from it; and God has done it so that man may be in fear before him.
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 15] Whatever is has been before, and what is to be is now; because God makes search for the things which are past.
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 16] And again, I saw under the sun, in the place of the judges, that evil was there; and in the place of righteousness, that evil was there.
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 17] I said in my heart, God will be judge of the good and of the bad; because a time for every purpose and for every work has been fixed by him.
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 18] I said in my heart, It is because of the sons of men, so that God may put them to the test and that they may see themselves as beasts.
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 19] Because the fate of the sons of men and the fate of the beasts is the same. As is the death of one so is the death of the other, and all have one spirit. Man is not higher than the beasts; because all is to no purpose.
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 20] All go to one place, all are of the dust, and all will be turned to dust again.
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 21] Who is certain that the spirit of the sons of men goes up to heaven, or that the spirit of the beasts goes down to the earth?
[BBE | EN | OT | Ecclesiastes | Chapter 3 | Verse 22] So I saw that there is nothing better than for a man to have joy in his work — because that is his reward. Who will make him see what will come after him?
