[SBLGNT | EL | NT | 1 Corinthians | Chapter 3 | Verse 1] Κἀγώ, ἀδελφοί, οὐκ ἠδυνήθην ⸂λαλῆσαι ὑμῖν⸃ ὡς πνευματικοῖς ἀλλʼ ὡς ⸀σαρκίνοις, ὡς νηπίοις ἐν Χριστῷ.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 3 | Verse 2] γάλα ὑμᾶς ἐπότισα, ⸀οὐ βρῶμα, οὔπω γὰρ ἐδύνασθε. ἀλλʼ ⸀οὐδὲ ἔτι νῦν δύνασθε,
[SBLGNT | EL | NT | 1 Corinthians | Chapter 3 | Verse 3] ἔτι γὰρ σαρκικοί ἐστε. ὅπου γὰρ ἐν ὑμῖν ζῆλος καὶ ⸀ἔρις, οὐχὶ σαρκικοί ἐστε καὶ κατὰ ἄνθρωπον περιπατεῖτε;
[SBLGNT | EL | NT | 1 Corinthians | Chapter 3 | Verse 4] ὅταν γὰρ λέγῃ τις· Ἐγὼ μέν εἰμι Παύλου, ἕτερος δέ· Ἐγὼ Ἀπολλῶ, ⸂οὐκ ἄνθρωποί⸃ ἐστε;
[SBLGNT | EL | NT | 1 Corinthians | Chapter 3 | Verse 5] ⸀Τί οὖν ἐστιν ⸂Ἀπολλῶς; τί δέ ἐστιν Παῦλος⸃; ⸀διάκονοι διʼ ὧν ἐπιστεύσατε, καὶ ἑκάστῳ ὡς ὁ κύριος ἔδωκεν.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 3 | Verse 6] ἐγὼ ἐφύτευσα, Ἀπολλῶς ἐπότισεν, ἀλλὰ ὁ θεὸς ηὔξανεν·
[SBLGNT | EL | NT | 1 Corinthians | Chapter 3 | Verse 7] ὥστε οὔτε ὁ φυτεύων ἐστίν τι οὔτε ὁ ποτίζων, ἀλλʼ ὁ αὐξάνων θεός.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 3 | Verse 8] ὁ φυτεύων δὲ καὶ ὁ ποτίζων ἕν εἰσιν, ἕκαστος δὲ τὸν ἴδιον μισθὸν λήμψεται κατὰ τὸν ἴδιον κόπον,
[SBLGNT | EL | NT | 1 Corinthians | Chapter 3 | Verse 9] θεοῦ γάρ ἐσμεν συνεργοί· θεοῦ γεώργιον, θεοῦ οἰκοδομή ἐστε.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 3 | Verse 10] Κατὰ τὴν χάριν τοῦ θεοῦ τὴν δοθεῖσάν μοι ὡς σοφὸς ἀρχιτέκτων θεμέλιον ⸀ἔθηκα, ἄλλος δὲ ἐποικοδομεῖ. ἕκαστος δὲ βλεπέτω πῶς ἐποικοδομεῖ·
[SBLGNT | EL | NT | 1 Corinthians | Chapter 3 | Verse 11] θεμέλιον γὰρ ἄλλον οὐδεὶς δύναται θεῖναι παρὰ τὸν κείμενον, ὅς ἐστιν Ἰησοῦς Χριστός·
[SBLGNT | EL | NT | 1 Corinthians | Chapter 3 | Verse 12] εἰ δέ τις ἐποικοδομεῖ ἐπὶ τὸν ⸀θεμέλιον ⸂χρυσόν, ἄργυρον⸃, λίθους τιμίους, ξύλα, χόρτον, καλάμην,
[SBLGNT | EL | NT | 1 Corinthians | Chapter 3 | Verse 13] ἑκάστου τὸ ἔργον φανερὸν γενήσεται, ἡ γὰρ ἡμέρα δηλώσει· ὅτι ἐν πυρὶ ἀποκαλύπτεται, καὶ ἑκάστου τὸ ἔργον ὁποῖόν ἐστιν τὸ πῦρ ⸀αὐτὸ δοκιμάσει.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 3 | Verse 14] εἴ τινος τὸ ἔργον μενεῖ ὃ ἐποικοδόμησεν, μισθὸν λήμψεται·
[SBLGNT | EL | NT | 1 Corinthians | Chapter 3 | Verse 15] εἴ τινος τὸ ἔργον κατακαήσεται, ζημιωθήσεται, αὐτὸς δὲ σωθήσεται, οὕτως δὲ ὡς διὰ πυρός.
