[SBLGNT | EL | NT | 1 Corinthians | Chapter 16 | Verse 1] Περὶ δὲ τῆς λογείας τῆς εἰς τοὺς ἁγίους, ὥσπερ διέταξα ταῖς ἐκκλησίαις τῆς Γαλατίας, οὕτως καὶ ὑμεῖς ποιήσατε.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 16 | Verse 2] κατὰ μίαν ⸀σαββάτου ἕκαστος ὑμῶν παρʼ ἑαυτῷ τιθέτω θησαυρίζων ὅ τι ⸀ἐὰν εὐοδῶται, ἵνα μὴ ὅταν ἔλθω τότε λογεῖαι γίνωνται.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 16 | Verse 3] ὅταν δὲ παραγένωμαι, οὓς ⸀ἐὰν δοκιμάσητε διʼ ἐπιστολῶν, τούτους πέμψω ἀπενεγκεῖν τὴν χάριν ὑμῶν εἰς Ἰερουσαλήμ·
[SBLGNT | EL | NT | 1 Corinthians | Chapter 16 | Verse 4] ἐὰν δὲ ⸂ἄξιον ᾖ⸃ τοῦ κἀμὲ πορεύεσθαι, σὺν ἐμοὶ πορεύσονται.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 16 | Verse 5] Ἐλεύσομαι δὲ πρὸς ὑμᾶς ὅταν Μακεδονίαν διέλθω, Μακεδονίαν γὰρ διέρχομαι,
[SBLGNT | EL | NT | 1 Corinthians | Chapter 16 | Verse 6] πρὸς ὑμᾶς δὲ τυχὸν ⸀παραμενῶ ἢ ⸀καὶ παραχειμάσω, ἵνα ὑμεῖς με προπέμψητε οὗ ἐὰν πορεύωμαι.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 16 | Verse 7] οὐ θέλω γὰρ ὑμᾶς ἄρτι ἐν παρόδῳ ἰδεῖν, ἐλπίζω ⸀γὰρ χρόνον τινὰ ἐπιμεῖναι πρὸς ὑμᾶς, ἐὰν ὁ κύριος ⸀ἐπιτρέψῃ.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 16 | Verse 8] ⸀ἐπιμενῶ δὲ ἐν Ἐφέσῳ ἕως τῆς πεντηκοστῆς·
[SBLGNT | EL | NT | 1 Corinthians | Chapter 16 | Verse 9] θύρα γάρ μοι ἀνέῳγεν μεγάλη καὶ ἐνεργής, καὶ ἀντικείμενοι πολλοί.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 16 | Verse 10] Ἐὰν δὲ ἔλθῃ Τιμόθεος, βλέπετε ἵνα ἀφόβως γένηται πρὸς ὑμᾶς, τὸ γὰρ ἔργον κυρίου ἐργάζεται ὡς ⸀κἀγώ·
[SBLGNT | EL | NT | 1 Corinthians | Chapter 16 | Verse 11] μή τις οὖν αὐτὸν ἐξουθενήσῃ. προπέμψατε δὲ αὐτὸν ἐν εἰρήνῃ, ἵνα ἔλθῃ πρός ⸀με, ἐκδέχομαι γὰρ αὐτὸν μετὰ τῶν ἀδελφῶν.
