[SBLGNT | EL | NT | 1 Corinthians | Chapter 8 | Verse 1] Περὶ δὲ τῶν εἰδωλοθύτων, οἴδαμεν ὅτι πάντες γνῶσιν ἔχομεν. ἡ γνῶσις φυσιοῖ, ἡ δὲ ἀγάπη οἰκοδομεῖ.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 8 | Verse 2] ⸀εἴ τις δοκεῖ ⸀ἐγνωκέναι τι, ⸀οὔπω ⸀ἔγνω καθὼς δεῖ γνῶναι·
[SBLGNT | EL | NT | 1 Corinthians | Chapter 8 | Verse 3] εἰ δέ τις ἀγαπᾷ τὸν θεόν, οὗτος ἔγνωσται ὑπʼ αὐτοῦ.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 8 | Verse 4] Περὶ τῆς βρώσεως οὖν τῶν εἰδωλοθύτων οἴδαμεν ὅτι οὐδὲν εἴδωλον ἐν κόσμῳ, καὶ ὅτι οὐδεὶς ⸀θεὸς εἰ μὴ εἷς.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 8 | Verse 5] καὶ γὰρ εἴπερ εἰσὶν λεγόμενοι θεοὶ εἴτε ἐν οὐρανῷ εἴτε ἐπὶ γῆς, ὥσπερ εἰσὶν θεοὶ πολλοὶ καὶ κύριοι πολλοί,
[SBLGNT | EL | NT | 1 Corinthians | Chapter 8 | Verse 6] ἀλλʼ ἡμῖν εἷς θεὸς ὁ πατήρ, ἐξ οὗ τὰ πάντα καὶ ἡμεῖς εἰς αὐτόν, καὶ εἷς κύριος Ἰησοῦς Χριστός, διʼ οὗ τὰ πάντα καὶ ἡμεῖς διʼ αὐτοῦ.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 8 | Verse 7] Ἀλλʼ οὐκ ἐν πᾶσιν ἡ γνῶσις· τινὲς δὲ τῇ ⸀συνηθείᾳ ⸂ἕως ἄρτι τοῦ εἰδώλου⸃ ὡς εἰδωλόθυτον ἐσθίουσιν, καὶ ἡ συνείδησις αὐτῶν ἀσθενὴς οὖσα μολύνεται.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 8 | Verse 8] βρῶμα δὲ ἡμᾶς οὐ ⸀παραστήσει τῷ θεῷ· οὔτε ⸂γὰρ ἐὰν φάγωμεν, περισσεύομεν, οὔτε ἐὰν μὴ φάγωμεν, ὑστερούμεθα⸃.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 8 | Verse 9] βλέπετε δὲ μή πως ἡ ἐξουσία ὑμῶν αὕτη πρόσκομμα γένηται τοῖς ⸀ἀσθενέσιν.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 8 | Verse 10] ἐὰν γάρ τις ἴδῃ σὲ τὸν ἔχοντα γνῶσιν ἐν εἰδωλείῳ κατακείμενον, οὐχὶ ἡ συνείδησις αὐτοῦ ἀσθενοῦς ὄντος οἰκοδομηθήσεται εἰς τὸ τὰ εἰδωλόθυτα ἐσθίειν;
[SBLGNT | EL | NT | 1 Corinthians | Chapter 8 | Verse 11] ⸂ἀπόλλυται γὰρ⸃ ὁ ἀσθενῶν ⸀ἐν τῇ σῇ γνώσει, ⸂ὁ ἀδελφὸς⸃ διʼ ὃν Χριστὸς ἀπέθανεν.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 8 | Verse 12] οὕτως δὲ ἁμαρτάνοντες εἰς τοὺς ἀδελφοὺς καὶ τύπτοντες αὐτῶν τὴν συνείδησιν ἀσθενοῦσαν εἰς Χριστὸν ἁμαρτάνετε.
[SBLGNT | EL | NT | 1 Corinthians | Chapter 8 | Verse 13] διόπερ εἰ βρῶμα σκανδαλίζει τὸν ἀδελφόν μου, οὐ μὴ φάγω κρέα εἰς τὸν αἰῶνα, ἵνα μὴ τὸν ἀδελφόν μου σκανδαλίσω.
