[IRV | TE | OT | Ezra | Chapter 10 | Verse 1] ఎజ్రా దేవుని మందిరం ముందు సాష్టాంగపడి విలపిస్తూ, పాపం ఒప్పుకొంటూ ప్రార్థన చేస్తూ ఉన్నప్పుడు, ఇశ్రాయేలు పురుషులు, స్త్రీలు, పిన్నలూ గుంపులు గుంపులుగా అతని దగ్గరికి వచ్చి గట్టిగా రోదించారు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 2] అప్పుడు ఏలాము మనుమడు, యెహీయేలు కొడుకు షెకన్యా ఎజ్రాతో ఇలా అన్నాడు. “మేము దేశంలో ఉన్న పరాయి దేశపు స్త్రీలను పెళ్లి చేసుకోవడం ద్వారా మా దేవుని దృష్టికి పాపం చేశాం. అయితే ఈ విషయంలో ఇశ్రాయేలీయులు తమ ప్రవర్తన మార్చుకొంటారన్న నిరీక్షణ ఉంది.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 3] ఈ పని ధర్మశాస్త్ర నియమం ప్రకారం జరిగేలా నాయకుడవైన నువ్వు, దేవుడంటే భయపడేవారూ చెబుతున్నట్టు మేము పెళ్లి చేసుకొన్న భార్యలను, వారికి పుట్టిన పిల్లలను విడిచిపెట్టి, పంపివేస్తామని మన దేవుని పేరట ఒట్టు పెట్టుకుంటాం.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 4] ఈ పని నీ చేతుల్లోనే ఉంది. నువ్వు ధైర్యంగా ఈ పని మొదలు పెట్టు. మేమంతా నీతోనే ఉంటాం.”
[IRV | TE | OT | Ezra | Chapter 10 | Verse 5] ఎజ్రా లేచి, ముఖ్య యాజకులు, లేవీయులు, ఇశ్రాయేలీయులంతా ఆ మాట ప్రకారమే నడుచుకొంటామని వారి చేత ప్రమాణం చేయించాడు. వారంతా ప్రమాణం చేసిన తరువాత,
[IRV | TE | OT | Ezra | Chapter 10 | Verse 6] ఎజ్రా దేవుని మందిరం ఎదుట నుండి లేచి, ఎల్యాషీబు కొడుకు యోహానాను గదిలోకి వెళ్ళాడు. అక్కడ అతడు చెరకు లోనైన వారి అపరాధాలను బట్టి రోదిస్తూ, భోజనం చేయకుండా, నీళ్ళు తాగకుండా ఉండిపోయాడు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 7] చెరనుండి తిరిగి వచ్చిన వారంతా యెరూషలేములో తప్పక సమకూడాలని యూదా దేశమంతటా, యెరూషలేము పట్టణంలో దండోరా వేశారు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 8] ప్రధానులు, పెద్దలు నిర్ణయించినట్టుగా మూడు రోజుల్లోగా ఎవరైనా రాకపోతే వారి ఆస్తులు జప్తు చేసి, వాటిని దేవుని మందిరపు ఆస్తిగా ప్రకటించాలని, వాళ్ళను సమాజం నుండి బహిష్కరించాలని తీర్మానం చేశారు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 9] యూదా, బెన్యామీను గోత్రాల వారంతా మూడు రోజుల్లోగా యెరూషలేము చేరుకున్నారు. తొమ్మిదో నెల 20 వ రోజున ప్రజలంతా దేవుని మందిరం వీధిలో వర్షంలో తడుస్తూ కూర్చున్నారు. జరగబోయేది తలంచుకుని భయంతో వణికిపోతున్నారు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 10] అప్పుడు యాజకుడైన ఎజ్రా లేచి వారితో ఇలా అన్నాడు. “మీరు ఆజ్ఞను అతిక్రమించి పరాయి దేశపు స్త్రీలను పెళ్లి చేసుకుని మన జాతి పాపాన్ని ఇంకా అధికం చేశారు.
[IRV | TE | OT | Ezra | Chapter 10 | Verse 11] కాబట్టి ఇప్పుడు మీ తండ్రుల దేవుడైన యెహోవా ముందు మీ పాపాలను ఒప్పుకుని, ఆయనకు నచ్చే విధంగా ప్రవర్తించడానికి సిద్ధపడి, పరాయి దేశపు స్త్రీలను విడిచిపెట్టి మిమ్మల్ని మీరు ప్రత్యేకపరచుకుని ఉండండి.”
