[IRV | PA | NT | Galatians | Chapter 6 | Verse 1] ਹੇ ਭਰਾਵੋ, ਜੇ ਕੋਈ ਮਨੁੱਖ ਕਿਸੇ ਅਪਰਾਧ ਵਿੱਚ ਫੜਿਆ ਵੀ ਜਾਵੇ ਤਾਂ ਤੁਸੀਂ ਜਿਹੜੇ ਆਤਮਿਕ ਹੋ ਅਜਿਹੇ ਮਨੁੱਖ ਨੂੰ ਨਰਮਾਈ ਦੇ ਸੁਭਾਓ ਨਾਲ ਸੁਧਾਰੋ ਅਤੇ ਤੁਸੀਂ ਆਪਣੀ ਵੀ ਚੌਕਸੀ ਰੱਖੋ ਕਿਤੇ ਤੁਸੀਂ ਵੀ ਪਰਤਾਵੇ ਵਿੱਚ ਨਾ ਪੈ ਜਾਵੋ।
[IRV | PA | NT | Galatians | Chapter 6 | Verse 2] ਤੁਸੀਂ ਇੱਕ ਦੂਜੇ ਦੇ ਭਾਰ ਚੁੱਕ ਲਵੋ ਅਤੇ ਇਉਂ ਮਸੀਹ ਦੀ ਬਿਵਸਥਾ ਨੂੰ ਪੂਰਾ ਕਰੋ।
[IRV | PA | NT | Galatians | Chapter 6 | Verse 3] ਕਿਉਂਕਿ ਜੇ ਕੋਈ ਆਪਣੇ ਆਪ ਨੂੰ ਕੁਝ ਸਮਝੇ ਅਤੇ ਹੋਵੇ ਕੁਝ ਵੀ ਨਾ ਤਾਂ ਉਹ ਆਪਣੇ ਆਪ ਨੂੰ ਧੋਖਾ ਦਿੰਦਾ ਹੈ।
[IRV | PA | NT | Galatians | Chapter 6 | Verse 4] ਪਰ ਹਰੇਕ ਆਪਣੇ ਹੀ ਕੰਮ ਨੂੰ ਪਰਖੇ ਤਦ ਉਹ ਨੂੰ ਕੇਵਲ ਆਪਣੀ ਹੀ ਵੱਲੋਂ, ਨਹੀਂ ਸਗੋਂ ਦੂਸਰੇ ਦੀ ਵੱਲੋਂ ਵੀ ਆਦਰ ਪ੍ਰਾਪਤ ਹੋਵੇਗਾ।
[IRV | PA | NT | Galatians | Chapter 6 | Verse 5] ਕਿਉਂ ਜੋ ਹਰੇਕ ਨੂੰ ਆਪਣਾ ਹੀ ਭਾਰ ਚੁੱਕਣਾ ਪਵੇਗਾ।
[IRV | PA | NT | Galatians | Chapter 6 | Verse 6] ਪਰ ਜਿਹੜਾ ਬਚਨ ਦੀ ਸਿੱਖਿਆ ਲੈਂਦਾ ਹੈ ਉਹ ਸਿਖਾਉਣ ਵਾਲੇ ਨੂੰ ਸਾਰਿਆਂ ਪਦਾਰਥਾਂ ਵਿੱਚ ਸਾਂਝੀ ਕਰੇ।
[IRV | PA | NT | Galatians | Chapter 6 | Verse 7] ਤੁਸੀਂ ਧੋਖਾ ਨਾ ਖਾਓ, ਪਰਮੇਸ਼ੁਰ ਠੱਠਿਆਂ ਵਿੱਚ ਨਹੀਂ ਉਡਾਇਆ ਜਾਂਦਾ ਕਿਉਂਕਿ ਮਨੁੱਖ ਜੋ ਕੁਝ ਬੀਜਦਾ ਹੈ ਉਹ ਹੀ ਵੱਢੇਗਾ।
[IRV | PA | NT | Galatians | Chapter 6 | Verse 8] ਜਿਹੜਾ ਆਪਣੇ ਸਰੀਰ ਲਈ ਬੀਜਦਾ ਹੈ ਉਹ ਸਰੀਰ ਦੇ ਰਾਹੀਂ ਬਿਨਾਸ ਦੀ ਵਾਢੀ ਵੱਢੇਗਾ, ਅਤੇ ਜਿਹੜਾ ਆਤਮਾ ਲਈ ਬੀਜਦਾ ਹੈ ਉਹ ਆਤਮਾ ਤੋਂ ਸਦੀਪਕ ਜੀਵਨ ਦੀ ਵਾਢੀ ਵੱਢੇਗਾ।
[IRV | PA | NT | Galatians | Chapter 6 | Verse 9] ਅਤੇ ਭਲਿਆਈ ਕਰਦਿਆਂ ਅਸੀਂ ਹੌਂਸਲਾ ਨਾ ਹਾਰੀਏ ਕਿਉਂਕਿ ਜੇ ਅਸੀਂ ਢਿੱਲੇ ਨਾ ਪਈਏ ਤਾਂ ਵੇਲੇ ਸਿਰ ਵਾਢੀ ਵੱਢਾਂਗੇ।
[IRV | PA | NT | Galatians | Chapter 6 | Verse 10] ਉਪਰੰਤ ਜਿਵੇਂ ਸਾਨੂੰ ਮੌਕਾ ਮਿਲੇ ਅਸੀਂ ਸਭਨਾਂ ਨਾਲ ਭਲਾ ਕਰੀਏ ਪਰ ਖ਼ਾਸ ਕਰਕੇ ਵਿਸ਼ਵਾਸੀਆਂ ਦੇ ਨਾਲ।
[IRV | PA | NT | Galatians | Chapter 6 | Verse 11] ਵੇਖੋ, ਮੈਂ ਆਪਣੇ ਹੱਥੀਂ ਕਿੱਡੇ ਮੋਟੇ ਅੱਖਰਾਂ ਨਾਲ ਤੁਹਾਨੂੰ ਲਿਖਿਆ ਹੈ।
[IRV | PA | NT | Galatians | Chapter 6 | Verse 12] ਜਿੰਨੇ ਲੋਕ ਸਰੀਰ ਵਿੱਚ ਵੱਡਾ ਵਿਖਾਵਾ ਵਿਖਾਉਣਾ ਚਾਹੁੰਦੇ ਹਨ ਉਹ ਜ਼ਬਰਦਸਤੀ ਤੁਹਾਡੀ ਸੁੰਨਤ ਕਰਾਉਂਦੇ ਹਨ ਸਿਰਫ਼ ਇਸ ਕਰਕੇ ਜੋ ਉਹ ਮਸੀਹ ਦੀ ਸਲੀਬ ਦੇ ਕਾਰਨ ਸਤਾਏ ਨਾ ਜਾਣ।
[IRV | PA | NT | Galatians | Chapter 6 | Verse 13] ਕਿਉਂਕਿ ਜਿਹੜੇ ਸੁੰਨਤੀ ਹਨ ਉਹ ਆਪ ਵੀ ਬਿਵਸਥਾ ਦੀ ਪਾਲਨਾ ਨਹੀਂ ਕਰਦੇ ਪਰ ਉਹ ਤੁਹਾਡੀ ਸੁੰਨਤ ਕਰਾਉਣਾ ਚਾਹੁੰਦੇ ਹਨ ਭਈ ਤੁਹਾਡੇ ਹੀ ਸਰੀਰ ਉੱਤੇ ਘਮੰਡ ਕਰਨ।
[IRV | PA | NT | Galatians | Chapter 6 | Verse 14] ਪਰ ਮੇਰੇ ਤੋਂ ਇਹ ਨਾ ਹੋਵੇ ਜੋ ਮੈਂ ਕਿਸੇ ਹੋਰ ਗੱਲ ਉੱਤੇ ਘਮੰਡ ਕਰਾਂ ਬਿਨ੍ਹਾਂ ਸਾਡੇ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਦੀ ਸਲੀਬ ਦੇ ਜਿਹ ਦੇ ਰਾਹੀਂ ਸੰਸਾਰ ਮੇਰੀ ਵੱਲੋਂ ਅਤੇ ਮੈਂ ਸੰਸਾਰ ਦੀ ਵੱਲੋਂ ਸਲੀਬ ਉੱਤੇ ਚਾੜ੍ਹਿਆ ਗਿਆ।
