[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 1] So Dauid and the captaines of the armie separated for the ministerie the sonnes of Asaph, and Heman, and Ieduthun, who should sing prophesies with harpes, with violes, and with cymbales, and their nomber was euen of the men for the office of their ministerie, to wit,
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 2] Of the sonnes of Asaph, Zaccur, and Ioseph, and Nethaniah, and Asharelah the sonnes of Asaph were vnder the hand of Asaph, which sang prophesies by the commission of the King.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 3] Of Ieduthun, the sonnes of Ieduthun, Gedaliah, and Zeri, and Ieshaiah, Ashabiah and Mattithiah, six, vnder the hands of their father: Ieduthun sang prophecies with an harpe, for to giue thankes and to praise the Lord.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 4] Of Heman, the sonnes of Heman, Bukkiah, Mattaniah, Vzziel, Shebuel, and Ierimoth, Hananiah, Hanani, Eliathah, Giddalti, and Romamtiezer, Ioshbekashah, Mallothi, Hothir, and Mahazioth.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 5] All these were the sonnes of Heman, the Kings Seer in the wordes of God to lift vp the horne: and God gaue to Heman fourtene sonnes and three daughters.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 6] All these were vnder the hande of their father, singing in the house of the Lord with cymbales, violes and harpes, for the seruice of the house of God, and Asaph, and Ieduthun, and Heman were at the Kings commandement.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 7] So was their nomber with their brethre that were instruct in ye songs of the Lord, euen of al that were cunning, two hundreth foure score and eight.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 8] And they cast lottes, charge against charge, aswel small as great, the cunning man as the scholer.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 9] And the first lot fell to Ioseph which was of Asaph, the second, to Gedaliah, who with his brethren and his sonnes were twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 10] The third, to Zaccur, he, his sonnes and his brethren were twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 11] The fourth, to Izri, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 12] The fift, to Nethaniah, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 13] The sixt, to Bukkiah, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 14] The seuenth, to Iesharelah, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 15] The eight, to Ieshaiah, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 16] The ninth, to Mattaniah, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 17] The tenth, to Shimei, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 18] The eleuenth, to Azareel, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 19] The twelft, to Ashabiah, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 20] The thirteenth, to Shubael, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 21] The fourtenth, to Mattithiah, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 22] The fifteenth, to Ierimoth, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 23] The sixteenth, to Hananiah, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 24] The seuenteenth, to Ioshbekashah, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 25] The eighteenth, to Hanani, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 26] The ninteenth, to Mallothi, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 27] The twentieth, to Eliathah, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 28] The one and twentieth, to Hothir, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 29] The two and twentieth, to Giddalti, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 30] The three and twentieth, to Mahazioth, he, his sonnes and his brethren twelue.
[GNV | EN | OT | 1 Chronicles | Chapter 25 | Verse 31] The foure and twentieth, to Romamti-ezer, he, his sonnes and his brethren twelue.
