[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 1] So they brought in the Arke of God, and set it in the middes of the Tabernacle that Dauid had pitched for it, and they offred burnt offrings and peace offrings before God.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 2] And when Dauid had made an ende of offering the burnt offering and the peace offerings, hee blessed the people in the Name of the Lord.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 3] And he dealt to euery one of Israel both man and woman, to euery one a cake of breade, and a piece of flesh, and a bottel of wine.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 4] And he appointed certaine of the Leuites to minister before the Arke of the Lord, and to rehearse and to thanke and prayse the Lord God of Israel:
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 5] Asaph the chiefe, and next to him Zechariah, Ieiel, and Shemiramoth, and Iehiel, and Mattithiah, and Eliab, and Benaiah, and Obed Edom, euen Ieiel with instruments, violes and harpes, and Asaph to make a sound with cymbales,
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 6] And Benaiah and Iahaziel Priestes, with trumpets continually before the Arke of the couenant of God.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 7] Then at that time Dauid did appoint at the beginning to giue thankes to the Lord by the hand of Asaph and his brethren.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 8] Praise the Lord and call vpon his Name: declare his workes among the people.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 9] Sing vnto him, sing praise vnto him, and talke of all his wonderfull workes.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 10] Reioyce in his holy Name: let the hearts of them that seeke the Lord reioyce.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 11] Seeke the Lord and his strength: seeke his face continually.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 12] Remember his marueilous workes that he hath done, his wonders, and the iudgements of his mouth,
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 13] O seede of Israel his seruant, O the children of Iaakob his chosen.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 14] He is the Lord our God: his iudgements are throughout all the earth.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 15] Remember his couenant for euer, and the worde, which hee commanded to a thousand generations:
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 16] Which he made with Abraham, and his othe to Izhak:
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 17] And hath confirmed it to Iaakob for a Law, and to Israel for an euerlasting couenant,
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 18] Saying, To thee will I giue the land of Canaan, the lot of your inheritance.
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 19] When ye were fewe in number, yea, a very fewe, and strangers therein,
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 20] And walked about from nation to nation, and from one kingdome to another people,
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 21] He suffered no man to do them wrong, but rebuked Kings for their sakes, saying,
[GNV | EN | OT | 1 Chronicles | Chapter 16 | Verse 22] Touch not mine anoynted, and doe my Prophets no harme.
