[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 1] These also are they that came to Dauid to Ziklag, while he was yet kept close, because of Saul the sonne of Kish: and they were among the valiant and helpers of the battel.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 2] They were weaponed with bowes, and could vse the right and the left hand with stones and with arrowes and with bowes, and were of Sauls brethren, euen of Beniamin.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 3] The chiefe were Ahiezer, and Ioash the sonnes of Shemaah a Gibeathite, and Ieziel, and Pelet the sonnes of Asinaueth, Berachah and Iehu the Antothite,
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 4] And Ishmaiah the Gibeonite, a valiant man among thirtie, and aboue the thirtie, and Ieremiah, and Iehaziel, and Iohanan, and Ioshabad the Gederathite,
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 5] Eluzai, and Ierimoth, and Bealiah, and Shemariah, and Shephatiah the Haruphite,
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 6] Elkanah, and Ishiah, and Azariel, and Ioezer, Iashobeam of Hakorehim,
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 7] And Ioelah, and Zebadiah, the sonnes of Ieroham of Gedor,
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 8] And of the Gadites there separated them selues some vnto Dauid into the holde of the wildernesse, valiant men of warre, and men of armes, and apt for battel, which coulde handle speare and shielde, and their faces were like the faces of lyons, and were like the roes in the mountaines in swiftnesse,
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 9] Ezer the chiefe, Obadiah the second, Eliab the third,
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 10] Mishmanah the fourth, Ieremiah the fift,
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 11] Attai the sixt, Eliel the seuenth,
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 12] Iohanan the eight, Elzabad the ninth,
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 13] Ieremiah the tenth, Macbannai the eleuenth.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 14] These were the sonnes of Gad, captaines of the hoste: one of the least could resist an hundreth, and the greatest a thousand.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 15] These are they that went ouer Iorden in the first moneth when he had filled ouer all his bankes, and put to flight all them of the valley, toward the East and the West.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 16] And there came of the children of Beniamin, and Iudah to the hold vnto Dauid,
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 17] And Dauid went out to meete them, and answered and sayde vnto them, If yee be come peaceably vnto me to helpe me, mine heart shall be knit vnto you, but if you come to betray me to mine aduersaries, seeing there is no wickednes in mine handes, the God of our fathers beholde it, and rebuke it.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 18] And the spirit came vpon Amasai, which was the chiefe of thirtie, and he said, Thine are we, Dauid, and with thee, O sonne of Ishai. Peace, peace be vnto thee, and peace be vnto thine helpers: for thy God helpeth thee. Then Dauid receiued them, and made them captaines of the garison.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 19] And of Manasseh some fell to Dauid, when he came with the Philistims against Saul to battell, but they helped them not: for the Princes of the Philistims by aduisement sent him away, saying, He will fall to his master Saul for our heads.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 20] As he went to Ziklag, there fell to him of Manasseh, Adnah, and Iozabad, and Iediael, and Michael, and Iozabad, and Elihu, and Ziltai, heads of the thousands that were of Manasseh.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 21] And they helped Dauid against that bad: for they were all valiant men and were captaines in the hoste.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 22] For at that time day by day there came to Dauid to helpe him, vntill it was a great hoste, like the hoste of God.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 23] And these are the nombers of the captaines that were armed to battell, and came to Dauid to Hebron to turne the kingdome of Saul to him, according to the worde of the Lord.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 24] The children of Iudah that bare shield and speare, were sixe thousand and eight hundreth armed to the warre.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 25] Of the children of Simeon valiant men of warre, seuen thousand and an hundreth.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 26] Of the children of Leui foure thousande and sixe hundreth.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 27] And Iehoiada was the chiefe of them of Aaron: and with him three thousande and seuen hundreth.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 28] And Zadok a yong man very valiant, and of his fathers housholde came two and twentie captaines.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 29] And of the children of Beniamin the brethren of Saul three thousande: for a great part of them vnto that time kept the warde of the house of Saul.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 30] And of the children of Ephraim twentie thousande, and eight hundreth valiant men and famous men in the housholde of their fathers.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 31] And of the halfe tribe of Manasseh eighteene thousand, which were appointed by name to come and make Dauid King.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 32] And of the children of Issachar which were men that had vnderstanding of the times, to knowe what Israel ought to doe: the heades of them were two hundreth, and all their brethren were at their commandement.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 33] Of Zebulun that went out to battel, expert in warre, and in all instruments of warre, fiftie thousande which could set the battell in aray: they were not of a double heart.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 34] And of Naphtali a thousand captaines, and with them with shielde and speare seuen and thirtie thousande.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 35] And of Dan expert in battell, eyght and twentie thousande, and sixe hundreth.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 36] And of Asher that went out to the battell and were trained in the warres, fourtie thousand.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 37] And of the other side of Iorden of the Reubenites, and of the Gadites, and of the halfe tribe of Manasseh with all instruments of warre to fight with, an hundreth and twentie thousand.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 38] All these men of warre that coulde leade an armie, came with vpright heart to Hebron to make Dauid King ouer all Israel: and all the rest of Israel was of one accorde to make Dauid King:
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 39] And there they were with Dauid three dayes, eating and drinking: for their brethren had prepared for them.
[GNV | EN | OT | 1 Chronicles | Chapter 12 | Verse 40] Moreouer they that were neere them vntill Issachar, and Zebulun, and Naphtali brought bread vpon asses, and on camels, and on mules, and on oxen, euen meate, floure, figges, and reisins, and wine and oyle, and beeues and sheepe abundantly: for there was ioy in Israel.
