[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 1] And Satan stoode vp against Israel, and prouoked Dauid to nomber Israel.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 2] Therefore Dauid said to Ioab, and to the rulers of the people, Go, and nomber Israel from Beer-sheba euen to Dan, and bring it to me, that I may knowe the nomber of them.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 3] And Ioab answered, The Lord increase his people an hundreth times so many as they be, O my lord the King: are they not all my lords seruats? wherefore doeth my lord require this thing? why should he be a cause of trespasse to Israel?
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 4] Neuerthelesse the Kings word preuailed against Ioab. And Ioab departed and went thorowe all Israel, and returned to Ierusalem.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 5] And Ioab gaue the nomber and summe of the people vnto Dauid: and all Israel were eleuen hundreth thousande men that drewe sword: and Iudah was foure hundreth and seuentie thousande men that drewe sword.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 6] But the Leuites and Beniamin counted he not among them: for the Kings worde was abominable to Ioab.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 7] And God was displeased with this thing: therefore he smote Israel.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 8] Then Dauid saide vnto God, I haue sinned greatly, because I haue done this thing: but now, I beseech thee, remooue the iniquitie of thy seruant: for I haue done very foolishly.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 9] And the Lord spake vnto Gad Dauids Seer, saying,
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 10] Goe and tell Dauid, saying, Thus saith the Lord, I offer thee three thinges: choose thee one of them, that I may doe it vnto thee.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 11] So Gad came to Dauid, and sayde vnto him, Thus saith the Lord, Take to thee
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 12] Either three yeeres famine, or three moneths to be destroyed before thine aduersaries, and the sworde of thine enemies to take thee, or els the sworde of the Lord and pestilence in the lande three dayes, that the Angel of the Lord may destroy throughout all the coastes of Israel: nowe therefore aduise thee, what word I shall bring againe to him that sent me.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 13] And Dauid said vnto Gad, I am in a wonderfull strait. let me nowe fall into the hande of the Lord: for his mercies are exceeding great, and let me not fall into the hande of man.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 14] So the Lord sent a pestilence in Israel, and there fell of Israel seuentie thousande men.
[GNV | EN | OT | 1 Chronicles | Chapter 21 | Verse 15] And God sent the Angel into Ierusalem to destroy it. And as he was destroying, the Lord behelde, and repented of the euill and sayde to the Angel that destroyed, It is nowe ynough, let thine hande cease. Then the Angel of the Lord stoode by the thresshing floore of Ornan the Iebusite.
