[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 1] Nowe afterward when Dauid dwelt in his house, he saide to Nathan the Prophet, Beholde, I dwell in an house of cedar trees, but the Arke of the Lordes couenant remaineth vnder curtaines.
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 2] Then Nathan said to Dauid, Do all that is in thine heart: for God is with thee.
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 3] And the same night euen the word of God came to Nathan, saying,
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 4] Goe, and tell Dauid my seruant, Thus saith the Lord, Thou shalt not buylde me an house to dwell in:
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 5] For I haue dwelt in no house, since the day that I brought out the childre of Israel vnto this daye, but I haue bene from tent to tent, and from habitation to habitation.
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 6] Wheresoeuer I haue walked with all Israel spake I one word to any of the iudges of Israel (whome I commanded to feede my people) saying, Why haue ye not built mee an house of cedar trees?
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 7] Nowe therefore thus shalt thou say vnto my seruant Dauid, Thus saith the Lord of hostes, I tooke thee from the sheepecoat and from following the sheepe, that thou shouldest bee a prince ouer my people Israel.
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 8] And I haue bene with thee whithersoeuer thou hast walked, and haue destroyed all thine enemies out of thy sight, and haue made thee a name, like the name of the great men that are in the earth.
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 9] (Also I will appoynt a place for my people Israel, and will plant it, that they may dwell in their place, and moue no more: neither shall the wicked people vexe them any more, as at the beginning,
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 10] And since the time that I commanded iudges ouer my people Israel) And I wil subdue all thine enemies: therefore I say vnto thee, that the Lord wil buylde thee an house.
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 11] And when thy dayes shalbe fulfilled to go with thy fathers, then will I rayse vp thy seede after thee, which shalbe of thy sonnes, and will stablish his kingdome.
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 12] He shall builde me an house, and I will stablish his throne for euer.
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 13] I wil be his father, and he shalbe my sonne, aud I will not take my mercie away from him, as I tooke it from him that was before thee.
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 14] But I wil establish him in mine house, and in my kingdome for euer, and his throne shalbe stablished for euer,
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 15] According to all these wordes, and according to al this vision. So Nathan spake to Dauid.
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 16] And Dauid the King went in and sate before the Lord and said, Who am I, O Lord God, and what is mine house, that thou hast brought me hitherto?
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 17] Yet thou esteeming this a small thing, O God, hast also spoken concerning the house of thy seruaut for a great while, and hast regarded me according to the estate of a man of hie degree, O Lord God.
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 18] What can Dauid desire more of thee for the honour of thy seruant? for thou knowest thy seruant.
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 19] O Lord, for thy seruantes sake, euen according to thine heart hast thou done all this great thing to declare all magnificence.
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 20] Lord, there is none like thee, neither is there any God besides thee, according to all that we haue heard with our eares.
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 21] Moreouer what one nation in the earth is like thy people Israel, whose God went to redeeme them to be his people, and to make thy selfe a Name, and to doe great and terrible things by casting out nations from before thy people, whom thou hast deliuered out of Egypt?
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 22] For thou hast ordeined thy people Israel to be thine owne people for euer, and thou Lord art become their God.
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 23] Therefore nowe Lord, let the thing that thou hast spoken concerning thy seruant and concerning his house, be confirmed for euer, and doe as thou hast sayd,
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 24] And let thy name be stable and magnified for euer, that it may be sayd, The Lord of hostes, God of Israel, is the God of Israel, and let the house of Dauid thy seruant bee stablished before thee.
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 25] For thou, O my God, hast reueiled vnto the eare of thy seruant, that thou wilt builde him an house: therefore thy seruant hath bene bolde to pray before thee.
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 26] Therefore nowe Lord (for thou art God, and hast spoken this goodnesse vnto thy seruant)
[GNV | EN | OT | 1 Chronicles | Chapter 17 | Verse 27] Now therfore, it hath pleased thee to blesse the house of thy seruant, that it may bee before thee for euer: for thou, O Lord, hast blessed it, and it shalbe blessed for euer.
