[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 1] Thus all Israel were nombred by their genealogies: and beholde, they are written in the booke of the Kings of Israel and of Iudah, and they were caried away to Babel for their transgression.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 2] And the chiefe inhabitants that dwelt in their owne possessions, and in their owne cities, euen Israel the Priestes, the Leuites, and the Nethinims.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 3] And in Ierusalem dwelt of the children of Iudah, and of the children of Beniamin, and of the children of Ephraim, and Manasseh.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 4] Vthai the sonne of Amihud the sonne of Omri, the sonne of Imri, the sonne of Bani: of the children of Pharez, the sonne of Iudah.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 5] And of Shiloni, Asaiah the eldest, and his sonnes.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 6] And the sonnes of Zerah, Ieuel, and their brethren sixe hundreth and ninetie.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 7] And of the sonnes of Beniamin, Sallu the sonne of Meshullam, the sonne of Hodauiah, the sonne of Hasenuah,
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 8] And Ibneiah the sonne of Ieroham, and Elah the sonne of Vzzi, the sonne of Michri, and Meshullam the sonne of Shephatiah, the sonne of Reuel, the sonne of Ibniiah.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 9] And their brethren according to their generations nine hundreth, fiftie and sixe: all these men were chiefe fathers in the housholdes of their fathers.
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 10] And of the Priestes, Iedaiah, and Iehoiarib, and Iachin,
[GNV | EN | OT | 1 Chronicles | Chapter 9 | Verse 11] And Azariah the sonne of Hilkiah, ye sonne of Meshullam, the sonne of Zadok, the sonne of Meraioth, the sonne of Ahitub the chiefe of the house of God,
