[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 1] Adam, Sheth, Enosh,
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 2] Kenan, Mahalaleel, Iered,
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 3] Henoch, Methushelah, Lamech,
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 4] Noah, She, Ham, and Iapheth.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 5] The sonnes of Iapheth were Gomer, and Magog, and Madai, and Iauan, and Tubal, and Meshech, and Tiras.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 6] And the sonnes of Gomer, Ashchenaz, and Iphath and Togarmah.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 7] Also the sonnes of Iauan, Elishah and Tarshishah, Kittim, and Dodanim.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 8] The sonnes of Ham were Cush, and Mizraim, Put and Canaan.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 9] And the sonnes of Cush, Siba and Hauilah, and Sabta, and Raamah, and Sabtecha. Also the sonnes of Raamah were Sheba and Dedan.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 10] And Cush begate Nimrod, who began to be mightie in the earth.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 11] And Mizraim begate Ludim and Anamim, Lehabim, and Naphtuhim:
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 12] Pathrusim also, and Casluhim, of whome came the Philistims, and Caphtorim.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 13] Also Canaan begate Zidon his first borne, and Heth,
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 14] And the Iebusite, and the Amorite, and the Girgashite,
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 15] And the Hiuuite, and the Arkite, and the Simite,
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 16] And the Aruadite, and the Zemarite, and the Hamathite.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 17] The sonnes of Shem were Elam and Asshur, and Arpachshad, and Lud, and Aram, and Vz, and Hul, and Gether, and Meshech.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 18] Also Arpachshad begate Shelah, and Shelah begate Eber.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 19] Vnto Eber also were borne two sonnes: the name of the one was Peleg: for in his dayes was ye earth deuided: and his brothers name was Ioktan.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 20] Then Ioktan begate Almodad and Sheleph, and Hazermaueth and Ierah,
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 21] And Hadoram and Vzal and Diklah,
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 22] And Ebal, and Abimael, and Sheba,
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 23] And Ophir, and Hauilah and Iobab: all these were the sonnes of Ioktan.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 24] Shem, Arpachshad, Shelah,
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 25] Eber, Peleg, Rehu,
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 26] Serug, Nahor, Terah,
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 27] Abram, which is Abraham.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 28] The sonnes of Abraham were Izhak, and Ishmael.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 29] These are their generations. The eldest sonne of Ishmael was Nebaioth, and Kedar, and Adbeel, and Mibsam,
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 30] Mishma, and Dumah, Massa, Hadad, and Tema,
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 31] Ietur, Naphish and Kedemah: these are the sonnes of Ishmael.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 32] And Keturah Abrahams concubine bare sonnes, Zimran, and Iokshan, and Medan, and Midian, and Ishbak, and Shuah: and the sonnes of Iokshan, Sheba, and Dedan.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 33] And the sonnes of Midian were Ephah, and Ephar, and Henoch, and Abida, and Eldaah: All these are the sonnes of Keturah.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 34] And Abraham begate Izhak: the sonnes of Izhak, Esau, and Israel.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 35] The sonnes of Esau were Eliphaz, Reuel, and Ieush, and Iaalam, and Korah.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 36] The sonnes of Eliphaz, Teman, and Omar, Zephi, and Gatam, Kenaz, and Timna, and Amalek.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 37] The sonnes of Reuel, Nahath, Zerah, Shammah and Mizzah.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 38] And the sonnes of Seir, Lotan, and Shobal, and Zibeon, and Anah, and Dishon, and Ezer, and Dishan.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 39] And the sonnes of Lotan, Hori, and Homam, and Timna Lotans sister.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 40] The sonnes of Shobal were Alian, and Manahath, and Ebal, Shephi, and Onam. And the sonnes of Zibeon, Aiah and Anah.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 41] The sonne of Anah was Dishon. And the sonnes of Dishon, Amran, and Eshban, and Ithran, and Cheran.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 42] The sonnes of Ezer were Bilhan, and Zaauan, and Iaakan. The sonnes of Dishon were Vz, and Aran.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 43] And these were the Kings that reigned in the land of Edom, before a King reigned ouer the children of Israel, to wit, Bela the sonne of Beor, and the name of his citie was Dinhabah.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 44] Then Bela died, and Iobab the sonne of Zerah of Bozrah reigned in his stead.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 45] And whe Iobab was dead, Hussham of the land of the Temanites reigned in his stead.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 46] And when Hussham was dead, Hadad the sonne of Bedad which smote Midian in the fielde of Moab, reigned in his steade, and the name of his citie was Auith.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 47] So Hadad dyed, and Samlah of Mashrecah reigned in his stead.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 48] And Samlah dyed, and Shaul of Rehoboth by the riuer reigned in his stead.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 49] And when Shaul was dead, Baal-hanan the sonne of Achbor reigned in his stead.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 50] And Baal-hanan dyed, and Hadad reigned in his stead, and the name of his citie was Pai, and his wiues name Mehetabel the daughter of Matred the daughter of Mezahab.
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 51] Hadad dyed also, and there were dukes in Edom, duke Timna, duke Aliah, duke Ietheth,
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 52] Duke Aholibamah, duke Elah, duke Pinon,
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 53] Duke Kenaz, duke Teman, duke Mibzar,
[GNV | EN | OT | 1 Chronicles | Chapter 1 | Verse 54] Duke Magdiel, duke Iram: these were the dukes of Edom.
