[GNV | EN | OT | 1 Chronicles | Chapter 27 | Verse 1] The children of Israel also after their nomber, euen the chiefe fathers and captaines of thousandes and of hundreths, and their officers that serued the King by diuers courses, which came and in went out, moneth by moneth throughout al the moneths of the yeere: in euery course were foure and twentie thousand.
[GNV | EN | OT | 1 Chronicles | Chapter 27 | Verse 2] Ouer the first course for the first moneth was Iashobeam the sonne of Zabdiel: and in his course were foure and twentie thousand.
[GNV | EN | OT | 1 Chronicles | Chapter 27 | Verse 3] Of the sonnes of Perez was the chiefe ouer all the princes of the armies for the first moneth.
[GNV | EN | OT | 1 Chronicles | Chapter 27 | Verse 4] And ouer the course of the second moneth was Dodai, an Ahohite, and this was his course, and Mikloth was a captaine, and in his course were foure and twentie thousand.
[GNV | EN | OT | 1 Chronicles | Chapter 27 | Verse 5] The captaine of the thirde hoste for the third moneth was Benaiah the sonne of Iehoiada the chiefe Priest: and in his course were foure and twentie thousand.
[GNV | EN | OT | 1 Chronicles | Chapter 27 | Verse 6] This Benaiah was mightie among thirtie and aboue the thirtie, and in his course was Amizabad his sonne.
[GNV | EN | OT | 1 Chronicles | Chapter 27 | Verse 7] The fourth for the fourth moneth was Asahel the brother of Ioab, and Zebadiah his sonne after him: and in his course were foure and twentie thousand.
[GNV | EN | OT | 1 Chronicles | Chapter 27 | Verse 8] The fift for ye fift moneth was prince Shamhuth the Izrahite: and in his course foure and twentie thousand.
[GNV | EN | OT | 1 Chronicles | Chapter 27 | Verse 9] The sixt for the sixt moneth was Ira the sonne of Ikkesh the Tekoite: and in his course foure and twentie thousand.
[GNV | EN | OT | 1 Chronicles | Chapter 27 | Verse 10] The seuenth for the seuenth moneth was Helez the Pelonite, of the sonnes of Ephraim: and in his course foure and twentie thousand.
[GNV | EN | OT | 1 Chronicles | Chapter 27 | Verse 11] The eight for the eight moneth was Sibbecai the Hushathite of the Zarhites: and in his course foure and twentie thousand.
[GNV | EN | OT | 1 Chronicles | Chapter 27 | Verse 12] The ninth for the ninth moneth was Abiezer the Anethothite of the sonnes of Iemini: and in his course foure and twentie thousand.
