[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 1] These are the sonnes of Israel, Reuben, Simeon, Leui and Iudah, Isshachar, and Zebulun,
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 2] Dan, Ioseph, and Beniamin, Naphtali, Gad, and Asher.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 3] The sonnes of Iudah, Er, and Onan, and Shelah. these three were borne to him of ye daughter of Shua the Canaanite: but Er the eldest sonne of Iudah was euil in the sight of the Lord, and he slew him.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 4] And Thamar his daughter in law bare him Pharez, and Zerah: so al the sonnes of Iudah were fiue.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 5] The sonnes of Pharez, Hezron and Hamul.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 6] The sonnes also of Zerah were Zimri, and Ethan, and Heman, and Calcol, and Dara, which were fiue in all.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 7] And the sonne of Carmi, Achar that troubled Israel, transgressing in the thing excommunicate.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 8] The sonne also of Ethan, Azariah.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 9] And the sonnes of Hezron that were borne vnto him, Ierahmeel, and Ram and Chelubai.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 10] And Ram begate Aminadab, and Aminadab begate Nahshon prince of the children of Iudah,
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 11] And Nahshon begate Salma, and Salma begate Boaz,
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 12] And Boaz begate Obed, and Obed begate Ishai,
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 13] And Ishai begate his eldest sonne Eliab, and Abinadab the second, and Shimma the third,
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 14] Nathaneel the fourth, Raddai the fift,
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 15] Ozem the sixt, and Dauid the seuenth.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 16] Whose sisters were Zeruiah and Abigail. And the sonnes of Zeruiah, Abishai, and Ioab, and Asahel.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 17] And Abigail bare Amasa: and the father of Amasa was Iether an Ishmeelite.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 18] And Caleb the sonne of Hezron begate Ierioth of Azubah his wife, and her sonnes are these, Iesher, and Shobab, and Ardon.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 19] And when Azubah was dead, Caleb tooke vnto him Ephrath, which bare him Hur.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 20] And Hur begate Vri, and Vri begate Bezaleel.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 21] And afterward came Hezron to the daughter of Machir the father of Gilead, and tooke her when hee was threescore yere olde, and shee bare him Segub.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 22] And Segub begate Iair, which had three and twentie cities in the land of Gilead.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 23] And Gesthur with Aram tooke the townes of Iair from them, and Kenath and the townes thereof, euen threescore cities. All these were the sonnes of Machir the father of Gilead.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 24] And after that Hezron was dead at Caleb Ephratah, then Abiah Hezrons wife bare him also Ashur the father of Tekoa.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 25] And ye sonnes of Ierahmeel the eldest sone of Hezron were Ram the eldest, then Bunah, and Oren and Ozen and Ahiiah.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 26] Also Ierahmeel had another wife named Atarah, which was the mother of Onam.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 27] And the sonnes of Ram the eldest sonne of Ierahmeel were Maaz, and Iamin and Ekar.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 28] And the sonnes of Onam were Shammai and Iada. And the sonnes of Shammai, Nadab and Abishur.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 29] And the name of the wife of Abishur was called Abiahil, and shee bare him Ahban and Molid.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 30] The sonnes also of Nadab were Seled and Appaim: but Seled died without children.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 31] And the sonne of Appaim was Ishi, and the sonne of Ishi, Sheshan, and the sonne of Sheshan, Ahlai.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 32] And the sonnes of Iada the brother of Shammai were Iether and Ionathan: but Iether dyed without children.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 33] And the sonnes of Ionathan were Peleth and Zaza. These were the sonnes of Ierahmeel.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 34] And Sheshan had no sonnes, but daughters. And Sheshan had a seruant that was an Egyptian named Iarha.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 35] And Sheshan gaue his daughter to Iarha his seruant to wife, and she bare him Attai.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 36] And Attai begate Nathan, and Nathan begate Zabad,
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 37] And Zabad begate Ephlal, and Ephlal begate Obed,
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 38] And Obed begate Iehu, and Iehu begate Azariah,
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 39] And Azariah begate Helez, and Helez begate Eleasah,
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 40] And Eleasah begate Sisamai, and Sisamai begate Shallum,
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 41] And Shallum begate Iekamiah, and Iekamiah begate Elishama.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 42] Also the sonnes of Caleb the brother of Ierahmeel, were Mesha his eldest sonne, which was the father of Ziph: and the sonnes of Mareshah the father of Hebron.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 43] And the sonnes of Hebron were Korah and Tappuah, and Rekem and Shema.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 44] And Shema begate Raham the father of Iorkoam: and Rekem begate Shammai.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 45] The sonne also of Shammai was Maon: and Maon was the father of Beth-zur.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 46] And Ephah a concubine of Caleb bare Haran and Moza, and Gazez: Haran also begate Gazez.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 47] The sonnes of Iahdai were Regem, and Iotham, and Geshan, and Pelet, and Ephah, and Shaaph.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 48] Calebs concubine Maachah bare Sheber and Tirhanah.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 49] She bare also Shaaph, the father of Madmannah, and Sheua the father of Machbenah, and the father of Gibea. And Achsah was Calebs daughter.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 50] These were the sonnes of Caleb the sone of Hur the eldest sonne of Ephrathah, Shobal the father of Kiriath-iearim.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 51] Salma the father of Beth-lehem, and Hareph the father of Beth-gader.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 52] And Shobal the father of Kiriath-iearim had sonnes, and he was the ouerseer of halfe Hammenoth.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 53] And the families of Kiriath-iearim were the Ithrites, and the Puthites, and the Shumathites, and ye Mishraites of them came the Zarreathites, and the Eshtaulites.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 54] The sonnes of Salma of Beth-lehem, and the Netophathite, the crownes of the house of Ioab, and halfe the Manahthites and the Zorites.
[GNV | EN | OT | 1 Chronicles | Chapter 2 | Verse 55] And the families of the Scribes dwelling at Iabez, the Tirathites, the Shimmeathites, the Shuchathites, which are the Kenites, that came of Hammath the father of the house of Rechab.
