[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 1] Beniamin also begate Bela his eldest sonne, Ashbel the second, and Aharah the third,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 2] Nohah the fourth, and Rapha the fift.
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 3] And the sonnes of Bela were Addar, and Gera, and Abihud,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 4] And Abishua, and Naaman and Ahoah,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 5] And Gera, and Shephuphan, and Huram.
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 6] And these are the sonnes of Ehud: these were the chiefe fathers of those that inhabited Geba: and they were caryed away captiues to Monahath,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 7] And Naaman, and Ahiah, and Gera, he caryed them away captiues: and he begate Vzza, and Ahihud.
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 8] And Shaharaim begate certaine in the coutrey of Moab, after he had sent away Hushim and Baara his wiues.
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 9] He begate, I say, of Hodesh his wife, Iobab and Zibia, and Mesha, and Malcham,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 10] And Ieuz and Shachia and Mirma: these were his sonnes, and chiefe fathers.
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 11] And of Hushim he begat Ahitub and Elpaal.
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 12] And the sonnes of Elpaal were Eber, and Misham and Shamed (which built Ono, and Lod, and the villages thereof)
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 13] And Beriah and Shema (which were the chiefe fathers among the inhabitants of Aialon: they draue away the inhabitants of Gath)
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 14] And Ahio, Shashak and Ierimoth,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 15] And Sebadiah, and Arad, and Ader,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 16] And Michael, and Ispah, and Ioha, the sonnes of Beriah,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 17] And Zebadiah, and Meshullam, and Hizki, and Heber,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 18] And Ishmerai and Izliah, and Iobab, the sonnes of Elpaal,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 19] Iakim also, and Zichri, and Sabdi,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 20] And Elienai, and Zillethai, and Eliel,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 21] And Adaiah, and Beraiah, and Shimrah the sonnes of Shimei,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 22] And Ishpan, and Eber, and Eliel,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 23] And Abdon, and Zichri, and Hanan,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 24] And Hananiah, and Elam, and Antothiiah,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 25] Iphedeiah and Penuel ye sonnes of Shashak,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 26] And Shamsherai, and Shehariah, and Athaliah,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 27] And Iaareshiah, and Eliah, and Zichri, the sonnes of Ieroham.
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 28] These were the chiefe fathers according to their generations, euen princes, which dwelt in Ierusalem.
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 29] And at Gibeon dwelt the father of Gibeon, and the name of his wife was Maachah.
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 30] And his eldest sonne was Abdon, then Zur, and Kish, and Baal, and Nadab,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 31] And Gidor, and Ahio, and Zacher.
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 32] And Mikloth begate Shimeah: these also dwelt with their brethren in Ierusalem, euen by their brethren.
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 33] And Ner begate Kish, and Kish begat Saul, and Saul begate Ionathan, and Malchishua, and Abinadab, and Eshbaal.
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 34] And the sonne of Ionathan was Merib-baal, and Merib-baal begate Micah.
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 35] And the sonnes of Micah were Pithon, and Melech, and Tarea, and Ahaz.
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 36] And Ahaz begate Iehoadah, and Iehoadah begate Alemeth, and Azmaueth, and Zimri, and Zimri begate Moza,
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 37] And Moza begate Bineah, whose sonne was Raphah, and his sonne Eleasah, and his sonne Azel.
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 38] And Azel had sixe sonnes, whose names are these, Azrikam, Bocheru and Ishmael, and Sheariah, and Obadiah, and Hanan: all these were the sonnes of Azel.
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 39] And the sonnes of Eshek his brother were Vlam his eldest sonne, Iehush the second, and Eliphelet the third.
[GNV | EN | OT | 1 Chronicles | Chapter 8 | Verse 40] And the sonnes of Vlam were valiant men of warre which shot with the bow, and had many sonnes and nephewes, an hundreth and fiftie: all these were of the sonnes of Beniamin.
