[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 1] The sonnes of Leui were Gershon, Kohath, and Merari.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 2] And the sonnes of Kohath, Amram, Izhar, and Hebron, and Vzziel.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 3] And the children of Amram, Aaron, and Moses and Miriam. And the sonnes of Aaron, Nadab, and Abihu, and Eleazar, and Ithamar.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 4] Eleazar begate Phinehas. Phinehas begate Abishua,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 5] And Abishua begate Bukki, and Bukki begate Vzzi,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 6] And Vzzi begate Zerahiah, and Zerahiah begate Meraioth.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 7] Meraioth begate Amariah, and Amariah begate Ahitub,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 8] And Ahitub begate Zadok, and Zadok begate Ahimaaz,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 9] And Ahimaaz begate Azariah, and Azariah begate Iohanan,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 10] And Iohanan begate Azariah (it was hee that was Priest in the house that Salomon built in Ierusalem)
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 11] And Azariah begate Amariah, and Amariah begate Ahitub,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 12] And Ahitub begate Zadok, and Zadok begate Shallum,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 13] And Shallum begate Hilkiah, and Hilkiah begate Azariah,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 14] And Azariah begate Seraiah, and Seraiah begate Iehozadak,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 15] And Iehozadak departed when the Lord caried away into captiuitie Iudah and Ierusalem by the hand of Nebuchad-nezzar.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 16] The sonnes of Leui were Gershom, Kohath and Merari.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 17] And these be the names of the sonnes of Gershom, Libni, and Shimei.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 18] And the sonnes of Kohath were Amram, and Izhar, and Hebron and Vzziel.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 19] The sonnes of Merari, Mahli and Mushi: and these are the families of Leui concerning their fathers.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 20] Of Gershom, Libni his sonne, Iahath his sonne, Zimmah his sonne,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 21] Ioah his sonne, Iddo his sonne, Zerah his sonne, Ieaterai his sonne.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 22] The sonnes of Kohath, Aminadab his sonne, Korah his sonne, Assir his sonne,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 23] Elkanah his sonne, and Ebiasaph his sonne, and Assir his sonne,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 24] Tahath his sonne, Vriel his sonne, Vzziah his sonne, and Shaul his sonne,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 25] And the sonnes of Elkanah, Amasai, and Ahimoth.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 26] Elkanah. the sonnes of Elkanah, Zophai his sonne, and Nahath his sonne,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 27] Eliab his sonne, Ieroham his sonne, Elkanah his sonne,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 28] And the sonnes of Shemuel, the eldest Vashni, then Abiah.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 29] The sonnes of Merari were Mahli, Libni his sonne, Shimei his sonne, Vzzah his sonne,
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 30] Shimea his sonne, Haggiah his sonne, Asaiah his sonne.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 31] And these be they whom Dauid set for to sing in the house of the Lord, after that the Arke had rest.
[GNV | EN | OT | 1 Chronicles | Chapter 6 | Verse 32] And they ministred before the Tabernacle, euen the Tabernacle of the Congregation with singing, vntill Salomon had built ye house of the Lord in Ierusalem: then they continued in their office, according to their custome.
