[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 1] These also were the sonnes of Dauid which were borne vnto him in Hebron: the eldest Amnon of Ahinoam, the Izraelitesse: the seconde Daniel of Abigail the Carmelitesse:
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 2] The third Absalom the sonne of Maachah daughter of Talmai King of Geshur: the fourth Adoniiah the sonne of Haggith:
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 3] The fift Shepatiah of Abital: ye sixt Ithream by Eglah his wife.
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 4] These sixe were borne vnto him in Hebron: and there hee reigned seuen yeere and sixe moneths: and in Ierusalem he reigned three and thirtie yeere.
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 5] And these foure were borne vnto him in Ierusalem, Shimea, and Shobab, and Nathan, and Salomon of Bathshua the daughter of Ammiel:
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 6] Ibhar also, and Elishama, and Eliphalet,
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 7] And Nogah, and Nepheg, and Iaphia,
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 8] And Elishama, and Eliada, and Eliphelet, nine in nomber.
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 9] These are all the sonnes of Dauid, besides the sonnes of the concubines, and Thamar their sister.
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 10] And Salomons sonne was Rehoboam, whose sonne was Abiah, and Asa his sonne, and Iehoshaphat his sonne,
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 11] And Ioram his sonne, and Ahaziah his sonne, and Ioash his sonne,
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 12] And Amaziah his sonne, and Azariah his sonne, and Iotham his sonne,
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 13] And Ahaz his sonne, and Hezekiah his sonne, and Manasseh his sonne,
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 14] And Amon his sonne, and Iosiah his sonne.
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 15] And of the sonnes of Iosiah, the eldest was Iohanan, the second Iehoiakim, the thirde Zedekiah, and the fourth Shallum.
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 16] And the sonnes of Iehoiakim were Ieconiah his sonne, and Zedekiah his sonne.
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 17] And the sonnes of Ieconiah, Assir and Shealtiel his sonne:
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 18] Malchiram also and Pedaiah, and Shenazar, Iecamiah, Hoshama, and Nedabiah.
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 19] And the sonnes of Pedaiah were Zerubbabel, and Shimei: and the sonnes of Zerubbabel were Meshullam, and Hananiah, and Shelomith their sister,
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 20] And Hashubah, and Ohel, and Berechiah, and Hazadiah, and Iushabheshed, fiue in nomber.
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 21] And the sonnes of Hananiah were Pelatiah, and Iesaiah: the sonnes of Rephaiah, the sonnes of Arnan, the sonnes of Obadiah, the sonnes of Shechaniah.
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 22] And the sonne of Shechaniah was Shemaiah: and the sonnes of Shemaiah were Hattush and Igeal, and Bariah, and Neariah, and Shaphat, sixe.
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 23] And the sonnes of Neariah were Elioenai, and Hezekiiah, and Azrikam, three.
[GNV | EN | OT | 1 Chronicles | Chapter 3 | Verse 24] And the sonnes of Elioenai were Hodaiah, and Eliashib, and Pelaiah, and Akkub, and Iohanan, and Delaiah, and Anani, seuen.
