[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 1] The sonnes also of Reuben the eldest sonne of Israel (for he was the eldest, but had defiled his fathers bed, therefore his birthright was giuen vnto the sonnes of Ioseph the sonne of Israel, so that the genealogie is not rekoned after his birthright.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 2] For Iudah preuailed aboue his brethren, and of him came the prince, but the birthright was Iosephs)
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 3] The sonnes of Reuben the eldest sonne of Israel, were Hanoch and Pallu, Hezron and Carmi.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 4] The sonnes of Ioel, Shemaiah his sonne, Gog his sonne, and Shimei his sonne,
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 5] Michah his sonne, Reaiah his sonne, and Baal his sonne,
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 6] Beerah his sonne: whom Tilgath Pilneeser King of Asshur caryed away: he was a prince of the Reubenites.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 7] And when his brethren in their families rekoned the genealogie of their generations, Ieiel and Zechariah were the chiefe,
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 8] And Bela the sonne of Azaz, the sonne of Shema, the sonne of Ioel, which dwelt in Aroer, euen vnto Nebo and Baal meon.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 9] Also Eastwarde he inhabited vnto the entring in of the wildernes from the riuer Perath for they had much cattel in the land of Gilead.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 10] And in the dayes of Saul they warred with the Hagarims, which fell by their hands: and they dwelt in their tentes in all the East partes of Gilead.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 11] And the children of Gad dwelt ouer against them in the land of Bashan, vnto Salchah.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 12] Ioel was the chiefest, and Shapham the second, but Iaanai and Shaphat were in Bashan.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 13] And their brethren of the house of their fathers were Michael, and Meshullam, and Sheba, and Sorai, and Iacan, and Zia and Eber, seuen.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 14] These are the childre of Abihail, the sonne of Huri, the sonne of Iaroah, the sonne of Gilead, the sonne of Michael, the sonne of Ieshishai, the sonne of Iahdo, the sonne of Buz.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 15] Ahi the sonne of Abdiel, the sonne of Guni was chiefe of the houshold of their fathers.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 16] And they dwelt in Gilead in Bashan, and in the townes thereof, and in all the suburbes of Sharon by their borders.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 17] All these were rekoned by genealogies in the dayes of Iotham King of Iudah, and in the dayes of Ieroboam King of Israel.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 18] The sonnes of Reuben and of Gad, and of halfe the tribe of Manasseh of those that were viliant men, able to beare shield, and sworde, and to draw a bowe, exercised in warre, were foure and fourtie thousand, seuen hundreth and three score, that went out to the warre.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 19] And they made warre with the Hagarims, with Ietur, and Naphish, and Nodab.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 20] And they were holpen against them, and the Hagarims were deliuered into their hande, and all that were with them: for they cryed to God in the battel, and he heard them, because they trusted in him.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 21] And they led away their cattel, euen their camels fiftie thousand, and two hundreth, and fiftie thousand sheepe, and two thousand asses, and of persons an hundreth thousand.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 22] For many fel downe wounded, because the warre was of God. And they dwelt in their steads vntill the captiuitie.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 23] And the children of the halfe tribe of Manasseh dwelt in the land, from Baashan vnto Baal Hermon, and Senir, and vnto mount Hermon: for they increased.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 24] And these were the heads of the housholds of their fathers, euen Epher and Ishi, and Eliel and Azriel, and Ieremiah, and Hodauiah, and Iahdiel, strong men, valiant and famous, heades of the housholdes of their fathers.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 25] But they transgressed against the God of their fathers, and went a whoring after the gods of the people of the lande, whome God had destroyed before them.
[GNV | EN | OT | 1 Chronicles | Chapter 5 | Verse 26] And the God of Israel stirred vp the spirit of Pul king of Asshur, and the spirite of Tilgath Pilneeser king of Asshur, and he caryed them away: euen the Reubenites and the Gadites, and the halfe tribe of Manasseh, and brought them vnto Halah and Habor, and Hara, and to the riuer Gozan, vnto this day.
