[IRV | PA | OT | Daniel | Chapter 4 | Verse 1] ਨਬੂਕਦਨੱਸਰ ਰਾਜਾ ਦੀ ਵੱਲੋਂ ਸਾਰੇ ਲੋਕਾਂ, ਕੌਮਾਂ ਤੇ ਭਾਖਿਆਂ ਨੂੰ ਜਿਹੜੀਆਂ ਕੁਲ ਧਰਤੀ ਵਿੱਚ ਵੱਸਦੀਆਂ ਹਨ, ਤੁਹਾਨੂੰ ਸ਼ਾਂਤੀ ਮਿਲੇ!
[IRV | PA | OT | Daniel | Chapter 4 | Verse 2] ਮੈਂ ਇਹ ਭਲਾ ਜਾਣਿਆ ਜੋ ਉਹਨਾਂ ਨਿਸ਼ਾਨੀਆਂ ਤੇ ਅਚੰਭਿਆਂ ਨੂੰ ਪਰਗਟ ਕਰਾਂ, ਜਿਹੜੇ ਅੱਤ ਮਹਾਨ ਪਰਮੇਸ਼ੁਰ ਨੇ ਮੇਰੇ ਨਾਲ ਕਰ ਕੇ ਵਿਖਾਏ।
[IRV | PA | OT | Daniel | Chapter 4 | Verse 3] ਉਹ ਦੀਆਂ ਨਿਸ਼ਾਨੀਆਂ ਕਿਹੋ ਜਿਹੀਆਂ ਵੱਡੀਆਂ ਅਤੇ ਉਹ ਦੇ ਅਚੰਭੇ ਕਿਹੋ ਜਿਹੇ ਸ਼ਕਤੀਮਾਨ ਹਨ! ਉਹ ਦਾ ਰਾਜ ਸਦੀਪਕ ਰਾਜ ਹੈ, ਅਤੇ ਉਹ ਦੀ ਪ੍ਰਭੂਤਾ ਪੀੜ੍ਹੀਓਂ ਪੀੜੀ ਤੱਕ!
[IRV | PA | OT | Daniel | Chapter 4 | Verse 4] ਮੈਂ ਨਬੂਕਦਨੱਸਰ ਆਪਣੇ ਘਰ ਵਿੱਚ ਅਰਾਮ ਨਾਲ ਆਪਣੇ ਮਹਿਲ ਵਿੱਚ ਖੁਸ਼ਹਾਲ ਸੀ।
[IRV | PA | OT | Daniel | Chapter 4 | Verse 5] ਮੈਂ ਇੱਕ ਅਜਿਹਾ ਸੁਫ਼ਨਾ ਵੇਖਿਆ ਜਿਸ ਦੇ ਕਾਰਨ ਮੈਂ ਡਰਿਆ ਅਤੇ ਉਹਨਾਂ ਖ਼ਿਆਲਾਂ ਦੇ ਕਾਰਨ ਜੋ ਮੈਂ ਆਪਣੇ ਪਲੰਘ ਉੱਤੇ ਕੀਤੇ ਅਤੇ ਜਿਹਨਾਂ ਗੱਲਾਂ ਨੂੰ ਮੈਂ ਦੇਖਿਆ ਉਸ ਕਾਰਨ ਮੈਂ ਘਬਰਾ ਗਿਆ।
[IRV | PA | OT | Daniel | Chapter 4 | Verse 6] ਇਸ ਲਈ ਮੈਂ ਆਗਿਆ ਦਿੱਤੀ ਕਿ ਬਾਬਲ ਦੇ ਸਾਰੇ ਵਿਦਵਾਨ ਮੇਰੇ ਅੱਗੇ ਹਾਜ਼ਰ ਕੀਤੇ ਜਾਣ ਤਾਂ ਜੋ ਸੁਫ਼ਨੇ ਦਾ ਅਰਥ ਮੈਨੂੰ ਦੱਸਣ।
[IRV | PA | OT | Daniel | Chapter 4 | Verse 7] ਤਦ ਜਾਦੂਗਰ, ਜੋਤਸ਼ੀ, ਕਸਦੀ ਤੇ ਅਗੰਮ-ਵਾਚਕ ਹਾਜ਼ਰ ਹੋਏ ਤਾਂ ਮੈਂ ਸੁਫ਼ਨਾ ਉਹਨਾਂ ਦੇ ਅੱਗੇ ਸੁਣਾਇਆ ਪਰ ਉਹਨਾਂ ਨੇ ਮੈਨੂੰ ਉਹ ਦਾ ਅਰਥ ਨਾ ਦੱਸਿਆ।
[IRV | PA | OT | Daniel | Chapter 4 | Verse 8] ਅਖ਼ੀਰ ਨੂੰ ਦਾਨੀਏਲ ਜਿਸ ਦਾ ਨਾਮ ਮੇਰੇ ਦੇਵਤੇ ਦੇ ਨਾਮ ਦੇ ਅਨੁਸਾਰ ਬੇਲਟਸ਼ੱਸਰ ਹੈ, ਮੇਰੇ ਹਜ਼ੂਰ ਆਇਆ ਅਤੇ ਉਸ ਵਿੱਚ ਪਵਿੱਤਰ ਦੇਵਤਿਆਂ ਦਾ ਆਤਮਾ ਹੈ, ਸੋ ਮੈਂ ਉਹ ਦੇ ਅੱਗੇ ਸੁਫ਼ਨਾ ਸੁਣਾਇਆ ਤੇ ਆਖਿਆ,
[IRV | PA | OT | Daniel | Chapter 4 | Verse 9] ਹੇ ਬੇਲਟਸ਼ੱਸਰ, ਜਾਦੂਗਰਾਂ ਦੇ ਪ੍ਰਧਾਨ, ਇਸ ਲਈ ਜੋ ਮੈਂ ਜਾਣਦਾ ਹਾਂ ਕਿ ਤੇਰੇ ਵਿੱਚ ਪਵਿੱਤਰ ਦੇਵਤਿਆਂ ਦਾ ਆਤਮਾ ਹੈ ਅਤੇ ਤੂੰ ਕਿਸੇ ਭੇਤ ਦੇ ਕਾਰਨ ਨਹੀਂ ਘਬਰਾਉਂਦਾ, ਤੂੰ ਮੇਰੇ ਸੁਫ਼ਨੇ ਨੂੰ ਜੋ ਮੈਂ ਵੇਖਿਆ ਅਤੇ ਉਹਨਾਂ ਦਾ ਅਰਥ ਮੈਨੂੰ ਦੱਸ।
[IRV | PA | OT | Daniel | Chapter 4 | Verse 10] ਜੋ ਦਰਸ਼ਣ ਮੈਂ ਆਪਣੇ ਪਲੰਘ ਉੱਤੇ ਦੇਖਿਆ ਇਸ ਤਰ੍ਹਾਂ ਹੈ, ਜਦ ਮੈਂ ਨਜ਼ਰ ਕੀਤੀ ਤਾਂ ਕੀ ਵੇਖਦਾ ਹਾਂ ਕਿ ਧਰਤੀ ਵਿਚਕਾਰ ਇੱਕ ਰੁੱਖ ਸੀ ਜਿਸ ਦੀ ਉਚਿਆਈ ਬਹੁਤ ਵੱਡੀ ਸੀ।
[IRV | PA | OT | Daniel | Chapter 4 | Verse 11] ਉਹ ਰੁੱਖ ਵਧਿਆ ਤੇ ਤਕੜਾ ਹੋ ਗਿਆ ਅਤੇ ਉਹ ਦੀ ਚੋਟੀ ਅਕਾਸ਼ ਤੱਕ ਪਹੁੰਚ ਗਈ, ਉਹ ਧਰਤੀ ਦੇ ਕੰਢਿਆਂ ਤੱਕ ਵਿਖਾਈ ਦੇਣ ਲੱਗਾ।
