[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 1] ਮਨੁੱਖ ਸਾਨੂੰ ਮਸੀਹ ਦੇ ਸੇਵਕ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਭੇਤਾਂ ਦੇ ਭੰਡਾਰੀ ਸਮਝਣ।
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 2] ਫੇਰ ਇੱਕ ਭੰਡਾਰੀ ਵਿੱਚ ਇਹ ਚਾਹੀਦਾ ਹੈ ਜੋ ਉਹ ਵਫ਼ਾਦਾਰ ਹੋਵੇ।
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 3] ਪਰ ਮੇਰੇ ਲਈ ਇਹ ਛੋਟੀ ਗੱਲ ਹੈ ਕਿ ਤੁਹਾਡੇ ਤੋਂ ਅਥਵਾ ਇਨਸਾਨੀ ਅਦਾਲਤ ਤੋਂ ਮੇਰੀ ਜਾਂਚ ਕੀਤੀ ਜਾਵੇ ਸਗੋਂ ਮੈਂ ਆਪ ਵੀ ਆਪਣੀ ਜਾਂਚ ਨਹੀਂ ਕਰਦਾ ਹਾਂ।
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 4] ਭਾਵੇਂ ਮੈਂ ਆਪਣੇ ਆਪ ਵਿੱਚ ਕੋਈ ਦੋਸ਼ ਨਹੀਂ ਵੇਖਦਾ ਤਾਂ ਵੀ ਇਸ ਤੋਂ ਮੈਂ ਨਿਰਦੋਸ਼ ਨਹੀਂ ਠਹਿਰਦਾ, ਪਰ ਮੇਰਾ ਨਿਆਂ ਕਰਨ ਵਾਲਾ ਪ੍ਰਭੂ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 5] ਜਿੰਨਾਂ ਚਿਰ ਪ੍ਰਭੂ ਨਾ ਆਵੇ, ਤੁਸੀਂ ਸਮੇਂ ਤੋਂ ਪਹਿਲਾਂ ਕਿਸੇ ਗੱਲ ਦਾ ਨਿਆਂ ਨਾ ਕਰਿਆ ਕਰੋ, ਉਹ ਆਪ ਹਨੇਰੇ ਦੀਆਂ ਛਿਪੀਆਂ ਗੱਲਾਂ ਤੇ ਪਰਕਾਸ਼ ਕਰੇਗਾ ਅਤੇ ਮਨ ਦੀਆਂ ਦਲੀਲਾਂ ਨੂੰ ਪ੍ਰਗਟ ਕਰੇਗਾ। ਉਸ ਵੇਲੇ ਹਰ ਕਿਸੇ ਨੂੰ ਪਰਮੇਸ਼ੁਰ ਦੀ ਵੱਲੋਂ ਵਡਿਆਈ ਮਿਲੇਗੀ।
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 6] ਹੇ ਭਰਾਵੋ, ਮੈਂ ਇਹ ਗੱਲਾਂ ਤੁਹਾਡੇ ਨਮਿੱਤ ਆਪਣੇ ਅਤੇ ਅਪੁੱਲੋਸ ਦੇ ਉੱਤੇ ਨਮੂਨੇ ਦੇ ਤੌਰ ਤੇ ਲਾਈਆਂ ਕਿ ਤੁਸੀਂ ਸਾਡੇ ਕੋਲੋਂ ਇਹ ਸਿੱਖੋ ਕਿ ਜਿਹੜੀਆਂ ਗੱਲਾਂ ਲਿਖੀਆਂ ਹੋਈਆਂ ਹਨ ਉਨ੍ਹਾਂ ਤੋਂ ਪਰੇ ਨਾ ਵਧੋ ਕਿਤੇ ਇਉਂ ਨਾ ਹੋਵੇ ਜੋ ਤੁਸੀਂ ਇੱਕ ਦਾ ਪੱਖ ਕਰ ਕੇ ਦੂਜੇ ਦੇ ਵਿਰੁੱਧ ਹੋ ਜਾਓ।
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 7] ਕਿਉਂ ਜੋ ਤੈਨੂੰ ਦੂਜੇ ਤੋਂ ਉੱਤਮ ਜਾਣਦਾ ਹੈ? ਅਤੇ ਤੇਰੇ ਕੋਲ ਕੀ ਹੈ ਜੋ ਤੈਨੂੰ ਨਹੀਂ ਮਿਲਿਆ? ਪਰ ਜੇ ਤੈਨੂੰ ਮਿਲਿਆ ਵੀ ਤਾਂ ਘਮੰਡ ਕਿਉਂ ਕਰਦਾ ਹੈਂ ਕਿ ਮਿਲਿਆ ਹੀ ਨਹੀਂ?
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 8] ਤੁਸੀਂ ਤਾਂ ਪਹਿਲਾਂ ਹੀ ਰੱਜੇ ਹੋਏ ਹੋ! ਤੁਸੀਂ ਤਾਂ ਪਹਿਲਾਂ ਹੀ ਧਨੀ ਹੋ ਗਏ! ਤੁਸੀਂ ਸਾਡੇ ਬਿਨ੍ਹਾਂ ਰਾਜ ਕਰਨ ਲੱਗ ਪਏ ਅਤੇ ਕਾਸ਼ ਕਿ ਤੁਸੀਂ ਸੱਚ-ਮੁੱਚ ਰਾਜ ਕਰਦੇ ਤਾਂ ਜੋ ਅਸੀਂ ਵੀ ਤੁਹਾਡੇ ਨਾਲ ਰਲ ਕੇ ਰਾਜ ਕਰਦੇ!
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 9] ਮੈਂ ਤਾਂ ਸਮਝਦਾ ਹਾਂ ਕਿ ਪਰਮੇਸ਼ੁਰ ਨੇ ਸਾਨੂੰ ਰਸੂਲਾਂ ਨੂੰ ਕਤਲ ਹੋਣ ਵਾਲਿਆਂ ਵਰਗੇ ਪ੍ਰਗਟ ਕੀਤਾ ਕਿਉਂ ਜੋ ਅਸੀਂ ਸੰਸਾਰ ਅਤੇ ਦੂਤਾਂ ਅਤੇ ਮਨੁੱਖਾਂ ਦੇ ਲਈ ਇੱਕ ਤਮਾਸ਼ਾ ਬਣੇ ਹੋਏ ਹਾਂ।
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 10] ਅਸੀਂ ਮਸੀਹ ਦੇ ਲਈ ਮੂਰਖ ਹਾਂ ਪਰ ਤੁਸੀਂ ਮਸੀਹ ਵਿੱਚ ਸਿਆਣੇ ਹੋ। ਅਸੀਂ ਨਿਰਬਲ ਹਾਂ ਪਰ ਤੁਸੀਂ ਬਲਵੰਤ ਹੋ। ਤੁਸੀਂ ਪਰਤਾਪ ਵਾਲੇ ਹੋ ਪਰ ਅਸੀਂ ਬੇਪਤ ਹਾਂ।
[IRV | PA | NT | 1 Corinthians | Chapter 4 | Verse 11] ਇਸ ਘੜੀ ਤੱਕ ਅਸੀਂ ਭੁੱਖੇ, ਤਿਹਾਏ, ਨੰਗੇ ਹਾਂ ਅਤੇ ਮੁੱਕੇ ਖਾਂਦੇ ਅਤੇ ਬੇ ਟਿਕਾਣਾ ਫਿਰਦੇ ਹਾਂ।
