[IRV | PA | NT | 1 Corinthians | Chapter 1 | Verse 1] ਪੌਲੁਸ, ਜਿਹੜਾ ਪਰਮੇਸ਼ੁਰ ਦੀ ਇੱਛਾ ਤੋਂ ਯਿਸੂ ਮਸੀਹ ਦਾ ਰਸੂਲ ਹੋਣ ਲਈ ਸੱਦਿਆ ਗਿਆ, ਅਤੇ ਸਾਡੇ ਭਰਾ ਸੋਸਥਨੇਸ ਵੱਲੋਂ,
[IRV | PA | NT | 1 Corinthians | Chapter 1 | Verse 2] ਅੱਗੇ ਯੋਗ ਪਰਮੇਸ਼ੁਰ ਦੀ ਕਲੀਸਿਯਾ ਨੂੰ ਜਿਹੜੀ ਕੁਰਿੰਥੁਸ ਵਿੱਚ ਹੈ, ਅਰਥਾਤ ਉਹਨਾਂ ਨੂੰ ਜਿਹੜੇ ਮਸੀਹ ਯਿਸੂ ਵਿੱਚ ਪਵਿੱਤਰ ਕੀਤੇ ਹੋਏ ਅਤੇ ਸੰਤ ਹੋਣ ਲਈ ਸੱਦੇ ਹੋਏ ਹਨ, ਜੋ ਉਨ੍ਹਾਂ ਸਭਨਾਂ ਨਾਲ ਜਿਹੜੇ ਹਰੇਕ ਥਾਂ ਸਾਡੇ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਦਾ ਨਾਮ ਲੈਂਦੇ ਹਨ, ਉਹ ਉਨ੍ਹਾਂ ਦਾ ਅਤੇ ਸਾਡਾ ਵੀ ਪ੍ਰਭੂ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 1 | Verse 3] ਸਾਡੇ ਪਿਤਾ ਪਰਮੇਸ਼ੁਰ ਅਤੇ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਦੀ ਵੱਲੋਂ ਤੁਹਾਨੂੰ ਕਿਰਪਾ ਅਤੇ ਸ਼ਾਂਤੀ ਹੁੰਦੀ ਰਹੇ l
[IRV | PA | NT | 1 Corinthians | Chapter 1 | Verse 4] ਮੈਂ ਪਰਮੇਸ਼ੁਰ ਦੀ ਕਿਰਪਾ ਦੇ ਲਈ ਜਿਹੜੀ ਯਿਸੂ ਮਸੀਹ ਵਿੱਚ ਤੁਹਾਨੂੰ ਦਿੱਤੀ ਗਈ ਹੈ, ਤੁਹਾਡੇ ਲਈ ਸਦਾ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦਾ ਧੰਨਵਾਦ ਕਰਦਾ ਹਾਂ।
[IRV | PA | NT | 1 Corinthians | Chapter 1 | Verse 5] ਜੋ ਤੁਸੀਂ ਉਸ ਵਿੱਚ ਹਰੇਕ ਗੱਲ ਅਤੇ ਸਰਬ ਗਿਆਨ ਵਿੱਚ ਧਨੀ ਕੀਤੇ ਹੋਏ ਹੋ।
[IRV | PA | NT | 1 Corinthians | Chapter 1 | Verse 6] ਜਿਵੇਂ ਮਸੀਹ ਦੀ ਗਵਾਹੀ ਤੁਹਾਡੇ ਵਿੱਚ ਪੂਰੀ ਹੋਈ।
[IRV | PA | NT | 1 Corinthians | Chapter 1 | Verse 7] ਇੱਥੋਂ ਤੱਕ ਜੋ ਤੁਹਾਨੂੰ ਕਿਸੇ ਆਤਮਿਕ ਦਾਤ ਦੀ ਕਮੀ ਨਹੀਂ ਹੈ ਜਦ ਕਿ ਤੁਸੀਂ ਸਾਡੇ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਦੇ ਪ੍ਰਗਟ ਹੋਣ ਦੀ ਉਡੀਕ ਕਰਦੇ ਹੋ।
[IRV | PA | NT | 1 Corinthians | Chapter 1 | Verse 8] ਉਹ ਤੁਹਾਨੂੰ ਅੰਤ ਤੱਕ ਕਾਇਮ ਵੀ ਰੱਖੇਗਾ ਜੋ ਤੁਸੀਂ ਸਾਡੇ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਦੇ ਦਿਨ ਨਿਰਦੋਸ਼ ਹੋਵੋ।
[IRV | PA | NT | 1 Corinthians | Chapter 1 | Verse 9] ਪਰਮੇਸ਼ੁਰ ਵਫ਼ਾਦਾਰ ਹੈ, ਜਿਸ ਦੇ ਰਾਹੀਂ ਤੁਸੀਂ ਉਹ ਦੇ ਪੁੱਤਰ ਯਿਸੂ ਮਸੀਹ ਸਾਡੇ ਪ੍ਰਭੂ ਦੀ ਸੰਗਤ ਲਈ ਸੱਦੇ ਗਏ ਹੋ।
[IRV | PA | NT | 1 Corinthians | Chapter 1 | Verse 10] ਹੇ ਭਰਾਵੋ, ਸਾਡੇ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਦੇ ਨਾਮ ਦਾ ਵਾਸਤਾ ਦੇ ਕੇ ਮੈਂ ਤੁਹਾਡੇ ਅੱਗੇ ਬੇਨਤੀ ਕਰਦਾ ਹਾਂ, ਜੋ ਤੁਸੀਂ ਸਾਰੇ ਇੱਕ ਮਨ ਦੇ ਹੋ ਜਾਓ ਅਤੇ ਤੁਹਾਡੇ ਵਿੱਚ ਕੋਈ ਮਤਭੇਦ ਨਾ ਹੋਣ।
[IRV | PA | NT | 1 Corinthians | Chapter 1 | Verse 11] ਕਿਉਂਕਿ ਹੇ ਮੇਰੇ ਭਰਾਵੋ, ਕਲੋਏ ਦੇ ਘਰ ਦਿਆਂ ਕੋਲੋਂ ਤੁਹਾਡੇ ਬਾਰੇ ਮੈਨੂੰ ਪਤਾ ਲੱਗਾ ਹੈ ਕਿ ਤੁਹਾਡੇ ਵਿੱਚ ਝਗੜੇ ਹੁੰਦੇ ਹਨ।
