[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 1] ਪਿਆਰ ਵਿੱਚ ਚੱਲੋ। ਆਤਮਿਕ ਦਾਤਾਂ ਦੀ ਵੀ ਭਾਲ ਕਰੋ, ਪਰ ਭਵਿੱਖਬਾਣੀ ਨੂੰ ਵਧੇਰੇ ਭਾਲੋ।
[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 2] ਜਿਹੜਾ ਪਰਾਈ ਭਾਸ਼ਾ ਬੋਲਦਾ ਹੈ, ਉਹ ਮਨੁੱਖਾਂ ਨਾਲ ਨਹੀਂ ਸਗੋਂ ਪਰਮੇਸ਼ੁਰ ਨਾਲ ਬੋਲਦਾ ਹੈ, ਇਸ ਲਈ ਕੋਈ ਨਹੀਂ ਸਮਝਦਾ ਹੈ ਪਰ ਉਹ ਆਤਮਾ ਵਿੱਚ ਭੇਤ ਦੀਆਂ ਗੱਲਾਂ ਕਰਦਾ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 3] ਪਰ ਜਿਹੜਾ ਭਵਿੱਖਬਾਣੀ ਕਰਦਾ ਹੈ, ਉਹ ਲਾਭ ਅਤੇ ਉਪਦੇਸ਼ ਅਤੇ ਤਸੱਲੀ ਦੀਆਂ ਗੱਲਾਂ ਮਨੁੱਖ ਨਾਲ ਕਰਦਾ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 4] ਜਿਹੜਾ ਪਰਾਈ ਭਾਸ਼ਾ ਬੋਲਦਾ ਹੈ ਉਹ ਆਪ ਹੀ ਲਾਭ ਲੈਂਦਾ ਹੈ, ਪਰ ਜਿਹੜਾ ਭਵਿੱਖਬਾਣੀ ਕਰਦਾ ਹੈ ਉਹ ਕਲੀਸਿਯਾ ਨੂੰ ਲਾਭ ਦਿੰਦਾ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 5] ਹੁਣ ਮੈਂ ਚਾਹੁੰਦਾ ਹਾਂ ਜੋ ਤੁਸੀਂ ਸਾਰੇ ਪਰਾਈਆਂ ਭਾਸ਼ਾ ਬੋਲੋ ਪਰ ਇਸ ਤੋਂ ਵੱਧ ਕੇ ਇਹ, ਜੋ ਤੁਸੀਂ ਭਵਿੱਖਬਾਣੀ ਕਰੋ। ਜਿਹੜਾ ਪਰਾਈਆਂ ਭਾਸ਼ਾ ਬੋਲਣ ਵਾਲਾ ਹੈ ਜੇਕਰ ਉਹ ਅਰਥ ਨਾ ਕਰੇ, ਜਿਸ ਤੋਂ ਕਲੀਸਿਯਾ ਲਾਭ ਉੱਠਾਵੇ ਤਾਂ ਭਵਿੱਖਬਾਣੀ ਕਰਨ ਵਾਲਾ ਉਸ ਨਾਲੋਂ ਉੱਤਮ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 6] ਪਰ ਹੁਣ ਭਰਾਵੋ, ਜੇ ਮੈਂ ਪਰਾਈ ਭਾਸ਼ਾ ਬੋਲਦਾ ਹੋਇਆ ਤੁਹਾਡੇ ਕੋਲ ਆਵਾਂ ਅਤੇ ਪਰਕਾਸ਼ ਜਾਂ ਗਿਆਨ ਜਾਂ ਭਵਿੱਖਬਾਣੀ ਜਾਂ ਸਿੱਖਿਆ ਦੀ ਗੱਲ, ਤੁਹਾਡੇ ਨਾਲ ਨਾ ਕਰਾਂ ਤਾਂ ਮੇਰੇ ਤੋਂ ਤੁਹਾਨੂੰ ਕੀ ਲਾਭ ਹੋਵੇਗਾ?
[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 7] ਬੇ ਜਾਨ ਵਸਤਾਂ ਵੀ ਜਿਹੜੀਆਂ ਆਵਾਜ਼ ਦਿੰਦੀਆਂ ਹਨ ਭਾਵੇਂ ਵੰਜਲੀ ਭਾਵੇਂ ਰਬਾਬ ਜੇ ਉਨ੍ਹਾਂ ਦੀਆਂ ਸੁਰਾਂ ਵਿੱਚ ਭੇਦ ਨਾ ਹੋਵੇ ਤਾਂ ਕੀ ਪਤਾ ਲੱਗੇ ਜੋ ਕੀ ਵਜਾਇਆ ਜਾਂਦਾ ਹੈ?
[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 8] ਜੇ ਤੁਰ੍ਹੀ ਬੇ ਠਿਕਾਣੇ ਆਵਾਜ਼ ਦੇਵੇ ਤਾਂ ਕੌਣ ਲੜਾਈ ਲਈ ਲੱਕ ਬੰਨੇਗਾ?
[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 9] ਇਸੇ ਤਰ੍ਹਾਂ ਤੁਸੀਂ ਵੀ ਜੇ ਸਾਫ਼ ਗੱਲ ਆਪਣੀ ਜ਼ੁਬਾਨੀ ਨਾ ਬੋਲੋ ਤਾਂ ਜੋ ਬੋਲਿਆ ਜਾਂਦਾ ਹੈ ਕਿਵੇਂ ਸਮਝਿਆ ਜਾਂਦਾ ਹੈ? ਤੁਸੀਂ ਹਵਾ ਨਾਲ ਗੱਲਾਂ ਕਰਨ ਵਾਲੇ ਹੋਵੋਗੇ।
[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 10] ਕੀ ਜਾਣੀਏ ਜੋ ਸੰਸਾਰ ਵਿੱਚ ਕਿੰਨੇ ਪ੍ਰਕਾਰ ਦੀਆਂ ਬੋਲੀਆਂ ਹਨ ਅਤੇ ਕੋਈ ਵਿਅਰਥ ਨਹੀਂ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 11] ਉਪਰੰਤ ਜੇ ਉਹ ਬੋਲੀ ਮੇਰੀ ਸਮਝ ਵਿੱਚ ਨਾ ਆਉਂਦੀ ਹੋਵੇ ਤਾਂ ਮੈਂ ਬੋਲਣ ਵਾਲੇ ਦੇ ਲਈ ਅਜ਼ੀਬ ਬਣਾਂਗਾ ਅਤੇ ਬੋਲਣ ਵਾਲਾ ਮੇਰੇ ਲਈ ਅਜ਼ੀਬ ਬਣੇਗਾ।
[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 12] ਇਸੇ ਤਰ੍ਹਾਂ ਤੁਸੀਂ ਵੀ ਜਦ ਆਤਮਿਕ ਦਾਤਾਂ ਦੀ ਭਾਲ ਕਰਦੇ ਹੋ ਤਾਂ ਜਤਨ ਕਰੋ ਜੋ ਕਲੀਸਿਯਾ ਦੇ ਲਾਭ ਲਈ ਤੁਹਾਨੂੰ ਵਾਧਾ ਹੋਵੇ।
[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 13] ਇਸ ਕਰਕੇ ਜੋ ਪਰਾਈ ਭਾਸ਼ਾ ਬੋਲਦਾ ਹੈ, ਉਹ ਪ੍ਰਾਰਥਨਾ ਕਰੇ ਜੋ ਅਰਥ ਵੀ ਕਰ ਸਕੇ।
[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 14] ਜੇ ਮੈਂ ਪਰਾਈ ਭਾਸ਼ਾ ਵਿੱਚ ਪ੍ਰਾਰਥਨਾ ਕਰਾਂ ਤਾਂ ਮੇਰਾ ਆਤਮਾ ਪ੍ਰਾਰਥਨਾ ਕਰਦਾ ਹੈ ਪਰ ਮੇਰੀ ਸਮਝ ਨਿਸ਼ਫਲ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 15] ਮੈਂ ਆਤਮਾ ਨਾਲ ਗਾਵਾਂਗਾ ਅਤੇ ਸਮਝ ਨਾਲ ਵੀ ਗਾਵਾਂਗਾ।
[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 16] ਨਹੀਂ ਤਾਂ ਜੇ ਤੂੰ ਆਤਮਾ ਨਾਲ ਹੀ ਉਸਤਤ ਕਰੇਂ ਤਾਂ ਜਿਹੜਾ ਅਨਜਾਣ ਕੋਲ ਬੈਠਾ ਹੋਇਆ ਹੈ ਜਦੋਂ ਉਹ ਨਹੀਂ ਜਾਣਦਾ ਜੋ ਤੂੰ ਕੀ ਆਖਦਾ ਹੈਂ ਉਹ ਤੇਰੇ ਧੰਨਵਾਦ ਕਰਨ ਉੱਤੇ ਆਮੀਨ ਕਿਵੇਂ ਆਖੇ?
[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 17] ਤੂੰ ਤਾਂ ਧੰਨਵਾਦ ਚੰਗੀ ਤਰ੍ਹਾਂ ਨਾਲ ਕਰਦਾ ਹੈਂ ਪਰ ਦੂਜੇ ਨੂੰ ਕੁਝ ਲਾਭ ਨਹੀਂ ਹੁੰਦਾ।
[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 18] ਮੈਂ ਪਰਮੇਸ਼ੁਰ ਦਾ ਧੰਨਵਾਦ ਕਰਦਾ ਹਾਂ ਜੋ ਮੈਂ ਤੁਹਾਡੇ ਸਾਰਿਆਂ ਤੋਂ ਵਧੇਰੇ ਪਰਾਈ ਭਾਸ਼ਾ ਬੋਲਦਾ ਹਾਂ।
[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 19] ਤਾਂ ਵੀ ਕਲੀਸਿਯਾ ਵਿੱਚ ਪੰਜ ਗੱਲਾਂ ਆਪਣੀ ਸਮਝ ਨਾਲ ਬੋਲਣੀਆਂ ਕਿ ਹੋਰਨਾਂ ਨੂੰ ਵੀ ਸਿਖਾਵਾਂ ਇਹ ਮੈਨੂੰ ਇਸ ਨਾਲੋਂ ਬਹੁਤ ਪਸੰਦ ਆਉਂਦਾ ਹੈ ਜੋ ਦਸ ਹਜ਼ਾਰ ਗੱਲਾਂ ਪਰਾਈ ਭਾਸ਼ਾ ਵਿੱਚ ਬੋਲਾਂ।
[IRV | PA | NT | 1 Corinthians | Chapter 14 | Verse 20] ਹੇ ਭਰਾਵੋ, ਤੁਸੀਂ ਬੁੱਧ ਵਿੱਚ ਬਾਲਕ ਨਾ ਬਣੋ ਤਾਂ ਵੀ ਬੁਰਿਆਈ ਵਿੱਚ ਨਿਆਣੇ ਬਣੇ ਰਹੋ ਪਰ ਬੁੱਧ ਵਿੱਚ ਸਿਆਣੇ ਹੋਵੋ।
