[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 1] ਹੇ ਭਰਾਵੋ, ਮੈਂ ਨਹੀਂ ਚਾਹੁੰਦਾ ਜੋ ਤੁਸੀਂ ਆਤਮਿਕ ਦਾਤਾਂ ਦੇ ਬਾਰੇ ਅਣਜਾਣ ਰਹੋ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 2] ਤੁਸੀਂ ਜਾਣਦੇ ਹੋ, ਕਿ ਜਦੋਂ ਤੁਸੀਂ ਵਿਸ਼ਵਾਸ ਵਿੱਚ ਨਹੀਂ ਸੀ, ਤਦ ਗੂੰਗੀਆਂ ਮੂਰਤੀਆਂ ਦੀ ਵੱਲ ਜਿਵੇਂ ਤੋਰੇ ਜਾਂਦੇ ਤਿਵੇਂ ਤੁਰਦੇ ਸੀ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 3] ਇਸ ਲਈ ਮੈਂ ਤੁਹਾਨੂੰ ਇਹ ਦੱਸਦਾ ਹਾਂ ਕਿ ਪਰਮੇਸ਼ੁਰ ਦੇ ਆਤਮਾ ਰਾਹੀਂ ਬੋਲ ਕੇ ਕੋਈ ਨਹੀਂ ਆਖ ਸਕਦਾ, “ਯਿਸੂ ਸਰਾਪਤ ਹੈ,” ਨਾ ਕੋਈ ਕਹਿ ਸਕਦਾ ਹੈ, “ਯਿਸੂ ਪ੍ਰਭੂ ਹੈ,” ਪਰ ਕੇਵਲ ਪਵਿੱਤਰ ਆਤਮਾ ਦੇ ਰਾਹੀਂ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 4] ਦਾਤਾਂ ਅਨੇਕ ਪ੍ਰਕਾਰ ਦੀਆਂ ਹਨ, ਪਰ ਆਤਮਾ ਇੱਕੋ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 5] ਅਤੇ ਸੇਵਾ ਕਈ ਪ੍ਰਕਾਰ ਦੀ ਹੈ, ਪਰ ਪ੍ਰਭੂ ਇੱਕੋ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 6] ਅਤੇ ਕਾਰਜ ਅਨੇਕ ਪ੍ਰਕਾਰ ਦੇ ਹਨ, ਪਰ ਪਰੰਤੂ ਪਰਮੇਸ਼ੁਰ ਇੱਕੋ ਹੈ ਜੋ ਸਭਨਾਂ ਵਿੱਚ ਕਾਰਜ ਕਰਦਾ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 7] ਪਰ ਆਤਮਾ ਦਾ ਪਰਕਾਸ਼ ਜੋ ਸਭਨਾਂ ਦੇ ਲਾਭ ਲਈ ਹੈ ਹਰ ਇੱਕ ਨੂੰ ਦਿੱਤਾ ਜਾਂਦਾ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 8] ਇੱਕ ਨੂੰ ਤਾਂ ਆਤਮਾ ਦੇ ਰਾਹੀਂ ਗਿਆਨ ਦੀ ਗੱਲ ਪ੍ਰਾਪਤ ਹੁੰਦੀ ਹੈ, ਦੂਜੇ ਨੂੰ ਉਸੇ ਆਤਮਾ ਦੇ ਅਨੁਸਾਰ ਵਿੱਦਿਆ ਦੀ ਗੱਲ,
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 9] ਹੋਰ ਨੂੰ ਉਸੇ ਆਤਮਾ ਤੋਂ ਵਿਸ਼ਵਾਸ, ਹੋਰ ਕਿਸੇ ਨੂੰ ਉਸੇ ਇੱਕੋ ਆਤਮਾ ਤੋਂ ਚੰਗਾ ਕਰਨ ਦੀਆਂ ਦਾਤਾਂ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 10] ਅਤੇ ਹੋਰ ਕਿਸੇ ਨੂੰ ਕਰਾਮਾਤਾਂ ਵਿਖਾਉਣ ਦੀ ਸਮਰੱਥਾ, ਹੋਰ ਕਿਸੇ ਨੂੰ ਭਵਿੱਖਬਾਣੀ ਅਤੇ ਹੋਰ ਕਿਸੇ ਨੂੰ ਆਤਮਿਆਂ ਦੀ ਪਛਾਣ, ਹੋਰ ਨੂੰ ਅਨੇਕ ਪ੍ਰਕਾਰ ਦੀਆਂ ਭਾਸ਼ਾ, ਹੋਰ ਕਿਸੇ ਨੂੰ ਭਾਸ਼ਾ ਦਾ ਅਰਥ ਕਰਨਾ।
[IRV | PA | NT | 1 Corinthians | Chapter 12 | Verse 11] ਪਰ ਉਹ ਇੱਕੋ ਆਤਮਾ ਹੀ ਸਭ ਕੁਝ ਕਰਦਾ ਹੈ ਅਤੇ ਉਹ ਜਿਸ ਤਰ੍ਹਾਂ ਚਾਹੁੰਦਾ ਹੈ ਹਰੇਕ ਨੂੰ ਇੱਕ-ਇੱਕ ਕਰਕੇ ਵੰਡ ਦਿੰਦਾ ਹੈ।
