[IRV | GU | NT | Hebrews | Chapter 8 | Verse 1] હવે જે વાતો અમે કહીએ છીએ, તેનો સારાંશ એ છે, કે આપણને એવા પ્રમુખ યાજક મળ્યા છે, કે જે સ્વર્ગમાં ઈશ્વરના મહત્વના રાજ્યાસનની જમણી તરફ બિરાજમાન છે.
[IRV | GU | NT | Hebrews | Chapter 8 | Verse 2] પવિત્રસ્થાનનો તથા જે ખરો મંડપ માણસોએ નહિ, પણ પ્રભુએ બાંધેલો છે, તેના તે સેવક છે.
[IRV | GU | NT | Hebrews | Chapter 8 | Verse 3] દરેક પ્રમુખ યાજક અર્પણો તથા બલિદાન આપવા માટે નિમાયેલા છે; માટે તેમની પાસે પણ અર્પણ કરવાનું કંઈ હોય એ જરૂરી છે.
[IRV | GU | NT | Hebrews | Chapter 8 | Verse 4] વળી જો તે પૃથ્વી પર હોત, તો તે યાજક હોત જ નહિ; કેમ કે નિયમશાસ્ત્ર પ્રમાણે અર્પણો કરનારા યાજકો તો અહીં છે જ;
[IRV | GU | NT | Hebrews | Chapter 8 | Verse 5] જેઓ સ્વર્ગમાંની વસ્તુઓની પ્રતિમા તથા પ્રતિછાયાની સેવા કરે છે, કેમ કે જેમ મૂસા જયારે મંડપ ઊભો કરવાનો હતો ત્યારે તેને ઈશ્વરે કહ્યું કે, ‘જે નમૂનો તને પહાડ પર બતાવ્યો હતો, તે પ્રમાણે તમામ બાબતોની રચના કાળજીપૂર્વક કર.’”
[IRV | GU | NT | Hebrews | Chapter 8 | Verse 6] પણ હવે જેમ ખ્રિસ્ત વધારે સારાં વચનોથી ઠરાવેલા અને વધારે સારા કરારના મધ્યસ્થ છે, તેમ તેમને વધારે સારું સેવાકાર્ય કરવાનું મળ્યું.
[IRV | GU | NT | Hebrews | Chapter 8 | Verse 7] કેમ કે જો તે પહેલા કરાર નિર્દોષ હતો, તો બીજા કરારને માટે સ્થાન શોધવાની જરૂર રહેત નહિ.
[IRV | GU | NT | Hebrews | Chapter 8 | Verse 8] પણ દોષ કાઢતાં ઈશ્વર તેઓને કહે છે કે, ‘જુઓ, પ્રભુ એમ કહે છે કે, એવા દિવસો આવે છે, કે જેમાં હું ઇઝરાયલના લોકોની સાથે તથા યહૂદિયા લોકોની સાથે નવો કરાર કરીશ.
[IRV | GU | NT | Hebrews | Chapter 8 | Verse 9] તેઓના પૂર્વજોને મિસર દેશમાંથી બહાર લાવવા માટે જે દિવસે મેં તેઓનો હાથ પકડ્યો, ત્યારે તેઓની સાથે જે કરાર મેં કર્યો હતો, તે પ્રમાણેનો કરાર તે નહિ હોય કારણ કે તેઓ મારા કરાર મુજબ ચાલ્યા નહિ એટલે મેં તેઓ સંબંધી કશી પરવા કરી નહિ, એવું પ્રભુ કહે છે.’”
[IRV | GU | NT | Hebrews | Chapter 8 | Verse 10] કેમ કે પ્રભુ કહે છે કે, ‘તે દિવસો પછી, ઇઝરાયલના સંતાનોની સાથે જે કરાર હું કરીશ, તે આ છે; હું મારા નિયમો તેઓના મનમાં મૂકીશ અને તે તેઓના હૃદયપટ પર તે લખીશ હું તેઓનો ઈશ્વર થઈશ અને તેઓ મારા લોક થશે.
[IRV | GU | NT | Hebrews | Chapter 8 | Verse 11] હવે પછી ‘પ્રભુને ઓળખ’ એમ કહીને દરેક પોતાના પડોશીને, તથા દરેક પોતાના ભાઈને શીખવશે નહીં, કેમ કે તેઓમાંના નાનાથી તે મોટા સુધી, સર્વ મને પ્રભુને ઓળખશે.
[IRV | GU | NT | Hebrews | Chapter 8 | Verse 12] કેમ કે તેઓના અન્યાય પ્રત્યે હું દયાળુ થઈશ અને તેઓનાં પાપોનું સ્મરણ હું ફરી કરીશ નહિ.’”
[IRV | GU | NT | Hebrews | Chapter 8 | Verse 13] તો, ‘નવો કરાર’ એવું કહીને તેમણે પહેલા કરારને જૂનો ઠરાવ્યો છે. પણ જે જૂનું તથા જર્જરિત થતું જાય છે તે નાશ પામવાની તૈયારીમાં છે.
