[DARBY | EN | OT | Numbers | Chapter 34 | Verse 1] And Jehovah spoke to Moses, saying,
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 2] Command the children of Israel, and say unto them, When ye come into the land of Canaan, this shall be the land that shall fall to you for an inheritance, the land of Canaan according to the borders thereof.
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 3] Then your south side shall be from the wilderness of Zin alongside of Edom, and your southern border shall be from the end of the salt sea eastward;
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 4] and your border shall turn from the south of the ascent of Akrabbim, and pass on to Zin, and shall end southward at Kadesh-barnea, and shall go on to Hazar-Addar, and pass on to Azmon.
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 5] And the border shall turn from Azmon unto the torrent of Egypt, and shall end at the sea.
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 6] And as west border ye shall have the great sea, and [its] coast. This shall be your west border.
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 7] And this shall be your north border: from the great sea ye shall mark out for you mount Hor;
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 8] from mount Hor ye shall mark out the entrance to Hamath, and the end of the border shall be toward Zedad;
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 9] and the border shall go to Ziphron, and shall end at Hazar-enan. This shall be your north border.
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 10] And ye shall mark out for you as eastern border from Hazar-enan to Shepham:
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 11] and the border shall go down from Shepham to Riblah, on the east side of Ain; and the border shall descend, and shall strike upon the extremity of the sea of Chinnereth eastward;
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 12] and the border shall go down to the Jordan, and shall end at the salt sea. This shall be your land according to the borders thereof round about.
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 13] And Moses commanded the children of Israel, saying, This is the land which ye shall take for yourselves as inheritance by lot, which Jehovah commanded to give to the nine tribes, and to the half tribe.
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 14] For the tribe of the children of the Reubenites according to their fathers' houses, and the tribe of the children of the Gadites according to their fathers' houses, have received, and half the tribe of Manasseh have received their inheritance;
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 15] the two tribes and the half tribe have received their inheritance on this side the Jordan of Jericho eastward, toward the sun-rising.
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 16] And Jehovah spoke to Moses, saying,
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 17] These are the names of the men who shall divide the land unto you: Eleazar the priest, and Joshua the son of Nun.
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 18] And ye shall take one prince of every tribe, to divide the land.
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 19] And these are the names of the men: for the tribe of Judah, Caleb the son of Jephunneh;
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 20] and for the tribe of the children of Simeon, Samuel the son of Ammihud;
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 21] for the tribe of Benjamin, Elidad the son of Chislon;
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 22] and for the tribe of the children of Dan, a prince, Bukki the son of Jogli;
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 23] for the children of Joseph: for the tribe of the children of Manasseh, a prince, Hanniel the son of Ephod,
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 24] and for the tribe of the children of Ephraim, a prince, Kemuel the son of Shiphtan;
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 25] and for the tribe of the children of Zebulun, a prince, Elizaphan the son of Pharnach;
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 26] and for the tribe of the children of Issachar, a prince, Phaltiel the son of Azzan;
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 27] and for the tribe of the children of Asher, a prince, Ahihud the son of Shelomi;
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 28] and for the tribe of the children of Naphtali, a prince, Phedahel the son of Ammihud.
[DARBY | EN | OT | Numbers | Chapter 34 | Verse 29] These are they whom Jehovah commanded to distribute to the children of Israel their inheritance in the land of Canaan.
