[DARBY | EN | OT | Numbers | Chapter 32 | Verse 1] And the children of Reuben and the children of Gad had much cattle, a very great multitude; and they saw the land of Jaazer, and the land of Gilead, and behold, the place was a place for cattle.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 2] And the children of Gad and the children of Reuben came and spoke to Moses, and to Eleazar the priest, and to the princes of the assembly, saying,
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 3] Ataroth, and Dibon, and Jaazer, and Nimrah, and Heshbon, and Elaleh, and Sebam, and Nebo, and Beon,
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 4] the country that Jehovah smote before the assembly of Israel, is a land for cattle, and thy servants have cattle;
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 5] and they said, If we have found favour in thine eyes, let this land be given to thy servants for a possession: bring us not over the Jordan.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 6] And Moses said to the children of Gad, and to the children of Reuben, Shall your brethren go to war, and shall ye abide here?
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 7] And why do ye discourage the children of Israel from going over into the land that Jehovah has given them?
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 8] Thus did your fathers, when I sent them from Kadesh-barnea to see the land:
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 9] they went up to the valley of Eshcol, and saw the land, and discouraged the children of Israel, that they should not go into the land that Jehovah had given them.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 10] And Jehovah's anger was kindled the same time, and he swore, saying,
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 11] If the men that came up out of Egypt, from twenty years old and upward, shall see the land that I swore to Abraham, to Isaac, and to Jacob! for they have not wholly followed me;
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 12] save Caleb the son of Jephunneh the Kenizzite, and Joshua the son of Nun; for they have wholly followed Jehovah.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 13] And Jehovah's anger was kindled against Israel, and he made them wander in the wilderness forty years, until the whole generation was consumed that had done evil in the eyes of Jehovah.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 14] And behold, ye are risen up in your fathers' stead, a progeny of sinful men, to augment yet the fierce anger of Jehovah toward Israel.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 15] If ye turn away from after him, he will yet again leave them in the wilderness; and ye shall destroy all this people.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 16] And they drew near to him, and said, We will build sheepfolds here for our cattle, and cities for our little ones;
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 17] but we ourselves will go with diligence armed before the children of Israel, until we have brought them to their place; and our little ones shall dwell in the strong cities because of the inhabitants of the land.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 18] We will not return to our houses, until the children of Israel have inherited each one his inheritance.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 19] For we will not inherit with them on yonder side the Jordan, and further, because our inheritance is fallen to us on this side the Jordan eastward.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 20] And Moses said to them, If ye do this thing, if ye arm yourselves before Jehovah for war,
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 21] and all of you that are armed go over the Jordan before Jehovah, until he have dispossessed his enemies from before him,
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 22] and the land is subdued before Jehovah, and afterwards ye return, ye shall be guiltless toward Jehovah and toward Israel, and this land shall be your possession before Jehovah.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 23] But if ye do not do so, behold, ye have sinned against Jehovah, and be sure your sin will find you out.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 24] Build yourselves cities for your little ones, and folds for your flocks, and do that which has gone out of your mouth.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 25] And the children of Gad and the children of Reuben spoke to Moses, saying, Thy servants will do as my lord commands.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 26] Our little ones, our wives, our cattle, and all our beasts shall be there in the cities of Gilead;
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 27] but thy servants will pass over, every one armed for war, before Jehovah to battle, as my lord says.
[DARBY | EN | OT | Numbers | Chapter 32 | Verse 28] So concerning them Moses commanded Eleazar the priest, and Joshua the son of Nun, and the chief fathers of the tribes of the children of Israel.
