[DARBY | EN | OT | Numbers | Chapter 4 | Verse 1] And Jehovah spoke to Moses and to Aaron, saying,
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 2] Take the sum of the sons of Kohath from among the sons of Levi, after their families, according to their fathers' houses,
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 3] from thirty years old and upward even unto fifty years old, all that enter into the service, to do the work in the tent of meeting.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 4] This shall be the service of the sons of Kohath in the tent of meeting: it is most holy.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 5] And when the camp setteth forward, Aaron and his sons shall go in, and they shall take down the veil of separation and cover the ark of testimony with it;
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 6] and shall put thereon a covering of badgers' skin, and shall spread over it a cloth wholly of blue, and shall put its staves [to it].
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 7] And upon the table of shewbread they shall spread a cloth of blue; and put thereon the dishes, and the cups, and the bowls, and goblets of the drink-offering; and the continual bread shall be thereon.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 8] And they shall spread upon them a cloth of scarlet, and cover it with a covering of badgers' skin, and shall put its staves [to it].
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 9] And they shall take a cloth of blue, and cover the candlestick of the light, and its lamps, and its snuffers, and its snuff-trays, and all the oil vessels thereof, wherewith they perform its service;
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 10] and they shall put it and all the utensils thereof within a covering of badgers' skin, and shall put it upon a pole.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 11] And upon the golden altar they shall spread a cloth of blue, and cover it with a covering of badgers' skin, and shall put its staves [to it].
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 12] And they shall take all the instruments of service, wherewith they serve in the sanctuary, and put them in a cloth of blue, and cover them with a covering of badgers' skin, and shall put them upon a pole.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 13] And they shall cleanse the altar of the ashes, and spread a purple cloth thereon;
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 14] and they shall put upon it all the utensils thereof, wherewith they perform service about it: the firepans, the forks, and the shovels, and the bowls, — all the utensils of the altar; and they shall spread upon it a covering of badgers' skin, and put its staves [to it].
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 15] And when Aaron and his sons have ended covering the sanctuary, and all the utensils of the sanctuary, when the camp setteth forward, then afterwards the sons of Kohath shall come to carry it; but they shall not touch the holy things, lest they die. This is what the sons of Kohath have to carry in the tent of meeting.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 16] And Eleazar the son of Aaron the priest shall have the oversight of the oil for the light, and the fragrant incense, and the continual oblation, and the anointing oil, — the oversight of the whole tabernacle, and of all that is therein, over the sanctuary, and over its furniture.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 17] And Jehovah spoke to Moses and to Aaron, saying,
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 18] Ye shall not cut off the families of the Kohathites from among the Levites,
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 19] but this shall ye do unto them, that they may live, and not die, when they draw near unto the most holy things: Aaron and his sons shall go in, and appoint them every one to his service and to his burden;
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 20] but they shall not go in and see for a moment the holy things, lest they die.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 21] And Jehovah spoke to Moses, saying,
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 22] Take also the sum of the sons of Gershon, according to their fathers' houses, after their families.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 23] From thirty years old and upward to fifty years old shalt thou number them; every one that cometh to labour in the work, to perform the service in the tent of meeting.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 24] This shall be the service of the families of the Gershonites, in serving, and in carrying:
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 25] they shall carry the curtains of the tabernacle, and the tent of meeting, its covering, and the covering of badgers' skin that is above upon it, and the curtain of the entrance to the tent of meeting,
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 26] and the hangings of the court, and the curtain of the entrance, of the gate of the court, which surroundeth the tabernacle and the altar, and the cords thereof, and all the instruments of their service; and all that is to be done for these things shall they perform.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 27] At the commandment of Aaron and his sons shall be all the service of the sons of the Gershonites, in all their carrying, and in all their service; and ye shall appoint unto them in charge all their carrying.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 28] This is the service of the families of the sons of Gershon in the tent of meeting, and their charge shall be under the hand of Ithamar the son of Aaron the priest.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 29] The sons of Merari: after their families, according to their fathers' houses shalt thou number them;
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 30] from thirty years old and upward even to fifty years old shalt thou number them, every one that entereth into the labour, to perform the service of the tent of meeting.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 31] And this shall be the charge of their burden, according to all their service in the tent of meeting: the boards of the tabernacle, and the bars thereof, and the pillars thereof, and bases thereof,
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 32] and the pillars of the court round about, and their bases, and their pegs, and their cords, all their instruments, according to all their service; and by name ye shall number to them the materials which are their charge to carry.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 33] This is the service of the families of the sons of Merari, according to all their service in the tent of meeting, under the hand of Ithamar the son of Aaron the priest.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 34] And Moses and Aaron and the princes of the assembly numbered the sons of the Kohathites after their families, and according to their fathers' houses,
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 35] from thirty years old and upward even to fifty years old, every one that entered into the labour, for service in the tent of meeting.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 36] And those that were numbered of them according to their families were two thousand seven hundred and fifty.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 37] These are they that were numbered of the families of the Kohathites, every one that served in the tent of meeting, whom Moses and Aaron numbered according to the commandment of Jehovah through Moses.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 38] And those that were numbered of the sons of Gershon, after their families, and according to their fathers' houses,
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 39] from thirty years old and upward even to fifty years old, every one that entered into the labour, for service in the tent of meeting,
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 40] even those that were numbered of them, after their families, according to their fathers' houses, were two thousand six hundred and thirty.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 41] These are they that were numbered of the families of the sons of Gershon, all that served in the tent of meeting, whom Moses and Aaron numbered according to the commandment of Jehovah.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 42] And those that were numbered of the families of the sons of Merari, after their families, according to their fathers' houses,
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 43] from thirty years old and upward even to fifty years old, every one that entered into the labour, for service in the tent of meeting,
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 44] even those that were numbered of them according to their families, were three thousand two hundred.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 45] These are they that were numbered of the families of the sons of Merari, whom Moses and Aaron numbered according to the commandment of Jehovah through Moses.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 46] All those that were numbered of the Levites, whom Moses and Aaron and the princes of Israel numbered, after their families and according to their fathers' houses,
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 47] from thirty years old and upward even to fifty years old, every one that came to serve [in] the work of the service, and [in] the work of carrying, in the tent of meeting,
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 48] even those that were numbered of them, were eight thousand five hundred and eighty.
[DARBY | EN | OT | Numbers | Chapter 4 | Verse 49] According to the commandment of Jehovah they were numbered by Moses, every one for his service, and for his burden, and numbered by him, as Jehovah had commanded Moses.
