[DARBY | EN | OT | Numbers | Chapter 16 | Verse 1] And Korah, the son of Izhar, the son of Kohath, the son of Levi, made bold, and [with him] Dathan and Abiram, the sons of Eliab, and On, the son of Peleth, the sons of Reuben;
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 2] and they rose up against Moses, with two hundred and fifty men of the children of Israel, princes of the assembly, summoned to the council, men of renown;
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 3] and they gathered themselves together against Moses and against Aaron, and said to them, It is enough; for all the assembly, all of them are holy, and Jehovah is among them; and why do ye lift up yourselves above the congregation of Jehovah?
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 4] When Moses heard this, he fell on his face.
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 5] And he spoke to Korah and to all his band, saying, Even to-morrow will Jehovah make known who is his, and who is holy; and he will cause him to come near to him; and him whom he has chosen, him will he cause to come near to him.
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 6] This do: take you censers, Korah, and all his band,
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 7] and put fire therein, and lay incense thereon before Jehovah to-morrow; and it shall be that the man whom Jehovah doth choose, he shall be holy. It is enough, ye sons of Levi!
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 8] And Moses said to Korah, Hear, I pray you, ye sons of Levi!
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 9] Is it too little for you, that the God of Israel has separated you from the assembly of Israel, to bring you near to himself to do the work of the tabernacle of Jehovah, and to stand before the assembly to minister to them?
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 10] — that he has brought thee near, and all thy brethren the sons of Levi with thee; and seek ye now the priesthood also?
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 11] For which cause thou and all thy band are banded together against Jehovah; and Aaron, who is he that ye murmur against him?
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 12] And Moses sent to call Dathan and Abiram, the sons of Eliab; but they said, We will not come up!
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 13] Is it a small thing that thou hast brought us up out of a land flowing with milk and honey, to kill us in the wilderness, that thou must make thyself altogether a ruler over us?
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 14] Moreover, thou hast not brought us into a land flowing with milk and honey, or given us inheritance of fields and vineyards: wilt thou put out the eyes of these men? we will not come up!
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 15] Then Moses was very wroth, and said to Jehovah, Have no regard to their oblation: not one ass have I taken from them, neither have I hurt one of them.
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 16] And Moses said to Korah, Be thou and all thy band before Jehovah, thou, and they, and Aaron, to-morrow.
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 17] And take each his censer, and put incense thereon, and present before Jehovah every man his censer, two hundred and fifty censers; and thou, and Aaron, each his censer.
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 18] And they took each his censer, and put fire on them, and laid incense thereon, and stood before the entrance to the tent of meeting, as well as Moses and Aaron.
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 19] And Korah gathered the whole assembly against them to the entrance of the tent of meeting. And the glory of Jehovah appeared to all the assembly.
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 20] And Jehovah spoke to Moses and to Aaron, saying,
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 21] Separate yourselves from the midst of this assembly, and I will consume them in a moment.
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 22] And they fell on their faces, and said, O God, the God of the spirits of all flesh! shall one man sin, and wilt thou be wroth with the whole assembly?
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 23] And Jehovah spoke to Moses, saying,
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 24] Speak unto the assembly, saying, Get you up from about the habitation of Korah, Dathan, and Abiram.
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 25] And Moses rose up and went to Dathan and Abiram; and the elders of Israel followed him.
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 26] And he spoke to the assembly, saying, Depart, I pray you, from the tents of these wicked men, and touch nothing of theirs, lest ye perish in all their sins.
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 27] And they got up from the habitation of Koran, Dathan, and Abiram, on every side. And Dathan and Abiram came out, and stood in the entrance of their tents, and their wives, and their sons, and their little ones.
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 28] And Moses said, Hereby ye shall know that Jehovah has sent me to do all these deeds, for they are not out of my own heart:
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 29] if these men die as all men die, and are visited with the visitation of all men, Jehovah has not sent me;
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 30] but if Jehovah make a new thing, and the ground open its mouth, and swallow them up, and all that they have, and they go down alive into Sheol, then ye shall know that these men have despised Jehovah.
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 31] And it came to pass when he had ended speaking all these words, that the ground clave apart that was under them.
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 32] And the earth opened its mouth, and swallowed them up, and their households, and all the men that belonged to Korah, and all their property.
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 33] And they went down, they and all that they had, alive into Sheol, and the earth covered them; and they perished from among the congregation.
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 34] And all Israel that were round about them fled at their cry; for they said, Lest the earth swallow us up!
[DARBY | EN | OT | Numbers | Chapter 16 | Verse 35] And there came out a fire from Jehovah, and consumed the two hundred and fifty men that had presented incense.
