[DARBY | EN | OT | Numbers | Chapter 24 | Verse 1] And Balaam saw that it was good in the sight of Jehovah to bless Israel, and he went not, as at other times, to seek for enchantments, but he set his face toward the wilderness.
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 2] And Balaam lifted up his eyes and saw Israel dwelling [in tents] according to his tribes; and the Spirit of God came upon him.
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 3] And he took up his parable, and said, Balaam the son of Beor saith, and the man of opened eye saith,
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 4] He saith, who heareth the words of God, who seeth the vision of the Almighty, who falleth down, and who hath his eyes open:
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 5] How goodly are thy tents, Jacob, and thy tabernacles, Israel!
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 6] Like valleys are they spread forth, like gardens by the river side, Like aloe-trees which Jehovah hath planted, like cedars beside the waters.
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 7] Water shall flow out of his buckets, and his seed shall be in great waters, And his king shall be higher than Agag, and his kingdom shall be exalted.
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 8] God brought him out of Egypt; he hath as it were the strength of a buffalo. He shall consume the nations his enemies, and break their bones, and with his arrows shall smite [them] in pieces.
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 9] He stooped, he lay down like a lion, and like a lioness: who will stir him up? Blessed is he that blesseth thee, and cursed is he that curseth thee.
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 10] Then Balak's anger was kindled against Balaam, and he smote his hands together; and Balak said to Balaam, I called thee to curse mine enemies, and behold, thou hast altogether blessed [them] these three times!
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 11] And now flee thou to thy place; I said I would very highly honour thee, and behold, Jehovah has kept thee back from honour.
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 12] And Balaam said to Balak, Did I not also speak to thy messengers whom thou sentest to me, saying,
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 13] If Balak gave me his house full of silver and gold, I could not go beyond the commandment of Jehovah to do good or bad out of my heart: what Jehovah shall say, that will I speak?
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 14] And now behold, I go to my people: come, I will admonish thee what this people will do to thy people at the end of days.
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 15] And he took up his parable, and said, Balaam the son of Beor saith, and the man of opened eye saith,
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 16] He saith, who heareth the words of God, who knoweth the knowledge of the Most High, Who seeth the vision of the Almighty, who falleth down, and who hath his eyes open:
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 17] I shall see him, but not now; I shall behold him, but not nigh: There cometh a Star out of Jacob, and a Sceptre shall rise out of Israel, and he shall cut in pieces the corners of Moab, and destroy all the sons of tumult.
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 18] And Edom shall be a possession, and Seir a possession, — they, his enemies; but Israel will do valiantly.
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 19] And one out of Jacob shall have dominion, and will destroy out of the city what remaineth.
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 20] And he saw Amalek, and took up his parable, and said, Amalek is the first of the nations, but his latter end shall be for destruction.
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 21] And he saw the Kenites, and took up his parable, and said, Firm is thy dwelling-place, and thy nest fixed in the rock;
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 22] But the Kenite shall be consumed, until Asshur shall carry thee away captive.
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 23] And he took up his parable, and said, Alas! Who shall live when God doeth this?
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 24] And ships shall come from the coast of Chittim, and afflict Asshur, and afflict Eber, and he also shall be for destruction.
[DARBY | EN | OT | Numbers | Chapter 24 | Verse 25] And Balaam rose up, and went and returned to his place; and Balak also went his way.
