[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 1] Καὶ μετὰ τοὺς λόγους τούτους ἐκόπασεν ὁ βασιλεὺς τοῦ θυμοῦ, καὶ οὐκ ἔτι ἐμνήσθη τῆς Ἀστίν, μνημονεύων οἷα ἐλάλησε, καὶ ὡς κατέκρινεν αὐτήν.
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 2] Καὶ εἶπαν οἱ διάκονοι τοῦ βασιλέως, ζητηθήτω τῷ βασιλεῖ κοράσια ἄφθορα καλὰ τῷ εἴδει·
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 3] Καὶ καταστήσει ὁ βασιλεὺς κωμάρχας ἐν πάσαις ταῖς χώραις τῆς βασιλείας αὐτοῦ· καὶ ἐπιλεξάτωσαν κοράσια παρθενικὰ καλὰ τῷ εἴδει εἰς Σοῦσαν τὴν πόλιν εἰς τὸν γυναικῶνα· καὶ παραδοθήτωσαν τῷ εὐνούχῳ τοῦ βασιλέως τῷ φύλακι τῶν γυναικῶν· καὶ δοθήτω σμῆγμα, καὶ ἡ λοιπὴ ἐπιμέλεια.
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 4] Καὶ ἡ γυνὴ ἣ ἂν ἀρέσῃ τῷ βασιλεῖ, βασιλεύσει ἀντὶ Ἀστίν· καὶ ἤρεσε τῷ βασιλεῖ τὸ πρᾶγμα, καὶ ἐποίησεν οὕτως.
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 5] Καὶ ἄνθρωπος ἦν Ἰουδαῖος ἐν Σούσοις τῇ πόλει, καὶ ὄνομα αὐτοῦ Μαρδοχαῖος ὁ τοῦ Ἰαΐρου, τοῦ Σεμείου, τοῦ Κισαίου, ἐκ φυλῆς Βενιαμίν,
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 6] ὃς ἦν αἰχμάλωτος ἐξ Ἱερουσαλὴμ, ἣν ᾐχμαλώτευσε Ναβουχοδονόσορ βασιλεὺς Βαβυλῶνος.
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 7] Καὶ ἦν τούτῳ παῖς θρεπτή, θυγάτηρ Ἀμιναδὰβ ἀδελφοῦ πατρὸς αὐτοῦ, καὶ ὄνομα αὐτῇ Ἐσθήρ· ἐν δὲ τῷ μεταλλάξαι αὐτῆς τοὺς γονεῖς, ἐπαίδευσεν αὐτὴν ἑαυτῷ εἰς γυναῖκα· καὶ ἦν τὸ κοράσιον καλὸν τῷ εἴδει.
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 8] Καὶ ὅτε ἠκούσθη τὸ τοῦ βασιλέως πρόσταγμα, συνήχθησαν πολλὰ κοράσια εἰς Σοῦσάν τὴν πόλιν ὑπὸ χεῖρα Γαῒ, καὶ ἤχθη Ἐσθὴρ πρὸς Γαῒ τὸν φύλακα τῶν γυναικῶν.
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 9] Καὶ ἤρεσεν αὐτῷ τὸ κοράσιον, καὶ εὗρε χάριν ἐνώπιον αὐτοῦ· καὶ ἔσπευσε δοῦναι αὐτῇ τὸ σμῆγμα, καὶ τὴν μερίδα, καὶ τὰ ἑπτὰ κοράσια τὰ ὑποδεδειγμένα αὐτῇ ἐκ βασιλικοῦ· καὶ ἐχρήσατο αὐτῇ καλῶς καὶ ταῖς ἅβραις αὐτῆς ἐν τῷ γυναικῶνι·
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 10] Καὶ οὐχ ὑπέδειξεν Ἐσθὴρ τὸ γένος αὐτῆς οὐδὲ τὴν πατρίδα· ὁ γὰρ Μαρδοχαῖος ἐνετείλατο αὐτῇ μὴ ἀπαγγεῖλαι.
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 11] Καθʼ ἑκάστην δὲ ἡμέραν περιεπάτει ὁ Μαρδοχαῖος κατὰ τὴν αὐλὴν τὴν γυναικείαν, ἐπισκοπῶν τί Ἐσθὴρ συμβήσεται.
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 12] Οὗτος δὲ ἦν καιρὸς κορασίου εἰσελθεῖν πρὸς τὸν βασιλέα, ὅταν ἀναπληρώσῃ μῆνας δεκαδύο· οὕτως γὰρ ἀναπληροῦνται αἱ ἡμέραι τῆς θεραπείας, μῆνας ἓξ ἀλειφομέναις ἐν σμυρνίνῳ ἐλαίῳ, καὶ μῆνας ἓξ ἐν τοῖς ἀρώμασι καὶ ἐν τοῖς σμήγμασι τῶν γυναικῶν,
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 13] καὶ τότε εἰσπορεύεται πρὸς τὸν βασιλέα· καὶ ᾧ ἐὰν εἴπῃ, παραδώσει αὐτὴν συνεισέρχεσθαι αὐτῷ ἀπὸ τοῦ γυναικῶνος ἕως τῶν βασιλείων·
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 14] Δείλης εἰσπορεύεται, καὶ πρὸς ἡμέραν ἀποτρέχει εἰς τὸν γυναικῶνα τὸν δεύτερον, οὗ Γαῒ ὁ εὐνοῦχος τοῦ βασιλέως ὁ φύλαξ τῶν γυναικῶν, καὶ οὐκ ἔτι εἰσπορεύεται πρὸς τὸν βασιλέα, ἐὰν μὴ κληθῇ ὀνόματι.
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 15] Ἐν δὲ τῷ ἀναπληροῦσθαι τὸν χρόνον Ἐσθὴρ τῆς θυγατρὸς Ἀμιναδὰβ ἀδελφοῦ πατρὸς Μαρδοχαίου εἰσελθεῖν πρὸς τὸν βασιλέα, οὐδὲν ἠθέτησεν ὧν ἐνετείλατο ὁ εὐνοῦχος ὁ φύλαξ τῶν γυναικῶν· ἦν γὰρ Ἐσθὴρ εὑρίσκουσα χάριν παρὰ πάντων τῶν βλεπόντων αὐτήν.
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 16] καὶ εἰσῆλθεν Ἐσθὴρ πρὸς Ἀρταξέρξην τὸν βασιλέα τῷ δωδεκάτῳ μηνὶ, ὅς ἐστιν Ἀδάρ, τῷ ἑβδόμῳ ἔτει τῆς βασιλείας αὐτοῦ.
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 17] Καὶ ἠράσθη ὁ βασιλεὺς Ἐσθὴρ, καὶ εὗρε χάριν παρὰ πάσας τὰς παρθένους, καὶ ἐπέθηκεν αὐτῇ τὸ διάδημα τὸ γυναικεῖον.
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 18] Καὶ ἐποίησεν ὁ βασιλεὺς πότον πᾶσι τοῖς φίλοις αὐτοῦ καὶ ταῖς δυνάμεσιν ἐπὶ ἡμέρας ἑπτά, καὶ ὕψωσε τοὺς γάμους Ἐσθήρ, καὶ ἄφεσιν ἐποίησε τοῖς ὑπὸ τὴν βασιλείαν αὐτοῦ.
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 19] Ὁ δὲ Μαρδοχαῖος ἐθεράπευεν ἐν τῇ αὐλῇ.
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 20] Ἡ δὲ Ἐσθὴρ οὐχ ὑπέδειξε τὴν πατρίδα αὐτῆς· οὕτως γὰρ ἐνετείλατο αὐτῇ Μαρδοχαῖος, φοβεῖσθαι τὸν Θεὸν, καὶ ποιεῖν τὰ προστάγματα αὐτοῦ, καθὼς ἦν μετʼ αὐτοῦ· καὶ Ἐσθὴρ οὐ μετήλλαξε τὴν ἀγωγὴν αὐτῆς.
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 21] Καὶ ἐλυπήθησαν οἱ δύο εὐνοῦχοι τοῦ βασιλέως οἱ ἀρχισωματοφύλακες, ὅτι προήχθη Μαρδοχαῖος, καὶ ἐζήτουν ἀποκτεῖναι Ἀρταξέρξην τὸν βασιλέα.
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 22] Καὶ ἐδηλώθη Μαρδοχαίῳ ὁ λόγος, καὶ ἐσήμανεν Ἐσθήρ, καὶ αὐτὴ ἐνεφάνησε τῷ βασιλεῖ τὰ τῆς ἐπιβουλῆς.
[LXX | EL | OT | Esther (Greek) | Chapter 2 | Verse 23] Ὁ δὲ βασιλεὺς ἤτασε τοὺς δύο εὐνούχους, καὶ ἐκρέμασεν αὐτούς· καὶ προσέταξεν ὁ βασιλεὺς καταχωρίσαι εἰς μνημόσυνον ἐν τῇ βασιλικῇ βιβλιοθήκῃ ὑπὲρ τῆς εὐνοίας Μαρδοχαίου, ἐν ἐγκωμίῳ.
