[LXX | EL | OT | Esther (Greek) | Chapter 9 | Verse 1] Ἐν αὐτῇ τῇ ἡμέρᾳ ἀπώλοντο οἱ ἀντικείμενοι τοῖς Ἰουδαίοις· οὐδεὶς γὰρ ἀντέστη, φοβούμενος αὐτούς.
[LXX | EL | OT | Esther (Greek) | Chapter 9 | Verse 2] Οἱ γὰρ ἄρχοντες τῶν σατραπῶν, καὶ οἱ τύραννοι, καὶ οἱ βασιλικοὶ γραμματεῖς ἐτίμων τοὺς Ἰουδαίους· ὁ γὰρ φόβος Μαρδοχαίου ἐνέκειτο αὐτοῖς.
[LXX | EL | OT | Esther (Greek) | Chapter 9 | Verse 3] Προσέπεσε γὰρ τὸ πρόσταγμα τοῦ βασιλέως ὀνομασθῆναι ἐν πάσῃ τῇ βασιλείᾳ.
[LXX | EL | OT | Esther (Greek) | Chapter 9 | Verse 6] Καὶ ἐν Σούσοις τῇ πόλει ἀπέκτειναν οἱ Ἰουδαῖοι ἄνδρας πεντακοσίους,
[LXX | EL | OT | Esther (Greek) | Chapter 9 | Verse 7] τόν τε Φαρσαννὲς, καὶ Δελτφὼν, καὶ Φασγὰ, καὶ Φαραδαθὰ,
[LXX | EL | OT | Esther (Greek) | Chapter 9 | Verse 8] καὶ Βαρεὰ, καὶ Σαρβακὰ,
[LXX | EL | OT | Esther (Greek) | Chapter 9 | Verse 9] καὶ Μαρμασιμὰ, καὶ Ῥουφαῖον, καὶ Ἀρσαῖον, καὶ Ζαβουθαῖον,
[LXX | EL | OT | Esther (Greek) | Chapter 9 | Verse 10] τοὺς δέκα υἱοὺς Ἀμὰν Ἀμαδάθοῦ Βουγαίου τοῦ ἐχθροῦ τῶν Ἰουδαίων, καὶ διήρπασαν
[LXX | EL | OT | Esther (Greek) | Chapter 9 | Verse 11] ἐν αὐτῇ τῇ ἡμέρᾳ· ἐπεδόθη τε ὁ ἀριθμὸς τῷ βασιλεῖ τῶν ἀπολωλότων ἐν Σούσοις.
[LXX | EL | OT | Esther (Greek) | Chapter 9 | Verse 12] Εἶπε δὲ ὁ βασιλεὺς πρὸς Ἐσθὴρ, ἀπώλεσαν οἱ Ἰουδαῖοι ἐν Σούσοις τῇ πόλει ἄνδρας πεντακοσίους, ἐν δὲ τῇ περιχώρῳ πῶς οἴει ἐχρήσαντο; τί οὖν ἀξιοῖς ἔτι, καὶ ἔσται σοι;
[LXX | EL | OT | Esther (Greek) | Chapter 9 | Verse 13] Καὶ εἶπεν Ἐσθὴρ τῷ βασιλεῖ, δοθήτω τοῖς Ἰουδαίοις χρῆσθαι ὡσαύτως τὴν αὔριον, ὥστε τοὺς δέκα υἱοὺς Ἀμὰν κρεμάσαι.
[LXX | EL | OT | Esther (Greek) | Chapter 9 | Verse 14] Καὶ ἐπέτρεψεν οὕτως γενέσθαι, καὶ ἐξέθηκε τοῖς Ἰουδαίοις τῆς πόλεως τὰ σώματα τῶν υἱῶν Ἀμὰν κρεμάσαι·
[LXX | EL | OT | Esther (Greek) | Chapter 9 | Verse 15] Καὶ συνήχθησαν οἱ Ἰουδαῖοι ἐν Σούσοις τῇ τεσσαρεσκαιδεκάτῃ τοῦ Ἀδὰρ, καὶ ἀπέκτειναν ἄνδρας τριακοσίους, καὶ οὐδὲν διήρπασαν.
[LXX | EL | OT | Esther (Greek) | Chapter 9 | Verse 16] Οἱ δὲ λοιποὶ τῶν Ἰουδαίων οἱ ἐν τῇ βασιλείᾳ συνήχθησαν, καὶ ἑαυτοῖς ἐβοήθουν, καὶ ἀνεπαύσαντο ἀπὸ τῶν πολεμίων· ἀπώλεσαν γὰρ αὐτῶν μυρίους πεντακισχιλίους τῇ τρισκαιδεκάτῃ τοῦ Ἀδὰρ, καὶ οὐδὲν διήρπασαν.
[LXX | EL | OT | Esther (Greek) | Chapter 9 | Verse 17] Καὶ ἀνεπαύσαντο τῇ τεσσαρεσκαιδεκάτῃ τοῦ αὐτοῦ μηνός, καὶ ἦγον αὐτὴν ἡμέραν ἀναπαύσεως μετὰ χαρᾶς καὶ εὐφροσύνης.
[LXX | EL | OT | Esther (Greek) | Chapter 9 | Verse 18] Οἱ δὲ Ἰουδαῖοι ἐν Σούσοις τῇ πόλει συνήχθησαν καὶ τῇ τεσσαρεσκαιδεκάτῃ, καὶ ἀνεπαύσαντο· ἦγον δὲ καὶ τὴν πεντεκαιδεκάτην μετὰ χαρᾶς καὶ εὐφροσύνης.
[LXX | EL | OT | Esther (Greek) | Chapter 9 | Verse 19] Διὰ τοῦτο οὖν οἱ Ἰουδαῖοι οἱ διεσπαρμένοι ἐν πάσῃ χώρᾳ τῇ ἔξω, ἄγουσι τὴν τεσσαρεσκαιδεκάτην τοῦ Ἀδὰρ ἡμέραν ἀγαθὴν μετʼ εὐφροσύνης, ἀποστέλλοντες μερίδας ἕκαστος τῷ πλησίον.
[LXX | EL | OT | Esther (Greek) | Chapter 9 | Verse 20] Ἔγραψεν δὲ Μαρδοχαῖος τοὺς λόγους τούτους εἰς βιβλίον, καὶ ἐξαπέστειλε τοῖς Ἰουδαίοις, ὅσοι ἦσαν ἐν τῇ Ἀρταξέρξου βασιλείᾳ τοῖς ἐγγὺς καὶ τοῖς μακράν,
[LXX | EL | OT | Esther (Greek) | Chapter 9 | Verse 21] στῆσαι τὰς ἡμέρας ταύτας ἀγαθάς, ἄγειν τε τὴν τεσσαρεσκαιδεκάτην καὶ τὴν πεντεκαιδεκάτην τοῦ Ἀδάρ.
