[IRV | GU | NT | John | Chapter 8 | Verse 1] ઈસુ જૈતૂન નામના પહાડ પર ગયા.
[IRV | GU | NT | John | Chapter 8 | Verse 2] વહેલી સવારે તે ફરી ભક્તિસ્થાનમાં આવ્યા, સઘળા લોકો તેમની પાસે આવ્યા અને તેમણે નીચે બેસીને તેઓને બોધ કર્યો.
[IRV | GU | NT | John | Chapter 8 | Verse 3] ત્યારે શાસ્ત્રીઓ તથા ફરોશીઓ વ્યભિચારમાં પકડાયેલી એક સ્ત્રીને ત્યાં લાવ્યા; અને તેને વચમાં ઊભી રાખીને.
[IRV | GU | NT | John | Chapter 8 | Verse 4] ઈસુને કહ્યું કે, ‘ગુરુ, આ સ્ત્રી વ્યભિચાર કરતાં જ પકડાઈ છે.
[IRV | GU | NT | John | Chapter 8 | Verse 5] હવે મૂસાના નિયમશાસ્ત્રમાં આપણને આજ્ઞા આપી છે કે, તેવી સ્ત્રીઓને પથ્થરે મારવી; તો તમે તેને વિષે શું કહો છો?’”
[IRV | GU | NT | John | Chapter 8 | Verse 6] તેમના પર દોષ મૂકવાનું કારણ તેમને મળી આવે એ માટે તેમનું પરીક્ષણ કરતાં તેઓએ આ કહ્યું. પણ ઈસુએ નીચા નમીને જમીન પર આંગળીએ લખ્યું.
[IRV | GU | NT | John | Chapter 8 | Verse 7] તેઓએ તેમને પૂછ્યા કર્યું, ત્યારે તેમણે ઊભા થઈને તેઓને કહ્યું કે, ‘તમારામાં જે કોઈ પાપ વગરનો હોય તે તેના પર પહેલો પથ્થર મારે.’”
[IRV | GU | NT | John | Chapter 8 | Verse 8] ફરીથી પણ તેમણે નીચા નમીને આંગળી વડે જમીન પર લખ્યું.
[IRV | GU | NT | John | Chapter 8 | Verse 9] જયારે તેઓએ સાંભળ્યું, ત્યારે વૃદ્ધથી માંડીને એક પછી એક બધા ચાલ્યા ગયા. અને એકલા ઈસુ તથા ઊભેલી સ્ત્રી જ ત્યાં રહ્યાં.
[IRV | GU | NT | John | Chapter 8 | Verse 10] ઈસુ ઊભા થયા અને તેને પૂછ્યું કે, ‘સ્ત્રી, તારા પર દોષ મૂકનારાઓ ક્યાં છે? શું કોઈએ તને દોષિત ઠરાવી નથી?’”
[IRV | GU | NT | John | Chapter 8 | Verse 11] તેણે કહ્યું, ‘પ્રભુ, કોઈએ નહિ.’ ઈસુએ કહ્યું, ‘હું પણ તને દોષિત નથી ઠરાવતો; તું ચાલી જા; હવેથી પાપ કરીશ નહિ.’”
[IRV | GU | NT | John | Chapter 8 | Verse 12] ફરીથી ઈસુએ તેઓને કહ્યું, ‘હું માનવજગતનું અજવાળું છું; જે કોઈ મારી પાછળ આવે છે તે અંધકારમાં નહિ ચાલશે, પણ જીવનનું અજવાળું પામશે.’”
[IRV | GU | NT | John | Chapter 8 | Verse 13] ફરોશીઓએ તેમને કહ્યું, ‘તમે તમારે પોતાને વિષે સાક્ષી આપો છો; તમારી સાક્ષી સાચી નથી.’”
[IRV | GU | NT | John | Chapter 8 | Verse 14] ઈસુએ તેઓને ઉત્તર આપ્યો કે, ‘જો હું પોતાના વિષે સાક્ષી આપું છું, તોપણ મારી સાક્ષી સાચી છે; કેમ કે હું ક્યાંથી આવ્યો છું અને ક્યાં જાઉં છું, તે હું જાણું છું; પણ તમે નથી જાણતા કે હું ક્યાંથી આવું છું, અને ક્યાં જાઉં છું.
[IRV | GU | NT | John | Chapter 8 | Verse 15] તમે માનવીય રીતે ન્યાય કરો છો; હું કોઈનો ન્યાય કરતો નથી.
[IRV | GU | NT | John | Chapter 8 | Verse 16] વળી જો હું ન્યાય કરું, તો મારો ન્યાયચુકાદો સાચો છે; કેમ કે હું એકલો નથી, પણ હું તથા પિતા જેમણે મને મોકલ્યો છે.
[IRV | GU | NT | John | Chapter 8 | Verse 17] તમારા નિયમશાસ્ત્રમાં પણ લખેલું છે કે, ‘બે માણસની સાક્ષી સાચી છે.
[IRV | GU | NT | John | Chapter 8 | Verse 18] હું મારે પોતાને વિષે સાક્ષી આપનાર છું અને પિતા જેમણે મને મોકલ્યો છે તે મારે વિષે સાક્ષી આપે છે.’”
[IRV | GU | NT | John | Chapter 8 | Verse 19] તેઓએ તેમને કહ્યું કે, ‘તારો પિતા ક્યાં છે?’ ઈસુએ ઉત્તર આપ્યો કે, ‘તમે મને તેમ જ મારા પિતાને પણ ઓળખતા નથી; જો તમે મને ઓળખત, તો તમે મારા પિતાને પણ ઓળખત.’”
[IRV | GU | NT | John | Chapter 8 | Verse 20] ઈસુ ભક્તિસ્થાનમાં બોધ કરતા હતા ત્યારે તેમણે ભંડાર આગળ એ વાતો કહી, પણ કોઈએ તેમને પકડ્યા નહિ; કેમ કે તેમનો સમય હજી સુધી આવ્યો ન હતો.
[IRV | GU | NT | John | Chapter 8 | Verse 21] તેમણે તેઓને ફરીથી કહ્યું કે, ‘હું જવાનો છું, તમે મને શોધશો અને તમે તમારાં પાપમાં મરશો; જ્યાં હું જાઉં છું, ત્યાં તમે આવી શકતા નથી.’”
[IRV | GU | NT | John | Chapter 8 | Verse 22] યહૂદીઓએ કહ્યું કે, ‘શું તે આપઘાત કરશે? કેમ કે તે કહે છે કે, જ્યાં હું જવાનો છું, ત્યાં તમે આવી શકતા નથી.’”
[IRV | GU | NT | John | Chapter 8 | Verse 23] ઈસુએ તેઓને કહ્યું કે, ‘તમે પૃથ્વી પરના છો, હું ઉપરનો છું; તમે આ જગતના છો, હું આ જગતનો નથી.
[IRV | GU | NT | John | Chapter 8 | Verse 24] માટે મેં તમને કહ્યું કે, તમે તમારાં પાપોમાં મરશો; કેમ કે તે હું છું, એવો જો તમે વિશ્વાસ નહિ કરો, તો તમે તમારાં પાપોમાં મરશો.’”
[IRV | GU | NT | John | Chapter 8 | Verse 25] માટે તેઓએ તેમને પૂછ્યું, ‘તમે કોણ છો?’ ઈસુએ તેઓને કહ્યું કે, ‘પ્રથમથી જે હું તમને કહેતો આવ્યો છું તે જ.’”
[IRV | GU | NT | John | Chapter 8 | Verse 26] મારે તમારે વિષે કહેવાની તથા ન્યાય કરવાની ઘણી બાબતો છે; તોપણ જેમણે મને મોકલ્યો છે, તેઓ સત્ય છે; અને જે વાતો મેં તેમની પાસેથી સાંભળી છે, તે હું માનવજગતને કહું છું.’”
[IRV | GU | NT | John | Chapter 8 | Verse 27] તે તેઓની સાથે પિતા વિષે વાત કરે છે, તે તેઓ સમજ્યા નહિ.
[IRV | GU | NT | John | Chapter 8 | Verse 28] ઈસુએ કહ્યું, ‘જ્યારે તમે માણસના દીકરાને ઊંચો કરશો ત્યારે તમે જાણશો કે હું તે જ છું અને હું મારી પોતાની જાતે કંઈ કરતો નથી, પણ જેમ પિતાએ મને શીખવ્યું છે, તેમ હું તે વાતો બોલું છું.
[IRV | GU | NT | John | Chapter 8 | Verse 29] જેમણે મને મોકલ્યો છે તે મારી સાથે છે; અને તેમણે મને એકલો મૂક્યો નથી; કેમ કે જે કામો તેમને ગમે છે તે હું નિત્ય કરું છું.’”
[IRV | GU | NT | John | Chapter 8 | Verse 30] ઈસુ તે કહેતાં હતા, ત્યારે ઘણાંએ તેમના પર વિશ્વાસ કર્યો.
[IRV | GU | NT | John | Chapter 8 | Verse 31] તેથી જે યહૂદીઓએ તેમના પર વિશ્વાસ કર્યો હતો, તેઓને ઈસુએ કહ્યું કે, ‘જો તમે મારા વચનમાં રહો, તો નિશ્ચે તમે મારા શિષ્યો છો;
[IRV | GU | NT | John | Chapter 8 | Verse 32] અને તમે સત્યને જાણશો અને સત્ય તમને મુક્ત કરશે.’”
