[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 1] Rebuke not an elder, but entreat him as a father; and the younger men as brethren;
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 2] The elder women as mothers; the younger as sisters, with all purity.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 3] Honor widows that are widows indeed.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 4] But if any widow hath children or nephews, let them learn first to show piety at home, and to requite their parents: for that is good and acceptable before God.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 5] Now she that is a widow indeed, and desolate, trusteth in God, and continueth in supplications and prayers night and day.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 6] But she that liveth in pleasure, is dead while she liveth.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 7] And these things give in charge, that they may be blameless.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 8] But if any provideth not for his own, and especially for those of his own house, he hath denied the faith, and is worse than an infidel.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 9] Let not a widow be taken into the number under sixty years old, having been the wife of one man.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 10] Well reported of for good works; if she hath brought up children, if she hath lodged strangers, if she hath washed the saints' feet, if she hath relieved the afflicted, if she hath diligently followed every good work.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 11] But the younger widows refuse: for when they have begun to grow wanton against Christ, they will marry;
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 12] Having damnation, because they have cast off their first faith.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 13] And at the same time they learn to be idle, wandering about from house to house, and not only idle, but tattlers also, and busy-bodies, speaking things which they ought not.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 14] I will therefore that the younger women marry, bear children, guide the house, give no occasion to the adversary to speak reproachfully.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 15] For some are already turned aside after Satan.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 16] If any man or woman that believeth hath widows, let them relieve them, and let not the church be charged; that it may relieve them that are widows indeed.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 17] Let the elders that rule well, be counted worthy of double honor, especially they who labor in the word and doctrine.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 18] For the scripture saith, Thou shalt not muzzle the ox that treadeth out the corn. And, The laborer is worthy of his reward.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 19] Against an elder receive not an accusation, but before two or three witnesses.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 20] Them that sin rebuke before all, that others also may fear.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 21] I charge thee before God and the Lord Jesus Christ, and the elect angels, that thou observe these things without preferring one before another, doing nothing by partiality.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 22] Impose hands hastily on no man, neither be partaker of other men's sins: keep thyself pure.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 23] Drink no longer water, but use a little wine for thy stomach's sake, and thy frequent infirmities.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 24] Some men's sins are open beforehand, going before to judgment: and some men they follow after.
[WEBSTER | EN | NT | 1 Timothy | Chapter 5 | Verse 25] Likewise also the good works of some are manifest beforehand; and they that are otherwise cannot be hid.
