[WEBSTER | EN | NT | 1 Timothy | Chapter 3 | Verse 1] This is a true saying, If a man desireth the office of a bishop, he desireth a good work.
[WEBSTER | EN | NT | 1 Timothy | Chapter 3 | Verse 2] A bishop then must be blameless, the husband of one wife, vigilant, sober, of good behavior, given to hospitality, apt to teach;
[WEBSTER | EN | NT | 1 Timothy | Chapter 3 | Verse 3] Not given to wine, no striker, not greedy of filthy lucre, but patient; not a brawler, not covetous;
[WEBSTER | EN | NT | 1 Timothy | Chapter 3 | Verse 4] One that ruleth well his own house, having his children in subjection with all gravity;
[WEBSTER | EN | NT | 1 Timothy | Chapter 3 | Verse 5] (For if a man knoweth not how to rule his own house, how shall he take care of the church of God?)
[WEBSTER | EN | NT | 1 Timothy | Chapter 3 | Verse 6] Not a novice, lest being lifted up with pride he fall into the condemnation of the devil.
[WEBSTER | EN | NT | 1 Timothy | Chapter 3 | Verse 7] Moreover, he must have a good report of them who are without; lest he fall into reproach and the snare of the devil.
[WEBSTER | EN | NT | 1 Timothy | Chapter 3 | Verse 8] Likewise must the deacons be grave, not double-tongued, not given to much wine, not greedy of filthy lucre,
[WEBSTER | EN | NT | 1 Timothy | Chapter 3 | Verse 9] Holding the mystery of the faith in a pure conscience.
[WEBSTER | EN | NT | 1 Timothy | Chapter 3 | Verse 10] And let these also first be proved; then let them use the office of a deacon, being found blameless.
[WEBSTER | EN | NT | 1 Timothy | Chapter 3 | Verse 11] Even so must their wives be grave, not slanderers, sober, faithful in all things.
[WEBSTER | EN | NT | 1 Timothy | Chapter 3 | Verse 12] Let the deacons be the husbands of one wife, ruling their children, and their own houses well.
[WEBSTER | EN | NT | 1 Timothy | Chapter 3 | Verse 13] For they that have used the office of a deacon well, purchase to themselves a good degree, and great boldness in the faith, which is in Christ Jesus.
[WEBSTER | EN | NT | 1 Timothy | Chapter 3 | Verse 14] These things I write to thee, hoping to come to thee shortly:
[WEBSTER | EN | NT | 1 Timothy | Chapter 3 | Verse 15] But if I tarry long, that thou mayest know how thou oughtest to behave thyself in the house of God, which is the church of the living God, the pillar and ground of the truth.
[WEBSTER | EN | NT | 1 Timothy | Chapter 3 | Verse 16] And without controversy, great is the mystery of godliness: God was manifest in the flesh, justified in the Spirit, seen by angels, preached to the Gentiles, believed on in the world, received up into glory.
