[WEB | EN | NT | Revelation | Chapter 8 | Verse 1] When he opened the seventh seal, there was silence in heaven for about half an hour.
[WEB | EN | NT | Revelation | Chapter 8 | Verse 2] I saw the seven angels who stand before God, and seven trumpets were given to them.
[WEB | EN | NT | Revelation | Chapter 8 | Verse 3] Another angel came and stood over the altar, having a golden censer. Much incense was given to him, that he should add it to the prayers of all the saints on the golden altar which was before the throne.
[WEB | EN | NT | Revelation | Chapter 8 | Verse 4] The smoke of the incense, with the prayers of the saints, went up before God out of the angel’s hand.
[WEB | EN | NT | Revelation | Chapter 8 | Verse 5] The angel took the censer, and he filled it with the fire of the altar, then threw it on the earth. Thunders, sounds, lightnings, and an earthquake followed.
[WEB | EN | NT | Revelation | Chapter 8 | Verse 6] The seven angels who had the seven trumpets prepared themselves to sound.
[WEB | EN | NT | Revelation | Chapter 8 | Verse 7] The first sounded, and there followed hail and fire, mixed with blood, and they were thrown to the earth. One third of the earth was burned up, and one third of the trees were burned up, and all green grass was burned up.
[WEB | EN | NT | Revelation | Chapter 8 | Verse 8] The second angel sounded, and something like a great burning mountain was thrown into the sea. One third of the sea became blood,
[WEB | EN | NT | Revelation | Chapter 8 | Verse 9] and one third of the living creatures which were in the sea died. One third of the ships were destroyed.
[WEB | EN | NT | Revelation | Chapter 8 | Verse 10] The third angel sounded, and a great star fell from the sky, burning like a torch, and it fell on one third of the rivers, and on the springs of water.
[WEB | EN | NT | Revelation | Chapter 8 | Verse 11] The name of the star is “Wormwood.” One third of the waters became wormwood. Many people died from the waters, because they were made bitter.
[WEB | EN | NT | Revelation | Chapter 8 | Verse 12] The fourth angel sounded, and one third of the sun was struck, and one third of the moon, and one third of the stars, so that one third of them would be darkened; and the day wouldn’t shine for one third of it, and the night in the same way.
[WEB | EN | NT | Revelation | Chapter 8 | Verse 13] I saw, and I heard an eagle, flying in mid heaven, saying with a loud voice, “Woe! Woe! Woe to those who dwell on the earth, because of the other blasts of the trumpets of the three angels, who are yet to sound!”
