[WEB | EN | NT | Revelation | Chapter 22 | Verse 1] He showed me a river of water of life, clear as crystal, proceeding out of the throne of God and of the Lamb,
[WEB | EN | NT | Revelation | Chapter 22 | Verse 2] in the middle of its street. On this side of the river and on that was the tree of life, bearing twelve kinds of fruits, yielding its fruit every month. The leaves of the tree were for the healing of the nations.
[WEB | EN | NT | Revelation | Chapter 22 | Verse 3] There will be no curse any more. The throne of God and of the Lamb will be in it, and his servants will serve him.
[WEB | EN | NT | Revelation | Chapter 22 | Verse 4] They will see his face, and his name will be on their foreheads.
[WEB | EN | NT | Revelation | Chapter 22 | Verse 5] There will be no night, and they need no lamp light or sun light; for the Lord God will illuminate them. They will reign forever and ever.
[WEB | EN | NT | Revelation | Chapter 22 | Verse 6] He said to me, “These words are faithful and true. The Lord God of the spirits of the prophets sent his angel to show to his bondservants the things which must happen soon.”
[WEB | EN | NT | Revelation | Chapter 22 | Verse 7] “Behold, I am coming soon! Blessed is he who keeps the words of the prophecy of this book.”
[WEB | EN | NT | Revelation | Chapter 22 | Verse 8] Now I, John, am the one who heard and saw these things. When I heard and saw, I fell down to worship before the feet of the angel who had shown me these things.
[WEB | EN | NT | Revelation | Chapter 22 | Verse 9] He said to me, “You must not do that! I am a fellow bondservant with you and with your brothers, the prophets, and with those who keep the words of this book. Worship God.”
[WEB | EN | NT | Revelation | Chapter 22 | Verse 10] He said to me, “Don’t seal up the words of the prophecy of this book, for the time is at hand.
[WEB | EN | NT | Revelation | Chapter 22 | Verse 11] He who acts unjustly, let him act unjustly still. He who is filthy, let him be filthy still. He who is righteous, let him do righteousness still. He who is holy, let him be holy still.”
[WEB | EN | NT | Revelation | Chapter 22 | Verse 12] “Behold, I am coming soon! My reward is with me, to repay to each man according to his work.
[WEB | EN | NT | Revelation | Chapter 22 | Verse 13] I am the Alpha and the Omega, the First and the Last, the Beginning and the End.
[WEB | EN | NT | Revelation | Chapter 22 | Verse 14] Blessed are those who do his commandments, that they may have the right to the tree of life, and may enter in by the gates into the city.
[WEB | EN | NT | Revelation | Chapter 22 | Verse 15] Outside are the dogs, the sorcerers, the sexually immoral, the murderers, the idolaters, and everyone who loves and practices falsehood.
[WEB | EN | NT | Revelation | Chapter 22 | Verse 16] I, Jesus, have sent my angel to testify these things to you for the assemblies. I am the root and the offspring of David, the Bright and Morning Star.”
[WEB | EN | NT | Revelation | Chapter 22 | Verse 17] The Spirit and the bride say, “Come!” He who hears, let him say, “Come!” He who is thirsty, let him come. He who desires, let him take the water of life freely.
[WEB | EN | NT | Revelation | Chapter 22 | Verse 18] I testify to everyone who hears the words of the prophecy of this book: if anyone adds to them, God will add to him the plagues which are written in this book.
[WEB | EN | NT | Revelation | Chapter 22 | Verse 19] If anyone takes away from the words of the book of this prophecy, God will take away his part from the tree of life, and out of the holy city, which are written in this book.
[WEB | EN | NT | Revelation | Chapter 22 | Verse 20] He who testifies these things says, “Yes, I am coming soon.” Amen! Yes, come, Lord Jesus!
[WEB | EN | NT | Revelation | Chapter 22 | Verse 21] The grace of the Lord Jesus Christ be with all the saints. Amen.
