[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 1] And David fled from Naioth by Ramah, and came and said before Jonathan, What have I done? what is mine iniquity, and what is my sin before thy father, that he seeks my life?
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 2] And he said to him, God forbid; thou shalt not die: behold, my father will do nothing either great or small, and not apprise me; and why should my father hide this thing from me? it is not so.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 3] And David swore again and again, and said, Thy father certainly knows that I have found favour in thy sight: and he has thought, Jonathan shall not know this, lest he be grieved; but truly [as] Jehovah liveth, and [as] thy soul liveth, there is but a step between me and death.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 4] And Jonathan said to David, What thy soul may say, I will even do it for thee.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 5] And David said to Jonathan, Behold, to-morrow is new moon, and I should not fail to sit with the king at meat; but let me go, that I may hide myself in the field until the third evening.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 6] If thy father should actually miss me, then say, David earnestly asked leave of me that he might run to Bethlehem his city; for there is a yearly sacrifice there for all the family.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 7] If he say thus, It is well, — thy servant shall have peace; but if he be very wroth, be sure that evil is determined by him.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 8] Deal kindly then with thy servant; for thou hast brought thy servant into a covenant of Jehovah with thee; but if there be in me iniquity, slay me thyself; for why shouldest thou bring me to thy father?
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 9] And Jonathan said, Far be it from thee; for, if I knew with certainty that evil were determined by my father to come upon thee, would I not tell it thee?
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 10] Then said David to Jonathan, Who shall tell me? or what if thy father answer thee roughly?
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 11] And Jonathan said to David, Come and let us go out into the field. And they went out both of them into the field.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 12] And Jonathan said to David, Jehovah, God of Israel, when I sound my father about this time to-morrow, [or] the next day, and behold, there be good toward David, and I then send not to thee, and apprise thee of it,
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 13] Jehovah do so and much more to Jonathan. Should it please my father [to do] thee evil, then I will apprise thee of it, and send thee away, that thou mayest go in peace; and Jehovah be with thee, as he has been with my father.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 14] And thou shalt not only while yet I live shew me the kindness of Jehovah, that I die not,
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 15] but thou shalt not cut off thy kindness from my house for ever, no, not when Jehovah cuts off the enemies of David, every one from the face of the earth.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 16] And Jonathan made [a covenant] with the house of David, [saying,] Let Jehovah even require [it] at the hand of David's enemies!
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 17] And Jonathan caused David to swear again, by the love he had for him, for he loved him as he loved his own soul.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 18] And Jonathan said to him, To-morrow is the new moon; and thou wilt be missed, for thy seat will be empty;
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 19] but on the third day thou shalt go down quickly, and come to the place where thou didst hide thyself on the day of the business, and abide by the stone Ezel.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 20] And I will shoot three arrows on the side of it, as though I shot at a mark.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 21] And behold, I will send the lad, [saying,] Go, find the arrows. If I expressly say to the lad, Behold, the arrows are on this side of thee, take them; then come, for there is peace for thee, and it is nothing; [as] Jehovah liveth.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 22] But if I say thus to the youth: Behold, the arrows are beyond thee, — go thy way; for Jehovah sends thee away.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 23] And as to the matter which thou and I have spoken of, behold, Jehovah is between me and thee for ever.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 24] And David hid himself in the field; and it was the new moon, and the king sat at table to eat.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 25] And the king sat on his seat, as at other times, on the seat by the wall; and Jonathan arose, and Abner sat by Saul's side, and David's place was empty.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 26] And Saul said nothing that day; for he thought, Something has befallen [him], that he is not clean: surely he is not clean.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 27] And it came to pass the next day after the new moon, the second [day of the month], as David's place was empty, that Saul said to Jonathan his son, Why has not the son of Jesse come to table, neither yesterday nor to-day?
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 28] And Jonathan answered Saul, David earnestly asked leave of me [to go] to Bethlehem,
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 29] and said, Let me go, I pray thee; for we have a family sacrifice in the city; and my brother himself has commanded me [to be there]; and now, if I have found favour in thy sight, let me go away, I pray thee, and see my brethren. He has therefore not come to the king's table.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 30] And Saul's anger was kindled against Jonathan, and he said to him, Son of the perverse rebellious woman, do not I know that thou hast chosen the son of Jesse to thine own shame and to the shame of thy mother's nakedness?
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 31] For as long as the son of Jesse lives upon earth, thou shalt not be established, nor thy kingdom. And now send and fetch him to me, for he must die.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 32] And Jonathan answered Saul his father, and said to him, Why should he be put to death? what has he done?
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 33] Then Saul cast the spear at him to smite him; and Jonathan knew that it was determined by his father to put David to death.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 34] And Jonathan arose from the table in fierce anger, and ate no meat the second day of the new moon; for he was grieved for David, because his father had done him shame.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 35] And it came to pass in the morning that Jonathan went out into the field, to the place agreed on with David, and a little lad with him.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 36] And he said to his lad, Run, find now the arrows which I shoot. The lad ran, and he shot the arrow beyond him.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 37] And when the lad came to the place of the arrow which Jonathan had shot, Jonathan cried after the lad and said, Is not the arrow away beyond thee?
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 38] And Jonathan cried after the lad, Make speed, haste, stay not! And Jonathan's lad gathered up the arrows, and came to his master.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 39] And the lad knew nothing: only Jonathan and David knew the matter.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 40] And Jonathan gave his weapons to his lad, and said to him, Go, carry them to the city.
[DARBY | EN | OT | 1 Samuel | Chapter 20 | Verse 41] The lad went, and David arose from the side of the south, and fell on his face to the ground, and bowed himself three times; and they kissed one another, and wept one with another, until David exceeded.
