[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 1] You yourselves know, brothers, that our visit to you was not in vain.
[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 2] As you are aware, we had already endured suffering and shameful treatment in Philippi. But in the face of strong opposition, we were bold in our God to speak to you the gospel of God.
[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 3] For our appeal does not arise from deceit or ulterior motives or trickery.
[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 4] Instead, we speak as those approved by God to be entrusted with the gospel, not in order to please men but God, who examines our hearts.
[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 5] As you know, we never used words of flattery or any pretext for greed. God is our witness!
[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 6] Nor did we seek praise from you or from anyone else, although as apostles of Christ we had authority to demand it.
[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 7] On the contrary, we were gentle among you, like a nursing mother caring for her children.
[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 8] We cared so deeply that we were delighted to share with you not only the gospel of God, but our own lives as well. That is how beloved you have become to us.
[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 9] Surely you recall, brothers, our labor and toil. We worked night and day so that we would not be a burden to anyone while we proclaimed to you the gospel of God.
[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 10] You are witnesses, and so is God, of how holy, righteous, and blameless our conduct was among you who believed.
[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 11] For you know that we treated each of you as a father treats his own children—
[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 12] encouraging you, comforting you, and urging you to walk in a manner worthy of God, who calls you into His own kingdom and glory.
[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 13] And we continually thank God because, when you received the word of God that you heard from us, you accepted it not as the word of men, but as the true word of God—the word which is now at work in you who believe.
[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 14] For you, brothers, became imitators of the churches of God in Judea that are in Christ Jesus. You suffered from your own countrymen the very things they suffered from the Jews,
[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 15] who killed both the Lord Jesus and their own prophets, and drove us out as well. They are displeasing to God and hostile to all men,
[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 16] hindering us from telling the Gentiles how they may be saved. As a result, they continue to heap up their sins to full capacity; the utmost wrath has come upon them.
[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 17] Brothers, although we were torn away from you for a short time (in person, not in heart), our desire to see you face to face was even more intense.
[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 18] For we wanted to come to you—indeed I, Paul, tried again and again—but Satan obstructed us.
[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 19] After all, who is our hope, our joy, our crown of boasting, if it is not you yourselves in the presence of our Lord Jesus at His coming?
[BSB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 20] You are indeed our glory and our joy.
