[ERV | EN | NT | John | Chapter 5 | Verse 1] After these things there was a feast of the Jews; and Jesus went up to Jerusalem.
[ERV | EN | NT | John | Chapter 5 | Verse 2] Now there is in Jerusalem by the sheep gate a pool, which is called in Hebrew Bethesda, having five porches.
[ERV | EN | NT | John | Chapter 5 | Verse 3] In these lay a multitude of them that were sick, blind, halt, withered.
[ERV | EN | NT | John | Chapter 5 | Verse 4] + 5:4 Many ancient authorities insert, wholly or in part, waiting for the moving of the water: 4 for an angel of the Lord went down at certain seasons into the pool and troubled the water: whosover then first after the troubling of the water was made whole, with whatsoever disease he was holden.
[ERV | EN | NT | John | Chapter 5 | Verse 5] And a certain man was there, which had been thirty and eight years in his infirmity.
[ERV | EN | NT | John | Chapter 5 | Verse 6] When Jesus saw him lying, and knew that he had been now a long time in that case, he saith unto him, Wouldest thou be made whole?
[ERV | EN | NT | John | Chapter 5 | Verse 7] The sick man answered him, Sir, I have no man, when the water is troubled, to put me into the pool: but while I am coming, another steppeth down before me.
[ERV | EN | NT | John | Chapter 5 | Verse 8] Jesus saith unto him, Arise, take up thy bed, and walk.
[ERV | EN | NT | John | Chapter 5 | Verse 9] And straightway the man was made whole, and took up his bed and walked. Now it was the sabbath on that day.
[ERV | EN | NT | John | Chapter 5 | Verse 10] So the Jews said unto him that was cured, It is the sabbath, and it is not lawful for thee to take up thy bed.
[ERV | EN | NT | John | Chapter 5 | Verse 11] But he answered them, He that made me whole, the same said unto me, Take up thy bed, and walk.
[ERV | EN | NT | John | Chapter 5 | Verse 12] They asked him, Who is the man that said unto thee, Take up thy bed, and walk?
[ERV | EN | NT | John | Chapter 5 | Verse 13] But he that was healed wist not who it was: for Jesus had conveyed himself away, a multitude being in the place.
[ERV | EN | NT | John | Chapter 5 | Verse 14] Afterward Jesus findeth him in the temple, and said unto him, Behold, thou art made whole: sin no more, lest a worse thing befall thee.
[ERV | EN | NT | John | Chapter 5 | Verse 15] The man went away, and told the Jews that it was Jesus which had made him whole.
[ERV | EN | NT | John | Chapter 5 | Verse 16] And for this cause did the Jews persecute Jesus, because he did these things on the sabbath.
[ERV | EN | NT | John | Chapter 5 | Verse 17] But Jesus answered them, My Father worketh even until now, and I work.
[ERV | EN | NT | John | Chapter 5 | Verse 18] For this cause therefore the Jews sought the more to kill him, because he not only brake the sabbath, but also called God his own Father, making himself equal with God.
[ERV | EN | NT | John | Chapter 5 | Verse 19] Jesus therefore answered and said unto them, Verily, verily, I say unto you, The Son can do nothing of himself, but what he seeth the Father doing: for what things soever he doeth, these the Son also doeth in like manner.
[ERV | EN | NT | John | Chapter 5 | Verse 20] For the Father loveth the Son, and sheweth him all things that himself doeth: and greater works than these will he shew him, that ye may marvel.
[ERV | EN | NT | John | Chapter 5 | Verse 21] For as the Father raiseth the dead and quickeneth them, even so the Son also quickeneth whom he will.
[ERV | EN | NT | John | Chapter 5 | Verse 22] For neither doth the Father judge any man, but he hath given all judgment unto the Son;
[ERV | EN | NT | John | Chapter 5 | Verse 23] that all may honour the Son, even as they honour the Father. He that honoureth not the Son honoureth not the Father which sent him.
[ERV | EN | NT | John | Chapter 5 | Verse 24] Verily, verily, I say unto you, He that heareth my word, and believeth him that sent me, hath eternal life, and cometh not into judgment, but hath passed out of death into life.
[ERV | EN | NT | John | Chapter 5 | Verse 25] Verily, verily, I say unto you, The hour cometh, and now is, when the dead shall hear the voice of the Son of God; and they that hear shall live.
[ERV | EN | NT | John | Chapter 5 | Verse 26] For as the Father hath life in himself, even so gave he to the Son also to have life in himself:
[ERV | EN | NT | John | Chapter 5 | Verse 27] and he gave him authority to execute judgment, because he is the Son of man.
[ERV | EN | NT | John | Chapter 5 | Verse 28] Marvel not at this: for the hour cometh, in which all that are in the tombs shall hear his voice,
[ERV | EN | NT | John | Chapter 5 | Verse 29] And shall come forth; they that have done good, unto the resurrection of life; and they that have done ill, unto the resurrection of judgment.
[ERV | EN | NT | John | Chapter 5 | Verse 30] I can of myself do nothing: as I hear, I judge: and my judgment is righteous; because I seek not mine own will, but the will of him that sent me.
[ERV | EN | NT | John | Chapter 5 | Verse 31] If I bear witness of myself, my witness is not true.
[ERV | EN | NT | John | Chapter 5 | Verse 32] It is another that beareth witness of me; and I know that the witness which he witnesseth of me is true.
[ERV | EN | NT | John | Chapter 5 | Verse 33] Ye have sent unto John, and he hath borne witness unto the truth.
[ERV | EN | NT | John | Chapter 5 | Verse 34] But the witness which I receive is not from man: howbeit I say these things, that ye may be saved.
