[ERV | EN | NT | John | Chapter 7 | Verse 1] And after these things Jesus walked in Galilee: for he would not walk in Judaea, because the Jews sought to kill him.
[ERV | EN | NT | John | Chapter 7 | Verse 2] Now the feast of the Jews, the feast of tabernacles, was at hand.
[ERV | EN | NT | John | Chapter 7 | Verse 3] His brethren therefore said unto him, Depart hence, and go into Judaea, that thy disciples also may behold thy works which thou doest.
[ERV | EN | NT | John | Chapter 7 | Verse 4] For no man doeth anything in secret, and himself seeketh to be known openly. If thou doest these things, manifest thyself to the world.
[ERV | EN | NT | John | Chapter 7 | Verse 5] For even his brethren did not believe on him.
[ERV | EN | NT | John | Chapter 7 | Verse 6] Jesus therefore saith unto them, My time is not yet come; but your time is alway ready.
[ERV | EN | NT | John | Chapter 7 | Verse 7] The world cannot hate you; but me it hateth, because I testify of it, that its works are evil.
[ERV | EN | NT | John | Chapter 7 | Verse 8] Go ye up unto the feast: I go not up yet unto this feast; because my time is not yet fulfilled.
[ERV | EN | NT | John | Chapter 7 | Verse 9] And having said these things unto them, he abode still in Galilee.
[ERV | EN | NT | John | Chapter 7 | Verse 10] But when his brethren were gone up unto the feast, then went he also up, not publicly, but as it were in secret.
[ERV | EN | NT | John | Chapter 7 | Verse 11] The Jews therefore sought him at the feast, and said, Where is he?
[ERV | EN | NT | John | Chapter 7 | Verse 12] And there was much murmuring among the multitudes concerning him: some said, He is a good man; others said, Not so, but he leadeth the multitude astray.
[ERV | EN | NT | John | Chapter 7 | Verse 13] Howbeit no man spake openly of him for fear of the Jews.
[ERV | EN | NT | John | Chapter 7 | Verse 14] But when it was now the midst of the feast Jesus went up into the temple, and taught.
[ERV | EN | NT | John | Chapter 7 | Verse 15] The Jews therefore marveled, saying, How knoweth this man letters, having never learned?
[ERV | EN | NT | John | Chapter 7 | Verse 16] Jesus therefore answered them, and said, My teaching is not mine, but his that sent me.
[ERV | EN | NT | John | Chapter 7 | Verse 17] If any man willeth to do his will, he shall know of the teaching, whether it be of God, or whether I speak from myself.
[ERV | EN | NT | John | Chapter 7 | Verse 18] He that speaketh from himself seeketh his own glory: but he that seeketh the glory of him that sent him, the same is true, and no unrighteousness is in him.
[ERV | EN | NT | John | Chapter 7 | Verse 19] Did not Moses give you the law, and yet none of you doeth the law? Why seek ye to kill me?
[ERV | EN | NT | John | Chapter 7 | Verse 20] The multitude answered, Thou hast a devil: who seeketh to kill thee?
[ERV | EN | NT | John | Chapter 7 | Verse 21] Jesus answered and said unto them, I did one work, and ye all marvel.
[ERV | EN | NT | John | Chapter 7 | Verse 22] For this cause hath Moses given you circumcision ( not that it is of Moses, but of the fathers); and on the sabbath ye circumcise a man.
[ERV | EN | NT | John | Chapter 7 | Verse 23] If a man receiveth circumcision on the sabbath, that the law of Moses may not be broken; are ye wroth with me, because I made a man every whit whole on the sabbath?
[ERV | EN | NT | John | Chapter 7 | Verse 24] Judge not according to appearance, but judge righteous judgment.
