[ERV | EN | NT | John | Chapter 18 | Verse 1] When Jesus had spoken these words, he went forth with his disciples over the brook Kidron, where was a garden, into the which he entered, himself and his disciples.
[ERV | EN | NT | John | Chapter 18 | Verse 2] Now Judas also, which betrayed him, knew the place: for Jesus oft-times resorted thither with his disciples.
[ERV | EN | NT | John | Chapter 18 | Verse 3] Judas then, having received the band of soldiers, and officers from the chief priests and the Pharisees, cometh thither with lanterns and torches and weapons.
[ERV | EN | NT | John | Chapter 18 | Verse 4] Jesus therefore, knowing all the things that were coming upon him, went forth, and saith unto them, Whom seek ye?
[ERV | EN | NT | John | Chapter 18 | Verse 5] They answered him, Jesus of Nazareth. Jesus saith unto them, I am he. And Judas also, which betrayed him, was standing with them.
[ERV | EN | NT | John | Chapter 18 | Verse 6] When therefore he said unto them, I am he, they went backward, and fell to the ground.
[ERV | EN | NT | John | Chapter 18 | Verse 7] Again therefore he asked them, Whom seek ye? And they said, Jesus of Nazareth.
[ERV | EN | NT | John | Chapter 18 | Verse 8] Jesus answered, I told you that I am he: if therefore ye seek me, let these go their way:
[ERV | EN | NT | John | Chapter 18 | Verse 9] that the word might be fulfilled which he spake, Of those whom thou hast given me I lost not one.
[ERV | EN | NT | John | Chapter 18 | Verse 10] Simon Peter therefore having a sword drew it, and struck the high priest’ s servant, and cut off his right ear. Now the servant’ s name was Malchus.
[ERV | EN | NT | John | Chapter 18 | Verse 11] Jesus therefore said unto Peter, Put up the sword into the sheath: the cup which the Father hath given me, shall I not drink it?
[ERV | EN | NT | John | Chapter 18 | Verse 12] So the band and the chief captain, and the officers of the Jews, seized Jesus and bound him,
[ERV | EN | NT | John | Chapter 18 | Verse 13] and led him to Annas first; for he was father in law to Caiaphas, which was high priest that year.
[ERV | EN | NT | John | Chapter 18 | Verse 14] Now Caiaphas was he which gave counsel to the Jews, that it was expedient that one man should die for the people.
[ERV | EN | NT | John | Chapter 18 | Verse 15] And Simon Peter followed Jesus, and so did another disciple. Now that disciple was known unto the high priest, and entered in with Jesus into the court of the high priest;
[ERV | EN | NT | John | Chapter 18 | Verse 16] but Peter was standing at the door without. So the other disciple, which was known unto the high priest, went out and spake unto her that kept the door, and brought in Peter.
[ERV | EN | NT | John | Chapter 18 | Verse 17] The maid therefore that kept the door saith unto Peter, Art thou also one of this man’s disciples? He saith, I am not.
[ERV | EN | NT | John | Chapter 18 | Verse 18] Now the servants and the officers were standing there, having made a fire of coals; for it was cold; and they were warming themselves: and Peter also was with them, standing and warming himself.
[ERV | EN | NT | John | Chapter 18 | Verse 19] The high priest therefore asked Jesus of his disciples, and of his teaching.
[ERV | EN | NT | John | Chapter 18 | Verse 20] Jesus answered him, I have spoken openly to the world; I ever taught in synagogues, and in the temple, where all the Jews come together; and in secret spake I nothing.
[ERV | EN | NT | John | Chapter 18 | Verse 21] Why askest thou me? ask them that have heard me, what I spake unto them: behold, these know the things which I said.
[ERV | EN | NT | John | Chapter 18 | Verse 22] And when he had said this, one of the officers standing by struck Jesus with his hand, saying, Answerest thou the high priest so?
[ERV | EN | NT | John | Chapter 18 | Verse 23] Jesus answered him, If I have spoken evil, bear witness of the evil: but if well, why smitest thou me?
[ERV | EN | NT | John | Chapter 18 | Verse 24] Annas therefore sent him bound unto Caiaphas the high priest.
[ERV | EN | NT | John | Chapter 18 | Verse 25] Now Simon Peter was standing and warming himself. They said therefore unto him, Art thou also one of his disciples? He denied, and said, I am not.
[ERV | EN | NT | John | Chapter 18 | Verse 26] One of the servants of the high priest, being a kinsman of him whose ear Peter cut off, saith, Did not I see thee in the garden with him?
[ERV | EN | NT | John | Chapter 18 | Verse 27] Peter therefore denied again: and straightway the cock crew.
[ERV | EN | NT | John | Chapter 18 | Verse 28] They lead Jesus therefore from Caiaphas into the palace: and it was early; and they themselves entered not into the palace, that they might not be defiled, but might eat the passover.
[ERV | EN | NT | John | Chapter 18 | Verse 29] Pilate therefore went out unto them, and saith, What accusation bring ye against this man?
[ERV | EN | NT | John | Chapter 18 | Verse 30] They answered and said unto him, If this man were not an evil-doer, we should not have delivered him up unto thee.
[ERV | EN | NT | John | Chapter 18 | Verse 31] Pilate therefore said unto them, Take him yourselves, and judge him according to your law. The Jews said unto him, It is not lawful for us to put any man to death:
[ERV | EN | NT | John | Chapter 18 | Verse 32] that the word of Jesus might be fulfilled, which he spake, signifying by what manner of death he should die.
[ERV | EN | NT | John | Chapter 18 | Verse 33] Pilate therefore entered again into the palace, and called Jesus, and said unto him, Art thou the King of the Jews?
[ERV | EN | NT | John | Chapter 18 | Verse 34] Jesus answered, Sayest thou this of thyself, or did others tell it thee concerning me?
[ERV | EN | NT | John | Chapter 18 | Verse 35] Pilate answered, Am I a Jew? Thine own nation and the chief priests delivered thee unto me: what hast thou done?
[ERV | EN | NT | John | Chapter 18 | Verse 36] Jesus answered, My kingdom is not of this world: if my kingdom were of this world, then would my servants fight, that I should not be delivered to the Jews: but now is my kingdom not from hence.
[ERV | EN | NT | John | Chapter 18 | Verse 37] Pilate therefore said unto him, Art thou a king then? Jesus answered, Thou sayest that I am a king. To this end have I been born, and to this end am I come into the world, that I should bear witness unto the truth. Every one that is of the truth heareth my voice.
[ERV | EN | NT | John | Chapter 18 | Verse 38] Pilate saith unto him, What is truth? And when he had said this, he went out again unto the Jews, and saith unto them, I find no crime in him.
[ERV | EN | NT | John | Chapter 18 | Verse 39] But ye have a custom, that I should release unto you one at the passover: will ye therefore that I release unto you the King of the Jews?
[ERV | EN | NT | John | Chapter 18 | Verse 40] They cried out therefore again, saying, Not this man, but Barabbas. Now Barabbas was a robber.
