[ERV | EN | NT | John | Chapter 4 | Verse 1] When therefore the Lord knew how that the Pharisees had heard that Jesus was making and baptizing more disciples than John
[ERV | EN | NT | John | Chapter 4 | Verse 2] ( although Jesus himself baptized not, but his disciples),
[ERV | EN | NT | John | Chapter 4 | Verse 3] he left Judaea, and departed again into Galilee.
[ERV | EN | NT | John | Chapter 4 | Verse 4] And he must needs pass through Samaria.
[ERV | EN | NT | John | Chapter 4 | Verse 5] So he cometh to a city of Samaria, called Sychar, near to the parcel of ground that Jacob gave to his son Joseph:
[ERV | EN | NT | John | Chapter 4 | Verse 6] and Jacob’s well was there. Jesus therefore, being wearied with his journey, sat thus by the well. It was about the sixth hour.
[ERV | EN | NT | John | Chapter 4 | Verse 7] There cometh a woman of Samaria to draw water: Jesus saith unto her, Give me to drink.
[ERV | EN | NT | John | Chapter 4 | Verse 8] For his disciples were gone away into the city to buy food.
[ERV | EN | NT | John | Chapter 4 | Verse 9] The Samaritan woman therefore saith unto him, How is it that thou, being a Jew, askest drink of me, which am a Samaritan woman? ( For Jews have no dealings with Samaritans.)
[ERV | EN | NT | John | Chapter 4 | Verse 10] Jesus answered and said unto her, If thou knewest the gift of God, and who it is that saith to thee, Give me to drink; thou wouldest have asked of him, and he would have given thee living water.
[ERV | EN | NT | John | Chapter 4 | Verse 11] The woman saith unto him, Sir, thou hast nothing to draw with, and the well is deep: from whence then hast thou that living water?
[ERV | EN | NT | John | Chapter 4 | Verse 12] Art thou greater than our father Jacob, which gave us the well, and drank thereof himself, and his sons, and his cattle?
[ERV | EN | NT | John | Chapter 4 | Verse 13] Jesus answered and said unto her, Every one that drinketh of this water shall thirst again:
[ERV | EN | NT | John | Chapter 4 | Verse 14] but whosoever drinketh of the water that I shall give him shall never thirst; but the water that I shall give him shall become in him a well of water springing up unto eternal life.
[ERV | EN | NT | John | Chapter 4 | Verse 15] The woman saith unto him, Sir, give me this water, that I thirst not, neither come all the way hither to draw.
[ERV | EN | NT | John | Chapter 4 | Verse 16] Jesus saith unto her, Go, call thy husband, and come hither.
[ERV | EN | NT | John | Chapter 4 | Verse 17] The woman answered and said unto him, I have no husband. Jesus saith unto her, Thou saidst well, I have no husband:
[ERV | EN | NT | John | Chapter 4 | Verse 18] for thou hast had five husbands; and he whom thou now hast is not thy husband: this hast thou said truly.
[ERV | EN | NT | John | Chapter 4 | Verse 19] The woman saith unto him, Sir, I perceive that thou art a prophet.
[ERV | EN | NT | John | Chapter 4 | Verse 20] Our fathers worshipped in this mountain; and ye say, that in Jerusalem is the place where men ought to worship.
[ERV | EN | NT | John | Chapter 4 | Verse 21] Jesus saith unto her, Woman, believe me, the hour cometh, when neither in this mountain, nor in Jerusalem, shall ye worship the Father.
[ERV | EN | NT | John | Chapter 4 | Verse 22] Ye worship that which ye know not: we worship that which we know: for salvation is from the Jews.
[ERV | EN | NT | John | Chapter 4 | Verse 23] But the hour cometh, and now is, when the true worshippers shall worship the Father in spirit and truth: for such doth the Father seek to be his worshippers.
[ERV | EN | NT | John | Chapter 4 | Verse 24] God is a Spirit: and they that worship him must worship in spirit and truth.
[ERV | EN | NT | John | Chapter 4 | Verse 25] The woman saith unto him, I know that Messiah cometh ( which is called Christ): when he is come, he will declare unto us all things.
[ERV | EN | NT | John | Chapter 4 | Verse 26] Jesus saith unto her, I that speak unto thee am he.
[ERV | EN | NT | John | Chapter 4 | Verse 27] And upon this came his disciples; and they marveled that he was speaking with a woman; yet no man said, What seekest thou? or, Why speakest thou with her?
[ERV | EN | NT | John | Chapter 4 | Verse 28] So the woman left her waterpot, and went away into the city, and saith to the men,
[ERV | EN | NT | John | Chapter 4 | Verse 29] Come, see a man, which told me all things that ever I did: can this be the Christ?
[ERV | EN | NT | John | Chapter 4 | Verse 30] They went out of the city, and were coming to him.
[ERV | EN | NT | John | Chapter 4 | Verse 31] In the mean while the disciples prayed him, saying, Rabbi, eat.
[ERV | EN | NT | John | Chapter 4 | Verse 32] But he said unto them, I have meat to eat that ye know not.
[ERV | EN | NT | John | Chapter 4 | Verse 33] The disciples therefore said one to another, Hath any man brought him aught to eat?
[ERV | EN | NT | John | Chapter 4 | Verse 34] Jesus saith unto them, My meat is to do the will of him that sent me, and to accomplish his work.
[ERV | EN | NT | John | Chapter 4 | Verse 35] Say not ye, There are yet four months, and then cometh the harvest? behold, I say unto you, Lift up your eyes, and look on the fields, that they are white already unto harvest.
[ERV | EN | NT | John | Chapter 4 | Verse 36] He that reapeth receiveth wages, and gathereth fruit unto life eternal; that he that soweth and he that reapeth may rejoice together.
[ERV | EN | NT | John | Chapter 4 | Verse 37] For herein is the saying true, One soweth, and another reapeth.
[ERV | EN | NT | John | Chapter 4 | Verse 38] I sent you to reap that whereon ye have not laboured: others have laboured, and ye are entered into their labour.
[ERV | EN | NT | John | Chapter 4 | Verse 39] And from that city many of the Samaritans believed on him because of the word of the woman, who testified, He told me all things that ever I did.
[ERV | EN | NT | John | Chapter 4 | Verse 40] So when the Samaritans came unto him, they besought him to abide with them: and he abode there two days.
[ERV | EN | NT | John | Chapter 4 | Verse 41] And many more believed because of his word;
[ERV | EN | NT | John | Chapter 4 | Verse 42] and they said to the woman, Now we believe, not because of thy speaking: for we have heard for ourselves, and know that this is indeed the Saviour of the world.
[ERV | EN | NT | John | Chapter 4 | Verse 43] And after the two days he went forth from thence into Galilee.
[ERV | EN | NT | John | Chapter 4 | Verse 44] For Jesus himself testified, that a prophet hath no honour in his own country.
[ERV | EN | NT | John | Chapter 4 | Verse 45] So when he came into Galilee, the Galilaeans received him, having seen all the things that he did in Jerusalem at the feast: for they also went unto the feast.
[ERV | EN | NT | John | Chapter 4 | Verse 46] He came therefore again unto Cana of Galilee, where he made the water wine. And there was a certain nobleman, whose son was sick at Capernaum.
[ERV | EN | NT | John | Chapter 4 | Verse 47] When he heard that Jesus was come out of Judaea into Galilee, he went unto him, and besought him that he would come down, and heal his son; for he was at the point of death.
[ERV | EN | NT | John | Chapter 4 | Verse 48] Jesus therefore said unto him, Except ye see signs and wonders, ye will in no wise believe.
[ERV | EN | NT | John | Chapter 4 | Verse 49] The nobleman saith unto him, Sir, come down ere my child die.
[ERV | EN | NT | John | Chapter 4 | Verse 50] Jesus saith unto him, Go thy way; thy son liveth. The man believed the word that Jesus spake unto him, and he went his way.
[ERV | EN | NT | John | Chapter 4 | Verse 51] And as he was now going down, his servants met him, saying, that his son lived.
[ERV | EN | NT | John | Chapter 4 | Verse 52] So he inquired of them the hour when he began to amend. They said therefore unto him, Yesterday at the seventh hour the fever left him.
[ERV | EN | NT | John | Chapter 4 | Verse 53] So the father knew that it was at that hour in which Jesus said unto him, Thy son liveth: and himself believed, and his whole house.
[ERV | EN | NT | John | Chapter 4 | Verse 54] This is again the second sign that Jesus did, having come out of Judaea into Galilee.
