[ERV | EN | NT | John | Chapter 11 | Verse 1] Now a certain man was sick, Lazarus of Bethany, of the village of Mary and her sister Martha.
[ERV | EN | NT | John | Chapter 11 | Verse 2] And it was that Mary which anointed the Lord with ointment, and wiped his feet with her hair, whose brother Lazarus was sick.
[ERV | EN | NT | John | Chapter 11 | Verse 3] The sisters therefore sent unto him, saying, Lord, behold, he whom thou lovest is sick.
[ERV | EN | NT | John | Chapter 11 | Verse 4] But when Jesus heard it, he said, This sickness is not unto death, but for the glory of God, that the Son of God may be glorified thereby.
[ERV | EN | NT | John | Chapter 11 | Verse 5] Now Jesus loved Martha, and her sister, and Lazarus.
[ERV | EN | NT | John | Chapter 11 | Verse 6] When therefore he heard that he was sick, he abode at that time two days in the place where he was.
[ERV | EN | NT | John | Chapter 11 | Verse 7] Then after this he saith to the disciples, Let us go into Judaea again.
[ERV | EN | NT | John | Chapter 11 | Verse 8] The disciples say unto him, Rabbi, the Jews were but now seeking to stone thee; and goest thou thither again?
[ERV | EN | NT | John | Chapter 11 | Verse 9] Jesus answered, Are there not twelve hours in the day? If a man walk in the day, he stumbleth not, because he seeth the light of this world.
[ERV | EN | NT | John | Chapter 11 | Verse 10] But if a man walk in the night, he stumbleth, because the light is not in him.
[ERV | EN | NT | John | Chapter 11 | Verse 11] These things spake he: and after this he saith unto them, Our friend Lazarus is fallen asleep; but I go, that I may awake him out of sleep.
[ERV | EN | NT | John | Chapter 11 | Verse 12] The disciples therefore said unto him, Lord, if he is fallen asleep, he will recover.
[ERV | EN | NT | John | Chapter 11 | Verse 13] Now Jesus had spoken of his death: but they thought that he spake of taking rest in sleep.
[ERV | EN | NT | John | Chapter 11 | Verse 14] Then Jesus therefore said unto them plainly, Lazarus is dead.
[ERV | EN | NT | John | Chapter 11 | Verse 15] And I am glad for your sakes that I was not there, to the intent ye may believe; nevertheless let us go unto him.
[ERV | EN | NT | John | Chapter 11 | Verse 16] Thomas therefore, who is called Didymus, said unto his fellow-disciples, Let us also go, that we may die with him.
[ERV | EN | NT | John | Chapter 11 | Verse 17] So when Jesus came, he found that he had been in the tomb four days already.
[ERV | EN | NT | John | Chapter 11 | Verse 18] Now Bethany was nigh unto Jerusalem, about fifteen furlongs off;
[ERV | EN | NT | John | Chapter 11 | Verse 19] and many of the Jews had come to Martha and Mary, to console them concerning their brother.
