[ERV | EN | NT | John | Chapter 20 | Verse 1] Now on the first day of the week cometh Mary Magdalene early, while it was yet dark, unto the tomb, and seeth the stone taken away from the tomb.
[ERV | EN | NT | John | Chapter 20 | Verse 2] She runneth therefore, and cometh to Simon Peter, and to the other disciple, whom Jesus loved, and saith unto them, They have taken away the Lord out of the tomb, and we know not where they have laid him.
[ERV | EN | NT | John | Chapter 20 | Verse 3] Peter therefore went forth, and the other disciple, and they went toward the tomb.
[ERV | EN | NT | John | Chapter 20 | Verse 4] And they ran both together: and the other disciple outran Peter, and came first to the tomb;
[ERV | EN | NT | John | Chapter 20 | Verse 5] and stooping and looking in, he seeth the linen cloths lying; yet entered he not in.
[ERV | EN | NT | John | Chapter 20 | Verse 6] Simon Peter therefore also cometh, following him, and entered into the tomb; and he beholdeth the linen cloths lying,
[ERV | EN | NT | John | Chapter 20 | Verse 7] and the napkin, that was upon his head, not lying with the linen cloths, but rolled up in a place by itself.
[ERV | EN | NT | John | Chapter 20 | Verse 8] Then entered in therefore the other disciple also, which came first to the tomb, and he saw, and believed.
[ERV | EN | NT | John | Chapter 20 | Verse 9] For as yet they knew not the scripture, that he must rise again from the dead.
[ERV | EN | NT | John | Chapter 20 | Verse 10] So the disciples went away again unto their own home.
[ERV | EN | NT | John | Chapter 20 | Verse 11] But Mary was standing without at the tomb weeping: so, as she wept, she stooped and looked into the tomb;
[ERV | EN | NT | John | Chapter 20 | Verse 12] and she beholdeth two angels in white sitting, one at the head, and one at the feet, where the body of Jesus had lain.
[ERV | EN | NT | John | Chapter 20 | Verse 13] And they say unto her, Woman, why weepest thou? She saith unto them, Because they have taken away my Lord, and I know not where they have laid him.
[ERV | EN | NT | John | Chapter 20 | Verse 14] When she had thus said, she turned herself back, and beholdeth Jesus standing, and knew not that it was Jesus.
[ERV | EN | NT | John | Chapter 20 | Verse 15] Jesus saith unto her, Woman, why weepest thou? whom seekest thou? She, supposing him to be the gardener, saith unto him, Sir, if thou hast borne him hence, tell me where thou hast laid him, and I will take him away.
[ERV | EN | NT | John | Chapter 20 | Verse 16] Jesus saith unto her, Mary. She turneth herself, and saith unto him in Hebrew, Rabboni; which is to say, Master.
[ERV | EN | NT | John | Chapter 20 | Verse 17] Jesus saith to her, Touch me not; for I am not yet ascended unto the Father: but go unto my brethren, and say to them, I ascend unto my Father and your Father, and my God and your God.
[ERV | EN | NT | John | Chapter 20 | Verse 18] Mary Magdalene cometh and telleth the disciples, I have seen the Lord; and how that he had said these things unto her.
[ERV | EN | NT | John | Chapter 20 | Verse 19] When therefore it was evening, on that day, the first day of the week, and when the doors were shut where the disciples were, for fear of the Jews, Jesus came and stood in the midst, and saith unto them, Peace be unto you.
[ERV | EN | NT | John | Chapter 20 | Verse 20] And when he had said this, he shewed unto them his hands and his side. The disciples therefore were glad, when they saw the Lord.
[ERV | EN | NT | John | Chapter 20 | Verse 21] Jesus therefore said to them again, Peace be unto you: as the Father hath sent me, even so send I you.
[ERV | EN | NT | John | Chapter 20 | Verse 22] And when he had said this, he breathed on them, and saith unto them, Receive ye the Holy Ghost:
[ERV | EN | NT | John | Chapter 20 | Verse 23] whose soever sins ye forgive, they are forgiven unto them; whose soever sins ye retain, they are retained.
[ERV | EN | NT | John | Chapter 20 | Verse 24] But Thomas, one of the twelve, called Didymus, was not with them when Jesus came.
[ERV | EN | NT | John | Chapter 20 | Verse 25] The other disciples therefore said unto him, We have seen the Lord. But he said unto them, Except I shall see in his hands the print of the nails, and put my finger into the print of the nails, and put my hand into his side, I will not believe.
[ERV | EN | NT | John | Chapter 20 | Verse 26] And after eight days again his disciples were within, and Thomas with them. Jesus cometh, the doors being shut, and stood in the midst, and said, Peace be unto you.
[ERV | EN | NT | John | Chapter 20 | Verse 27] Then saith he to Thomas, Reach hither thy finger, and see my hands; and reach hither thy hand, and put it into my side: and be not faithless, but believing.
[ERV | EN | NT | John | Chapter 20 | Verse 28] Thomas answered and said unto him, My Lord and my God.
[ERV | EN | NT | John | Chapter 20 | Verse 29] Jesus saith unto him, Because thou hast seen me, thou hast believed: blessed are they that have not seen, and yet have believed.
[ERV | EN | NT | John | Chapter 20 | Verse 30] Many other signs therefore did Jesus in the presence of the disciples, which are not written in this book:
[ERV | EN | NT | John | Chapter 20 | Verse 31] but these are written, that ye may believe that Jesus is the Christ, the Son of God; and that believing ye may have life in his name.
