[KJV | EN | OT | Susanna | Chapter 1 | Verse 1] There dwelt a man in Babylon, called Joacim:
[KJV | EN | OT | Susanna | Chapter 1 | Verse 2] and he took a wife, whose name was Susanna, the daughter of Chelcias, a very fair woman, and one that feared the Lord.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 3] Her parents also were righteous, and taught their daughter according to the law of Moses.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 4] Now Joacim was a great rich man, and had a fair garden joining unto his house: and to him resorted the Jews; because he was more honourable than all others.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 5] The same year were appointed two of the ancients of the people to be judges, such as the Lord spake of, that wickedness came from Babylon from ancient judges, who seemed to govern the people.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 6] These kept much at Joacim’s house: and all that had any suits in law came unto them.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 7] Now when the people departed away at noon, Susanna went into her husband’s garden to walk.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 8] And the two elders saw her going in every day, and walking; so that their lust was inflamed toward her.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 9] And they perverted their own mind, and turned away their eyes, that they might not look unto heaven, nor remember just judgments.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 10] And albeit they both were wounded with her love, yet durst not one shew another his grief.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 11] For they were ashamed to declare their lust, that they desired to have to do with her.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 12] Yet they watched diligently from day to day to see her.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 13] And the one said to the other, Let us now go home: for it is dinner time.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 14] So when they were gone out, they parted the one from the other, and turning back again they came to the same place; and after that they had asked one another the cause, they acknowledged their lust: then appointed they a time both together, when they might find her alone.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 15] And it fell out, as they watched a fit time, she went in as before with two maids only, and she was desirous to wash herself in the garden: for it was hot.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 16] And there was no body there save the two elders, that had hid themselves, and watched her.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 17] Then she said to her maids, Bring me oil and washing balls, and shut the garden doors, that I may wash me.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 18] And they did as she bade them, and shut the garden doors, and went out themselves at privy doors to fetch the things that she had commanded them: but they saw not the elders, because they were hid.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 19] Now when the maids were gone forth, the two elders rose up, and ran unto her, saying,
[KJV | EN | OT | Susanna | Chapter 1 | Verse 20] Behold, the garden doors are shut, that no man can see us, and we are in love with thee; therefore consent unto us, and lie with us.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 21] If thou wilt not, we will bear witness against thee, that a young man was with thee: and therefore thou didst send away thy maids from thee.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 22] Then Susanna sighed, and said, I am straited on every side: for if I do this thing, it is death unto me: and if I do it not, I cannot escape your hands.
[KJV | EN | OT | Susanna | Chapter 1 | Verse 23] It is better for me to fall into your hands, and not do it, than to sin in the sight of the Lord.
