[DRA | EN | NT | Matthew | Chapter 12 | Verse 1] At that time Jesus went through the corn on the sabbath: and his disciples being hungry, began to pluck the ears, and to eat.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 2] And the Pharisees seeing them, said to him: Behold thy disciples do that which is not lawful to do on the sabbath days.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 3] But he said to them: Have you not read what David did when he was hungry, and they that were with him:
[DRA | EN | NT | Matthew | Chapter 12 | Verse 4] How he entered into the house of God, and did eat the loaves of proposition, which it was not lawful for him to eat, nor for them that were with him, but for the priests only?
[DRA | EN | NT | Matthew | Chapter 12 | Verse 5] Or have ye not read in the law, that on the sabbath days the priests in the temple break the sabbath, and are without blame?
[DRA | EN | NT | Matthew | Chapter 12 | Verse 6] But I tell you that there is here a greater than the temple.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 7] And if you knew what this meaneth: I will have mercy, and not sacrifice: you would never have condemned the innocent.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 8] For the Son of man is Lord even of the sabbath.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 9] And when he has passed from thence, he came into their synagogues.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 10] And behold there was a man who had a withered hand, and they asked him, saying: Is it lawful to heal on the sabbath days? that they might accuse him.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 11] But he said to them: What man shall there be among you, that hath one sheep: and if the same fall into a pit on the sabbath day, will he not take hold on it and lift it up?
[DRA | EN | NT | Matthew | Chapter 12 | Verse 12] How much better is a man than a sheep? Therefore it is lawful to do a good deed on the sabbath days.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 13] Then he saith to the man: Stretch forth thy hand; and he stretched it forth, and it was restored to health even as the other.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 14] And the Pharisees going out made a consultation against him, how they might destroy him.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 15] But Jesus knowing it, retired from thence: and many followed him, and he healed them all.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 16] And he charged them that they should not make him known.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 17] That it might be fulfilled which was spoken by Isaias the prophet, saying:
[DRA | EN | NT | Matthew | Chapter 12 | Verse 18] Behold my servant whom I have chosen, my beloved in whom my soul hath been well pleased. I will put my spirit upon him, and he shall shew judgment to the Gentiles.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 19] He shall not contend, nor cry out, neither shall any man hear his voice in the streets.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 20] The bruised reed he shall not break: and smoking flax he shall not extinguish: till he send forth judgment unto victory.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 21] And in his name the Gentiles shall hope.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 22] Then was offered to him one possessed with a devil, blind and dumb: and he healed him, so that he spoke and saw.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 23] And all the multitudes were amazed, and said: Is not this the son of David?
[DRA | EN | NT | Matthew | Chapter 12 | Verse 24] But the Pharisees hearing it, said: This man casteth not out the devils but by Beelzebub the prince of the devils.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 25] And Jesus knowing their thoughts, said to them: Every kingdom divided against itself shall be made desolate: and every city or house divided against itself shall not stand.
[DRA | EN | NT | Matthew | Chapter 12 | Verse 26] And if Satan cast out Satan, he is divided against himself: how then shall his kingdom stand?
