[DRA | EN | NT | Matthew | Chapter 5 | Verse 1] And seeing the multitudes, he went up into a mountain, and when he was set down, his disciples came unto him.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 2] And opening his mouth, he taught them, saying:
[DRA | EN | NT | Matthew | Chapter 5 | Verse 3] Blessed are the poor in spirit: for theirs is the kingdom of heaven.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 4] Blessed are the meek: for they shall possess the land.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 5] Blessed are they that mourn: for they shall be comforted.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 6] Blessed are they that hunger and thirst after justice: for they shall have their fill.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 7] Blessed are the merciful: for they shall obtain mercy.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 8] Blessed are the clean of heart: for they shall see God.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 9] Blessed are the peacemakers: for they shall be called children of God.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 10] Blessed are they that suffer persecution for justice’ sake: for theirs is the kingdom of heaven.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 11] Blessed are ye when they shall revile you, and persecute you, and speak all that is evil against you, untruly, for my sake:
[DRA | EN | NT | Matthew | Chapter 5 | Verse 12] Be glad and rejoice, for your reward is very great in heaven. For so they persecuted the prophets that were before you.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 13] You are the salt of the earth. But if the salt lose its savour, wherewith shall it be salted? It is good for nothing any more but to be cast out, and to be trodden on by men.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 14] You are the light of the world. A city seated on a mountain cannot be hid.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 15] Neither do men light a candle and put it under a bushel, but upon a candlestick, that it may shine to all that are in the house.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 16] So let your light shine before men, that they may see your good works, and glorify your Father who is in heaven.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 17] Do not think that I am come to destroy the law, or the prophets. I am not come to destroy, but to fulfill.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 18] For amen I say unto you, till heaven and earth pass, one jot, or one tittle shall not pass of the law, till all be fulfilled.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 19] He therefore that shall break one of these least commandments, and shall so teach men, shall be called the least in the kingdom of heaven. But he that shall do and teach, he shall be called great in the kingdom of heaven.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 20] For I tell you, that unless your justice abound more than that of the scribes and Pharisees, you shall not enter into the kingdom of heaven.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 21] You have heard that it was said to them of old: Thou shalt not kill. And whosoever shall kill shall be in danger of the judgment.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 22] But I say to you, that whosoever is angry with his brother, shall be in danger of the judgment. And whosoever shall say to his brother, Raca, shall be in danger of the council. And whosoever shall say, Thou Fool, shall be in danger of hell fire.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 23] If therefore thou offer thy gift at the altar, and there thou remember that thy brother hath any thing against thee;
[DRA | EN | NT | Matthew | Chapter 5 | Verse 24] Leave there thy offering before the altar, and go first to be reconciled to thy brother: and then coming thou shalt offer thy gift.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 25] Be at agreement with thy adversary betimes, whilst thou art in the way with him: lest perhaps the adversary deliver thee to the judge, and the judge deliver thee to the officer, and thou be cast into prison.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 26] Amen I say to thee, thou shalt not go out from thence till thou repay the last farthing.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 27] You have heard that it was said to them of old: Thou shalt not commit adultery.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 28] But I say to you, that whosoever shall look on a woman to lust after her, hath already committed adultery with her in his heart.
[DRA | EN | NT | Matthew | Chapter 5 | Verse 29] And if thy right eye scandalize thee, pluck it out and cast it from thee. For it is expedient for thee that one of thy members should perish, rather than that thy whole body be cast into hell.
